Provincias;Municipios;Secciones;Sexo;Nivel de formación alcanzado;Periodo;Total
40 Segovia;40001 Abades;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;64
40 Segovia;40001 Abades;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;59
40 Segovia;40001 Abades;;Mujeres;Educación superior;2023;134
40 Segovia;40001 Abades;;Mujeres;Educación superior;2022;131
40 Segovia;40001 Abades;;Mujeres;Educación superior;2021;124
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Total;Total;2023;741
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Total;Total;2022;727
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Total;Total;2021;717
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Total;Educación primaria e inferior;2023;153
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Total;Educación primaria e inferior;2022;151
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Total;Educación primaria e inferior;2021;156
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Total;Primera etapa de Educación Secundaria y similar;2023;217
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Total;Primera etapa de Educación Secundaria y similar;2022;218
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Total;Primera etapa de Educación Secundaria y similar;2021;212
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;150
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;139
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;138
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Total;Educación superior;2023;221
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Total;Educación superior;2022;219
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Total;Educación superior;2021;211
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Hombres;Total;2023;360
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Hombres;Total;2022;349
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Hombres;Total;2021;352
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Hombres;Educación primaria e inferior;2023;60
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Hombres;Educación primaria e inferior;2022;58
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Hombres;Educación primaria e inferior;2021;61
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Hombres;Primera etapa de Educación Secundaria y similar;2023;133
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Hombres;Primera etapa de Educación Secundaria y similar;2022;128
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Hombres;Primera etapa de Educación Secundaria y similar;2021;125
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;80
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;75
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;79
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Hombres;Educación superior;2023;87
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Hombres;Educación superior;2022;88
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Hombres;Educación superior;2021;87
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Mujeres;Total;2023;381
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Mujeres;Total;2022;378
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Mujeres;Total;2021;365
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Mujeres;Educación primaria e inferior;2023;93
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Mujeres;Educación primaria e inferior;2022;93
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Mujeres;Educación primaria e inferior;2021;95
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Mujeres;Primera etapa de Educación Secundaria y similar;2023;84
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Mujeres;Primera etapa de Educación Secundaria y similar;2022;90
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Mujeres;Primera etapa de Educación Secundaria y similar;2021;87
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;70
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;64
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;59
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Mujeres;Educación superior;2023;134
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Mujeres;Educación superior;2022;131
40 Segovia;40001 Abades;4000101001 Abades sección 01001;Mujeres;Educación superior;2021;124
40 Segovia;40002 Adrada de Pirón;;Total;Total;2023;""
40 Segovia;40002 Adrada de Pirón;;Total;Total;2022;""
40 Segovia;40002 Adrada de Pirón;;Total;Total;2021;""
40 Segovia;40002 Adrada de Pirón;;Total;Educación primaria e inferior;2023;""
40 Segovia;40002 Adrada de Pirón;;Total;Educación primaria e inferior;2022;""
40 Segovia;40002 Adrada de Pirón;;Total;Educación primaria e inferior;2021;""
40 Segovia;40002 Adrada de Pirón;;Total;Primera etapa de Educación Secundaria y similar;2023;""
40 Segovia;40002 Adrada de Pirón;;Total;Primera etapa de Educación Secundaria y similar;2022;""
40 Segovia;40002 Adrada de Pirón;;Total;Primera etapa de Educación Secundaria y similar;2021;""
40 Segovia;40002 Adrada de Pirón;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;""
40 Segovia;40002 Adrada de Pirón;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;""
40 Segovia;40002 Adrada de Pirón;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;""
40 Segovia;40002 Adrada de Pirón;;Total;Educación superior;2023;""
40 Segovia;40002 Adrada de Pirón;;Total;Educación superior;2022;""
40 Segovia;40002 Adrada de Pirón;;Total;Educación superior;2021;""
40 Segovia;40002 Adrada de Pirón;;Hombres;Total;2023;""
40 Segovia;40002 Adrada de Pirón;;Hombres;Total;2022;""
40 Segovia;40002 Adrada de Pirón;;Hombres;Total;2021;""
40 Segovia;40002 Adrada de Pirón;;Hombres;Educación primaria e inferior;2023;""
40 Segovia;40002 Adrada de Pirón;;Hombres;Educación primaria e inferior;2022;""
40 Segovia;40002 Adrada de Pirón;;Hombres;Educación primaria e inferior;2021;""
40 Segovia;40002 Adrada de Pirón;;Hombres;Primera etapa de Educación Secundaria y similar;2023;""
40 Segovia;40002 Adrada de Pirón;;Hombres;Primera etapa de Educación Secundaria y similar;2022;""
40 Segovia;40002 Adrada de Pirón;;Hombres;Primera etapa de Educación Secundaria y similar;2021;""
40 Segovia;40002 Adrada de Pirón;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;""
40 Segovia;40002 Adrada de Pirón;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;""
40 Segovia;40002 Adrada de Pirón;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;""
40 Segovia;40002 Adrada de Pirón;;Hombres;Educación superior;2023;""
40 Segovia;40002 Adrada de Pirón;;Hombres;Educación superior;2022;""
40 Segovia;40002 Adrada de Pirón;;Hombres;Educación superior;2021;""
40 Segovia;40002 Adrada de Pirón;;Mujeres;Total;2023;""
40 Segovia;40002 Adrada de Pirón;;Mujeres;Total;2022;""
40 Segovia;40002 Adrada de Pirón;;Mujeres;Total;2021;""
40 Segovia;40002 Adrada de Pirón;;Mujeres;Educación primaria e inferior;2023;""
40 Segovia;40002 Adrada de Pirón;;Mujeres;Educación primaria e inferior;2022;""
40 Segovia;40002 Adrada de Pirón;;Mujeres;Educación primaria e inferior;2021;""
40 Segovia;40002 Adrada de Pirón;;Mujeres;Primera etapa de Educación Secundaria y similar;2023;""
40 Segovia;40002 Adrada de Pirón;;Mujeres;Primera etapa de Educación Secundaria y similar;2022;""
40 Segovia;40002 Adrada de Pirón;;Mujeres;Primera etapa de Educación Secundaria y similar;2021;""
40 Segovia;40002 Adrada de Pirón;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;""
40 Segovia;40002 Adrada de Pirón;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;""
40 Segovia;40002 Adrada de Pirón;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;""
40 Segovia;40002 Adrada de Pirón;;Mujeres;Educación superior;2023;""
40 Segovia;40002 Adrada de Pirón;;Mujeres;Educación superior;2022;""
40 Segovia;40002 Adrada de Pirón;;Mujeres;Educación superior;2021;""
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Total;Total;2023;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Total;Total;2022;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Total;Total;2021;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Total;Educación primaria e inferior;2023;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Total;Educación primaria e inferior;2022;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Total;Educación primaria e inferior;2021;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Total;Primera etapa de Educación Secundaria y similar;2023;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Total;Primera etapa de Educación Secundaria y similar;2022;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Total;Primera etapa de Educación Secundaria y similar;2021;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Total;Educación superior;2023;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Total;Educación superior;2022;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Total;Educación superior;2021;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Hombres;Total;2023;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Hombres;Total;2022;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Hombres;Total;2021;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Hombres;Educación primaria e inferior;2023;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Hombres;Educación primaria e inferior;2022;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Hombres;Educación primaria e inferior;2021;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Hombres;Primera etapa de Educación Secundaria y similar;2023;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Hombres;Primera etapa de Educación Secundaria y similar;2022;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Hombres;Primera etapa de Educación Secundaria y similar;2021;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Hombres;Educación superior;2023;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Hombres;Educación superior;2022;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Hombres;Educación superior;2021;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Mujeres;Total;2023;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Mujeres;Total;2022;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Mujeres;Total;2021;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Mujeres;Educación primaria e inferior;2023;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Mujeres;Educación primaria e inferior;2022;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Mujeres;Educación primaria e inferior;2021;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Mujeres;Primera etapa de Educación Secundaria y similar;2023;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Mujeres;Primera etapa de Educación Secundaria y similar;2022;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Mujeres;Primera etapa de Educación Secundaria y similar;2021;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Mujeres;Educación superior;2023;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Mujeres;Educación superior;2022;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Mujeres;Educación superior;2021;.
40 Segovia;40003 Adrados;;Total;Total;2023;119
40 Segovia;40003 Adrados;;Total;Total;2022;118
40 Segovia;40003 Adrados;;Total;Total;2021;123
40 Segovia;40003 Adrados;;Total;Educación primaria e inferior;2023;27
40 Segovia;40003 Adrados;;Total;Educación primaria e inferior;2022;29
40 Segovia;40003 Adrados;;Total;Educación primaria e inferior;2021;35
40 Segovia;40003 Adrados;;Total;Primera etapa de Educación Secundaria y similar;2023;56
40 Segovia;40003 Adrados;;Total;Primera etapa de Educación Secundaria y similar;2022;54
40 Segovia;40003 Adrados;;Total;Primera etapa de Educación Secundaria y similar;2021;52
40 Segovia;40003 Adrados;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;10
40 Segovia;40003 Adrados;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;11
40 Segovia;40003 Adrados;;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;13
40 Segovia;40003 Adrados;;Total;Educación superior;2023;26
40 Segovia;40003 Adrados;;Total;Educación superior;2022;24
40 Segovia;40003 Adrados;;Total;Educación superior;2021;23
40 Segovia;40003 Adrados;;Hombres;Total;2023;70
40 Segovia;40003 Adrados;;Hombres;Total;2022;67
40 Segovia;40003 Adrados;;Hombres;Total;2021;74
40 Segovia;40003 Adrados;;Hombres;Educación primaria e inferior;2023;10
40 Segovia;40003 Adrados;;Hombres;Educación primaria e inferior;2022;10
40 Segovia;40003 Adrados;;Hombres;Educación primaria e inferior;2021;14
40 Segovia;40003 Adrados;;Hombres;Primera etapa de Educación Secundaria y similar;2023;39
40 Segovia;40003 Adrados;;Hombres;Primera etapa de Educación Secundaria y similar;2022;37
