Provincias;Municipios;Secciones;Sexo;Nivel de formación alcanzado;Periodo;Total
34 Palencia;34001 Abarca de Campos;;Hombres;Educación superior;2023;""
34 Palencia;34001 Abarca de Campos;;Hombres;Educación superior;2022;""
34 Palencia;34001 Abarca de Campos;;Hombres;Educación superior;2021;""
34 Palencia;34001 Abarca de Campos;;Mujeres;Total;2023;""
34 Palencia;34001 Abarca de Campos;;Mujeres;Total;2022;""
34 Palencia;34001 Abarca de Campos;;Mujeres;Total;2021;""
34 Palencia;34001 Abarca de Campos;;Mujeres;Educación primaria e inferior;2023;""
34 Palencia;34001 Abarca de Campos;;Mujeres;Educación primaria e inferior;2022;""
34 Palencia;34001 Abarca de Campos;;Mujeres;Educación primaria e inferior;2021;""
34 Palencia;34001 Abarca de Campos;;Mujeres;Primera etapa de Educación Secundaria y similar;2023;""
34 Palencia;34001 Abarca de Campos;;Mujeres;Primera etapa de Educación Secundaria y similar;2022;""
34 Palencia;34001 Abarca de Campos;;Mujeres;Primera etapa de Educación Secundaria y similar;2021;""
34 Palencia;34001 Abarca de Campos;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;""
34 Palencia;34001 Abarca de Campos;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;""
34 Palencia;34001 Abarca de Campos;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;""
34 Palencia;34001 Abarca de Campos;;Mujeres;Educación superior;2023;""
34 Palencia;34001 Abarca de Campos;;Mujeres;Educación superior;2022;""
34 Palencia;34001 Abarca de Campos;;Mujeres;Educación superior;2021;""
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Total;Total;2023;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Total;Total;2022;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Total;Total;2021;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Total;Educación primaria e inferior;2023;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Total;Educación primaria e inferior;2022;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Total;Educación primaria e inferior;2021;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Total;Primera etapa de Educación Secundaria y similar;2023;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Total;Primera etapa de Educación Secundaria y similar;2022;.
