Provincias;Municipios;Secciones;Sexo;Nivel de formación alcanzado;Periodo;Total
47 Valladolid;47001 Adalia;;Hombres;Educación superior;2022;18
47 Valladolid;47001 Adalia;;Hombres;Educación superior;2021;18
47 Valladolid;47001 Adalia;;Mujeres;Total;2023;21
47 Valladolid;47001 Adalia;;Mujeres;Total;2022;22
47 Valladolid;47001 Adalia;;Mujeres;Total;2021;22
47 Valladolid;47001 Adalia;;Mujeres;Educación primaria e inferior;2023;3
47 Valladolid;47001 Adalia;;Mujeres;Educación primaria e inferior;2022;3
47 Valladolid;47001 Adalia;;Mujeres;Educación primaria e inferior;2021;4
47 Valladolid;47001 Adalia;;Mujeres;Primera etapa de Educación Secundaria y similar;2023;6
47 Valladolid;47001 Adalia;;Mujeres;Primera etapa de Educación Secundaria y similar;2022;6
47 Valladolid;47001 Adalia;;Mujeres;Primera etapa de Educación Secundaria y similar;2021;5
47 Valladolid;47001 Adalia;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;3
47 Valladolid;47001 Adalia;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;6
47 Valladolid;47001 Adalia;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;7
47 Valladolid;47001 Adalia;;Mujeres;Educación superior;2023;9
47 Valladolid;47001 Adalia;;Mujeres;Educación superior;2022;7
47 Valladolid;47001 Adalia;;Mujeres;Educación superior;2021;6
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Total;2023;51
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Total;2022;54
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Total;2021;52
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Educación primaria e inferior;2023;4
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Educación primaria e inferior;2022;4
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Educación primaria e inferior;2021;5
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Primera etapa de Educación Secundaria y similar;2023;13
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Primera etapa de Educación Secundaria y similar;2022;14
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Primera etapa de Educación Secundaria y similar;2021;12
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;7
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;11
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;11
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Educación superior;2023;27
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Educación superior;2022;25
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Educación superior;2021;24
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Hombres;Total;2023;30
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Hombres;Total;2022;32
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Hombres;Total;2021;30
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Hombres;Educación primaria e inferior;2023;1
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Hombres;Educación primaria e inferior;2022;1
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Hombres;Educación primaria e inferior;2021;1
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Hombres;Primera etapa de Educación Secundaria y similar;2023;7
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Hombres;Primera etapa de Educación Secundaria y similar;2022;8
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Hombres;Primera etapa de Educación Secundaria y similar;2021;7
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;4
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;5
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;4
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Hombres;Educación superior;2023;18
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Hombres;Educación superior;2022;18
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Hombres;Educación superior;2021;18
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Mujeres;Total;2023;21
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Mujeres;Total;2022;22
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Mujeres;Total;2021;22
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Mujeres;Educación primaria e inferior;2023;3
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Mujeres;Educación primaria e inferior;2022;3
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Mujeres;Educación primaria e inferior;2021;4
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Mujeres;Primera etapa de Educación Secundaria y similar;2023;6
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Mujeres;Primera etapa de Educación Secundaria y similar;2022;6
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Mujeres;Primera etapa de Educación Secundaria y similar;2021;5
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;3
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;6
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;7
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Mujeres;Educación superior;2023;9
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Mujeres;Educación superior;2022;7
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Mujeres;Educación superior;2021;6
47 Valladolid;47002 Aguasal;;Total;Total;2023;""
47 Valladolid;47002 Aguasal;;Total;Total;2022;""
47 Valladolid;47002 Aguasal;;Total;Total;2021;""
47 Valladolid;47002 Aguasal;;Total;Educación primaria e inferior;2023;""
47 Valladolid;47002 Aguasal;;Total;Educación primaria e inferior;2022;""
47 Valladolid;47002 Aguasal;;Total;Educación primaria e inferior;2021;""
47 Valladolid;47002 Aguasal;;Total;Primera etapa de Educación Secundaria y similar;2023;""
