Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Media de la renta por unidad de consumo;2019;17.244
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Media de la renta por unidad de consumo;2018;16.175
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Media de la renta por unidad de consumo;2017;15.568
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Media de la renta por unidad de consumo;2016;14.703
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Media de la renta por unidad de consumo;2015;14.950
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Mediana de la renta por unidad de consumo;2023;19.250
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Mediana de la renta por unidad de consumo;2022;17.850
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Mediana de la renta por unidad de consumo;2021;17.150
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Mediana de la renta por unidad de consumo;2020;17.150
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Mediana de la renta por unidad de consumo;2019;15.750
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Mediana de la renta por unidad de consumo;2018;15.050
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Mediana de la renta por unidad de consumo;2017;14.350
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Mediana de la renta por unidad de consumo;2016;12.950
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Mediana de la renta por unidad de consumo;2015;12.950
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Renta bruta media por persona;2023;16.663
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Renta bruta media por persona;2022;15.040
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Renta bruta media por persona;2021;14.590
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Renta bruta media por persona;2020;13.761
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Renta bruta media por persona;2019;13.091
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Renta bruta media por persona;2018;12.155
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Renta bruta media por persona;2017;11.827
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Renta bruta media por persona;2016;11.114
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Renta bruta media por persona;2015;11.169
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Renta bruta media por hogar;2023;41.934
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Renta bruta media por hogar;2022;38.615
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Renta bruta media por hogar;2021;37.122
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Renta bruta media por hogar;2020;34.890
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Renta bruta media por hogar;2019;33.065
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Renta bruta media por hogar;2018;30.720
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Renta bruta media por hogar;2017;30.918
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Renta bruta media por hogar;2016;28.704
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Renta bruta media por hogar;2015;28.316
40002 Adrada de Pirón;;;Renta neta media por persona;2023;16.964
40002 Adrada de Pirón;;;Renta neta media por persona;2022;15.697
40002 Adrada de Pirón;;;Renta neta media por persona;2021;14.786
40002 Adrada de Pirón;;;Renta neta media por persona;2020;13.993
40002 Adrada de Pirón;;;Renta neta media por persona;2019;.
40002 Adrada de Pirón;;;Renta neta media por persona;2018;.
40002 Adrada de Pirón;;;Renta neta media por persona;2017;.
40002 Adrada de Pirón;;;Renta neta media por persona;2016;.
40002 Adrada de Pirón;;;Renta neta media por persona;2015;.
40002 Adrada de Pirón;;;Renta neta media por hogar;2023;31.399
40002 Adrada de Pirón;;;Renta neta media por hogar;2022;29.618
40002 Adrada de Pirón;;;Renta neta media por hogar;2021;28.803
40002 Adrada de Pirón;;;Renta neta media por hogar;2020;27.149
40002 Adrada de Pirón;;;Renta neta media por hogar;2019;.
40002 Adrada de Pirón;;;Renta neta media por hogar;2018;.
40002 Adrada de Pirón;;;Renta neta media por hogar;2017;.
40002 Adrada de Pirón;;;Renta neta media por hogar;2016;.
40002 Adrada de Pirón;;;Renta neta media por hogar;2015;.
40002 Adrada de Pirón;;;Media de la renta por unidad de consumo;2023;.
40002 Adrada de Pirón;;;Media de la renta por unidad de consumo;2022;.
40002 Adrada de Pirón;;;Media de la renta por unidad de consumo;2021;.
40002 Adrada de Pirón;;;Media de la renta por unidad de consumo;2020;.
40002 Adrada de Pirón;;;Media de la renta por unidad de consumo;2019;.
40002 Adrada de Pirón;;;Media de la renta por unidad de consumo;2018;.
40002 Adrada de Pirón;;;Media de la renta por unidad de consumo;2017;.
40002 Adrada de Pirón;;;Media de la renta por unidad de consumo;2016;.
40002 Adrada de Pirón;;;Media de la renta por unidad de consumo;2015;.
40002 Adrada de Pirón;;;Mediana de la renta por unidad de consumo;2023;.
40002 Adrada de Pirón;;;Mediana de la renta por unidad de consumo;2022;.
40002 Adrada de Pirón;;;Mediana de la renta por unidad de consumo;2021;.
40002 Adrada de Pirón;;;Mediana de la renta por unidad de consumo;2020;.
40002 Adrada de Pirón;;;Mediana de la renta por unidad de consumo;2019;.
40002 Adrada de Pirón;;;Mediana de la renta por unidad de consumo;2018;.
40002 Adrada de Pirón;;;Mediana de la renta por unidad de consumo;2017;.
40002 Adrada de Pirón;;;Mediana de la renta por unidad de consumo;2016;.
40002 Adrada de Pirón;;;Mediana de la renta por unidad de consumo;2015;.
40002 Adrada de Pirón;;;Renta bruta media por persona;2023;20.301
40002 Adrada de Pirón;;;Renta bruta media por persona;2022;18.785
40002 Adrada de Pirón;;;Renta bruta media por persona;2021;17.469
40002 Adrada de Pirón;;;Renta bruta media por persona;2020;16.285
40002 Adrada de Pirón;;;Renta bruta media por persona;2019;.
40002 Adrada de Pirón;;;Renta bruta media por persona;2018;.
40002 Adrada de Pirón;;;Renta bruta media por persona;2017;.
40002 Adrada de Pirón;;;Renta bruta media por persona;2016;.
40002 Adrada de Pirón;;;Renta bruta media por persona;2015;.
40002 Adrada de Pirón;;;Renta bruta media por hogar;2023;37.577
40002 Adrada de Pirón;;;Renta bruta media por hogar;2022;35.445
40002 Adrada de Pirón;;;Renta bruta media por hogar;2021;34.031
40002 Adrada de Pirón;;;Renta bruta media por hogar;2020;31.594
40002 Adrada de Pirón;;;Renta bruta media por hogar;2019;.
40002 Adrada de Pirón;;;Renta bruta media por hogar;2018;.
40002 Adrada de Pirón;;;Renta bruta media por hogar;2017;.
40002 Adrada de Pirón;;;Renta bruta media por hogar;2016;.
40002 Adrada de Pirón;;;Renta bruta media por hogar;2015;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Renta neta media por persona;2023;16.964
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Renta neta media por persona;2022;15.697
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Renta neta media por persona;2021;14.786
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Renta neta media por persona;2020;13.993
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Renta neta media por persona;2019;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Renta neta media por persona;2018;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Renta neta media por persona;2017;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Renta neta media por persona;2016;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Renta neta media por persona;2015;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Renta neta media por hogar;2023;31.399
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Renta neta media por hogar;2022;29.618
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Renta neta media por hogar;2021;28.803
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Renta neta media por hogar;2020;27.149
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Renta neta media por hogar;2019;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Renta neta media por hogar;2018;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Renta neta media por hogar;2017;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Renta neta media por hogar;2016;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Renta neta media por hogar;2015;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Media de la renta por unidad de consumo;2023;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Media de la renta por unidad de consumo;2022;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Media de la renta por unidad de consumo;2021;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Media de la renta por unidad de consumo;2020;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Media de la renta por unidad de consumo;2019;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Media de la renta por unidad de consumo;2018;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Media de la renta por unidad de consumo;2017;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Media de la renta por unidad de consumo;2016;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Media de la renta por unidad de consumo;2015;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Mediana de la renta por unidad de consumo;2023;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Mediana de la renta por unidad de consumo;2022;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Mediana de la renta por unidad de consumo;2021;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Mediana de la renta por unidad de consumo;2020;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Mediana de la renta por unidad de consumo;2019;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Mediana de la renta por unidad de consumo;2018;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Mediana de la renta por unidad de consumo;2017;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Mediana de la renta por unidad de consumo;2016;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Mediana de la renta por unidad de consumo;2015;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Renta bruta media por persona;2023;20.301
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Renta bruta media por persona;2022;18.785
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Renta bruta media por persona;2021;17.469
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Renta bruta media por persona;2020;16.285
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Renta bruta media por persona;2019;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Renta bruta media por persona;2018;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Renta bruta media por persona;2017;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Renta bruta media por persona;2016;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Renta bruta media por persona;2015;.
