Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Mediana de la renta por unidad de consumo;2017;15.400
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Mediana de la renta por unidad de consumo;2016;15.050
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Mediana de la renta por unidad de consumo;2015;13.650
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Renta bruta media por persona;2023;16.191
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Renta bruta media por persona;2022;15.100
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Renta bruta media por persona;2021;13.990
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Renta bruta media por persona;2020;13.046
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Renta bruta media por persona;2019;14.002
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Renta bruta media por persona;2018;13.329
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Renta bruta media por persona;2017;12.681
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Renta bruta media por persona;2016;12.085
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Renta bruta media por persona;2015;11.612
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Renta bruta media por hogar;2023;35.550
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Renta bruta media por hogar;2022;32.358
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Renta bruta media por hogar;2021;30.809
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Renta bruta media por hogar;2020;29.162
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Renta bruta media por hogar;2019;31.910
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Renta bruta media por hogar;2018;30.102
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Renta bruta media por hogar;2017;29.962
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Renta bruta media por hogar;2016;28.156
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Renta bruta media por hogar;2015;26.217
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Renta neta media por persona;2023;13.963
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Renta neta media por persona;2022;12.993
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Renta neta media por persona;2021;12.148
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Renta neta media por persona;2020;11.573
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Renta neta media por persona;2019;12.359
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Renta neta media por persona;2018;11.808
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Renta neta media por persona;2017;11.248
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Renta neta media por persona;2016;10.745
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Renta neta media por persona;2015;10.341
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Renta neta media por hogar;2023;30.658
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Renta neta media por hogar;2022;27.843
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Renta neta media por hogar;2021;26.752
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Renta neta media por hogar;2020;25.870
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Renta neta media por hogar;2019;28.168
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Renta neta media por hogar;2018;26.667
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Renta neta media por hogar;2017;26.576
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Renta neta media por hogar;2016;25.033
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Renta neta media por hogar;2015;23.346
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Media de la renta por unidad de consumo;2023;19.420
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Media de la renta por unidad de consumo;2022;18.437
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Media de la renta por unidad de consumo;2021;17.219
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Media de la renta por unidad de consumo;2020;16.629
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Media de la renta por unidad de consumo;2019;17.373
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;0900301001 Adrada de Haza sección 01001;Media de la renta por unidad de consumo;2018;17.143
