Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Media de la renta por unidad de consumo;2016;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Media de la renta por unidad de consumo;2015;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Mediana de la renta por unidad de consumo;2023;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Mediana de la renta por unidad de consumo;2022;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Mediana de la renta por unidad de consumo;2021;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Mediana de la renta por unidad de consumo;2020;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Mediana de la renta por unidad de consumo;2019;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Mediana de la renta por unidad de consumo;2018;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Mediana de la renta por unidad de consumo;2017;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Mediana de la renta por unidad de consumo;2016;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Mediana de la renta por unidad de consumo;2015;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Renta bruta media por persona;2023;20.089
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Renta bruta media por persona;2022;18.382
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Renta bruta media por persona;2021;17.695
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Renta bruta media por persona;2020;16.460
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Renta bruta media por persona;2019;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Renta bruta media por persona;2018;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Renta bruta media por persona;2017;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Renta bruta media por persona;2016;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Renta bruta media por persona;2015;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Renta bruta media por hogar;2023;41.245
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Renta bruta media por hogar;2022;37.008
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Renta bruta media por hogar;2021;36.646
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Renta bruta media por hogar;2020;34.654
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Renta bruta media por hogar;2019;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Renta bruta media por hogar;2018;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Renta bruta media por hogar;2017;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Renta bruta media por hogar;2016;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Renta bruta media por hogar;2015;.
34003 Abia de las Torres;;;Renta neta media por persona;2023;16.097
34003 Abia de las Torres;;;Renta neta media por persona;2022;15.129
34003 Abia de las Torres;;;Renta neta media por persona;2021;15.691
34003 Abia de las Torres;;;Renta neta media por persona;2020;14.563
34003 Abia de las Torres;;;Renta neta media por persona;2019;13.243
34003 Abia de las Torres;;;Renta neta media por persona;2018;12.667
34003 Abia de las Torres;;;Renta neta media por persona;2017;11.651
34003 Abia de las Torres;;;Renta neta media por persona;2016;11.564
34003 Abia de las Torres;;;Renta neta media por persona;2015;11.340
34003 Abia de las Torres;;;Renta neta media por hogar;2023;40.974
34003 Abia de las Torres;;;Renta neta media por hogar;2022;35.662
34003 Abia de las Torres;;;Renta neta media por hogar;2021;38.996
34003 Abia de las Torres;;;Renta neta media por hogar;2020;37.191
34003 Abia de las Torres;;;Renta neta media por hogar;2019;33.302
34003 Abia de las Torres;;;Renta neta media por hogar;2018;31.666
34003 Abia de las Torres;;;Renta neta media por hogar;2017;28.344
34003 Abia de las Torres;;;Renta neta media por hogar;2016;28.503
34003 Abia de las Torres;;;Renta neta media por hogar;2015;28.508
34003 Abia de las Torres;;;Media de la renta por unidad de consumo;2023;23.488
34003 Abia de las Torres;;;Media de la renta por unidad de consumo;2022;22.220
34003 Abia de las Torres;;;Media de la renta por unidad de consumo;2021;22.954
34003 Abia de las Torres;;;Media de la renta por unidad de consumo;2020;21.221
34003 Abia de las Torres;;;Media de la renta por unidad de consumo;2019;19.156
34003 Abia de las Torres;;;Media de la renta por unidad de consumo;2018;18.092
34003 Abia de las Torres;;;Media de la renta por unidad de consumo;2017;16.865
34003 Abia de las Torres;;;Media de la renta por unidad de consumo;2016;17.041
34003 Abia de las Torres;;;Media de la renta por unidad de consumo;2015;16.597
34003 Abia de las Torres;;;Mediana de la renta por unidad de consumo;2023;21.350
34003 Abia de las Torres;;;Mediana de la renta por unidad de consumo;2022;18.900
34003 Abia de las Torres;;;Mediana de la renta por unidad de consumo;2021;21.700
34003 Abia de las Torres;;;Mediana de la renta por unidad de consumo;2020;19.250
34003 Abia de las Torres;;;Mediana de la renta por unidad de consumo;2019;16.450
34003 Abia de las Torres;;;Mediana de la renta por unidad de consumo;2018;17.150
34003 Abia de las Torres;;;Mediana de la renta por unidad de consumo;2017;15.750
