Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
24001 Acebedo;2400101 Acebedo distrito 01;;Mediana de la renta por unidad de consumo;2017;12.250
24001 Acebedo;2400101 Acebedo distrito 01;;Mediana de la renta por unidad de consumo;2016;11.550
24001 Acebedo;2400101 Acebedo distrito 01;;Mediana de la renta por unidad de consumo;2015;12.600
24001 Acebedo;2400101 Acebedo distrito 01;;Renta bruta media por persona;2023;16.072
24001 Acebedo;2400101 Acebedo distrito 01;;Renta bruta media por persona;2022;14.911
24001 Acebedo;2400101 Acebedo distrito 01;;Renta bruta media por persona;2021;14.807
24001 Acebedo;2400101 Acebedo distrito 01;;Renta bruta media por persona;2020;14.409
24001 Acebedo;2400101 Acebedo distrito 01;;Renta bruta media por persona;2019;14.058
24001 Acebedo;2400101 Acebedo distrito 01;;Renta bruta media por persona;2018;13.556
24001 Acebedo;2400101 Acebedo distrito 01;;Renta bruta media por persona;2017;13.094
24001 Acebedo;2400101 Acebedo distrito 01;;Renta bruta media por persona;2016;12.885
24001 Acebedo;2400101 Acebedo distrito 01;;Renta bruta media por persona;2015;12.936
24001 Acebedo;2400101 Acebedo distrito 01;;Renta bruta media por hogar;2023;31.970
24001 Acebedo;2400101 Acebedo distrito 01;;Renta bruta media por hogar;2022;29.821
24001 Acebedo;2400101 Acebedo distrito 01;;Renta bruta media por hogar;2021;30.806
24001 Acebedo;2400101 Acebedo distrito 01;;Renta bruta media por hogar;2020;29.138
24001 Acebedo;2400101 Acebedo distrito 01;;Renta bruta media por hogar;2019;29.409
24001 Acebedo;2400101 Acebedo distrito 01;;Renta bruta media por hogar;2018;28.499
24001 Acebedo;2400101 Acebedo distrito 01;;Renta bruta media por hogar;2017;28.160
24001 Acebedo;2400101 Acebedo distrito 01;;Renta bruta media por hogar;2016;26.420
24001 Acebedo;2400101 Acebedo distrito 01;;Renta bruta media por hogar;2015;26.626
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Renta neta media por persona;2023;14.056
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Renta neta media por persona;2022;13.075
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Renta neta media por persona;2021;12.870
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Renta neta media por persona;2020;12.540
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Renta neta media por persona;2019;12.304
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Renta neta media por persona;2018;11.881
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Renta neta media por persona;2017;11.407
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Renta neta media por persona;2016;11.214
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Renta neta media por persona;2015;11.232
