Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Renta bruta media por persona;2019;14.067
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Renta bruta media por persona;2018;13.640
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Renta bruta media por persona;2017;13.543
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Renta bruta media por persona;2016;11.721
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Renta bruta media por persona;2015;11.764
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Renta bruta media por hogar;2023;38.290
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Renta bruta media por hogar;2022;34.748
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Renta bruta media por hogar;2021;31.676
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Renta bruta media por hogar;2020;28.590
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Renta bruta media por hogar;2019;29.728
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Renta bruta media por hogar;2018;28.928
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Renta bruta media por hogar;2017;29.146
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Renta bruta media por hogar;2016;25.809
05001 Adanero;0500101 Adanero distrito 01;0500101001 Adanero sección 01001;Renta bruta media por hogar;2015;25.042
05002 Adrada, La;;;Renta neta media por persona;2023;11.531
05002 Adrada, La;;;Renta neta media por persona;2022;10.657
05002 Adrada, La;;;Renta neta media por persona;2021;10.304
05002 Adrada, La;;;Renta neta media por persona;2020;10.026
05002 Adrada, La;;;Renta neta media por persona;2019;9.297
05002 Adrada, La;;;Renta neta media por persona;2018;8.757
05002 Adrada, La;;;Renta neta media por persona;2017;8.378
05002 Adrada, La;;;Renta neta media por persona;2016;7.969
05002 Adrada, La;;;Renta neta media por persona;2015;7.730
05002 Adrada, La;;;Renta neta media por hogar;2023;26.052
05002 Adrada, La;;;Renta neta media por hogar;2022;23.626
05002 Adrada, La;;;Renta neta media por hogar;2021;22.685
05002 Adrada, La;;;Renta neta media por hogar;2020;22.788
05002 Adrada, La;;;Renta neta media por hogar;2019;21.796
05002 Adrada, La;;;Renta neta media por hogar;2018;20.664
05002 Adrada, La;;;Renta neta media por hogar;2017;19.719
05002 Adrada, La;;;Renta neta media por hogar;2016;18.930
05002 Adrada, La;;;Renta neta media por hogar;2015;18.513
05002 Adrada, La;;;Media de la renta por unidad de consumo;2023;16.417
05002 Adrada, La;;;Media de la renta por unidad de consumo;2022;15.617
05002 Adrada, La;;;Media de la renta por unidad de consumo;2021;14.795
05002 Adrada, La;;;Media de la renta por unidad de consumo;2020;14.475
05002 Adrada, La;;;Media de la renta por unidad de consumo;2019;13.749
