Municipios;Distritos;Secciones;Distribución por fuente de ingresos;Periodo;Total
24002 Algadefe;2400201 Algadefe distrito 01;;Fuente de ingreso: otras prestaciones;2020;4,8
24002 Algadefe;2400201 Algadefe distrito 01;;Fuente de ingreso: otras prestaciones;2019;5,5
24002 Algadefe;2400201 Algadefe distrito 01;;Fuente de ingreso: otras prestaciones;2018;5
24002 Algadefe;2400201 Algadefe distrito 01;;Fuente de ingreso: otras prestaciones;2017;4,5
24002 Algadefe;2400201 Algadefe distrito 01;;Fuente de ingreso: otras prestaciones;2016;2,5
24002 Algadefe;2400201 Algadefe distrito 01;;Fuente de ingreso: otras prestaciones;2015;2,7
24002 Algadefe;2400201 Algadefe distrito 01;;Fuente de ingreso: otros ingresos;2023;44,2
24002 Algadefe;2400201 Algadefe distrito 01;;Fuente de ingreso: otros ingresos;2022;36,3
24002 Algadefe;2400201 Algadefe distrito 01;;Fuente de ingreso: otros ingresos;2021;29
24002 Algadefe;2400201 Algadefe distrito 01;;Fuente de ingreso: otros ingresos;2020;27,5
24002 Algadefe;2400201 Algadefe distrito 01;;Fuente de ingreso: otros ingresos;2019;27,6
24002 Algadefe;2400201 Algadefe distrito 01;;Fuente de ingreso: otros ingresos;2018;28,2
24002 Algadefe;2400201 Algadefe distrito 01;;Fuente de ingreso: otros ingresos;2017;33,3
24002 Algadefe;2400201 Algadefe distrito 01;;Fuente de ingreso: otros ingresos;2016;27,5
24002 Algadefe;2400201 Algadefe distrito 01;;Fuente de ingreso: otros ingresos;2015;27,1
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: salario;2023;28,5
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: salario;2022;32,5
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: salario;2021;38,2
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: salario;2020;37
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: salario;2019;36,8
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: salario;2018;35,7
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: salario;2017;30,8
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: salario;2016;39,4
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: salario;2015;37,3
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: pensiones;2023;22,5
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: pensiones;2022;25,7
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: pensiones;2021;27,2
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: pensiones;2020;29,1
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: pensiones;2019;29,4
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: pensiones;2018;30,3
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: pensiones;2017;29,9
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: pensiones;2016;29,6
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: pensiones;2015;31,9
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: prestaciones por desempleo;2023;0,9
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: prestaciones por desempleo;2022;1,1
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: prestaciones por desempleo;2021;0,9
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: prestaciones por desempleo;2020;1,7
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: prestaciones por desempleo;2019;0,7
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: prestaciones por desempleo;2018;0,8
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: prestaciones por desempleo;2017;1,5
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: prestaciones por desempleo;2016;1,1
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: prestaciones por desempleo;2015;1,1
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: otras prestaciones;2023;3,9
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: otras prestaciones;2022;4,4
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: otras prestaciones;2021;4,8
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: otras prestaciones;2020;4,8
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: otras prestaciones;2019;5,5
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: otras prestaciones;2018;5
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: otras prestaciones;2017;4,5
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: otras prestaciones;2016;2,5
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: otras prestaciones;2015;2,7
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: otros ingresos;2023;44,2
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: otros ingresos;2022;36,3
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: otros ingresos;2021;29
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: otros ingresos;2020;27,5
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: otros ingresos;2019;27,6
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: otros ingresos;2018;28,2
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: otros ingresos;2017;33,3
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: otros ingresos;2016;27,5
24002 Algadefe;2400201 Algadefe distrito 01;2400201001 Algadefe sección 01001;Fuente de ingreso: otros ingresos;2015;27,1
24003 Alija del Infantado;;;Fuente de ingreso: salario;2023;37,9
24003 Alija del Infantado;;;Fuente de ingreso: salario;2022;37,5
24003 Alija del Infantado;;;Fuente de ingreso: salario;2021;35,5
24003 Alija del Infantado;;;Fuente de ingreso: salario;2020;35,8
24003 Alija del Infantado;;;Fuente de ingreso: salario;2019;34,9
24003 Alija del Infantado;;;Fuente de ingreso: salario;2018;35,7
24003 Alija del Infantado;;;Fuente de ingreso: salario;2017;33,8
24003 Alija del Infantado;;;Fuente de ingreso: salario;2016;34,5
24003 Alija del Infantado;;;Fuente de ingreso: salario;2015;33
24003 Alija del Infantado;;;Fuente de ingreso: pensiones;2023;42,1
24003 Alija del Infantado;;;Fuente de ingreso: pensiones;2022;42
24003 Alija del Infantado;;;Fuente de ingreso: pensiones;2021;42,2
24003 Alija del Infantado;;;Fuente de ingreso: pensiones;2020;42,9
24003 Alija del Infantado;;;Fuente de ingreso: pensiones;2019;41,6
24003 Alija del Infantado;;;Fuente de ingreso: pensiones;2018;43,5
24003 Alija del Infantado;;;Fuente de ingreso: pensiones;2017;45,7
24003 Alija del Infantado;;;Fuente de ingreso: pensiones;2016;44
24003 Alija del Infantado;;;Fuente de ingreso: pensiones;2015;44,6
