Municipios;Distritos;Secciones;Distribución por fuente de ingresos;Periodo;Total
47002 Aguasal;;;Fuente de ingreso: prestaciones por desempleo;2020;.
47002 Aguasal;;;Fuente de ingreso: prestaciones por desempleo;2019;.
47002 Aguasal;;;Fuente de ingreso: prestaciones por desempleo;2018;.
47002 Aguasal;;;Fuente de ingreso: prestaciones por desempleo;2017;.
47002 Aguasal;;;Fuente de ingreso: prestaciones por desempleo;2016;.
47002 Aguasal;;;Fuente de ingreso: prestaciones por desempleo;2015;.
47002 Aguasal;;;Fuente de ingreso: otras prestaciones;2023;.
47002 Aguasal;;;Fuente de ingreso: otras prestaciones;2022;.
47002 Aguasal;;;Fuente de ingreso: otras prestaciones;2021;.
47002 Aguasal;;;Fuente de ingreso: otras prestaciones;2020;.
47002 Aguasal;;;Fuente de ingreso: otras prestaciones;2019;.
47002 Aguasal;;;Fuente de ingreso: otras prestaciones;2018;.
47002 Aguasal;;;Fuente de ingreso: otras prestaciones;2017;.
47002 Aguasal;;;Fuente de ingreso: otras prestaciones;2016;.
47002 Aguasal;;;Fuente de ingreso: otras prestaciones;2015;.
47002 Aguasal;;;Fuente de ingreso: otros ingresos;2023;.
47002 Aguasal;;;Fuente de ingreso: otros ingresos;2022;.
47002 Aguasal;;;Fuente de ingreso: otros ingresos;2021;.
47002 Aguasal;;;Fuente de ingreso: otros ingresos;2020;.
47002 Aguasal;;;Fuente de ingreso: otros ingresos;2019;.
47002 Aguasal;;;Fuente de ingreso: otros ingresos;2018;.
47002 Aguasal;;;Fuente de ingreso: otros ingresos;2017;.
47002 Aguasal;;;Fuente de ingreso: otros ingresos;2016;.
47002 Aguasal;;;Fuente de ingreso: otros ingresos;2015;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: salario;2023;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: salario;2022;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: salario;2021;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: salario;2020;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: salario;2019;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: salario;2018;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: salario;2017;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: salario;2016;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: salario;2015;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: pensiones;2023;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: pensiones;2022;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: pensiones;2021;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: pensiones;2020;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: pensiones;2019;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: pensiones;2018;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: pensiones;2017;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: pensiones;2016;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: pensiones;2015;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: prestaciones por desempleo;2023;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: prestaciones por desempleo;2022;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: prestaciones por desempleo;2021;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: prestaciones por desempleo;2020;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: prestaciones por desempleo;2019;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: prestaciones por desempleo;2018;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: prestaciones por desempleo;2017;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: prestaciones por desempleo;2016;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: prestaciones por desempleo;2015;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: otras prestaciones;2023;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: otras prestaciones;2022;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: otras prestaciones;2021;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: otras prestaciones;2020;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: otras prestaciones;2019;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: otras prestaciones;2018;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: otras prestaciones;2017;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: otras prestaciones;2016;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: otras prestaciones;2015;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: otros ingresos;2023;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: otros ingresos;2022;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: otros ingresos;2021;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: otros ingresos;2020;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: otros ingresos;2019;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: otros ingresos;2018;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: otros ingresos;2017;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: otros ingresos;2016;.
47002 Aguasal;4700201 Aguasal distrito 01;;Fuente de ingreso: otros ingresos;2015;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: salario;2023;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: salario;2022;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: salario;2021;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: salario;2020;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: salario;2019;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: salario;2018;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: salario;2017;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: salario;2016;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: salario;2015;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: pensiones;2023;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: pensiones;2022;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: pensiones;2021;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: pensiones;2020;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: pensiones;2019;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: pensiones;2018;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: pensiones;2017;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: pensiones;2016;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: pensiones;2015;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: prestaciones por desempleo;2023;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: prestaciones por desempleo;2022;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: prestaciones por desempleo;2021;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: prestaciones por desempleo;2020;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: prestaciones por desempleo;2019;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: prestaciones por desempleo;2018;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: prestaciones por desempleo;2017;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: prestaciones por desempleo;2016;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: prestaciones por desempleo;2015;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: otras prestaciones;2023;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: otras prestaciones;2022;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: otras prestaciones;2021;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: otras prestaciones;2020;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: otras prestaciones;2019;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: otras prestaciones;2018;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: otras prestaciones;2017;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: otras prestaciones;2016;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: otras prestaciones;2015;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: otros ingresos;2023;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: otros ingresos;2022;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: otros ingresos;2021;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: otros ingresos;2020;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: otros ingresos;2019;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: otros ingresos;2018;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: otros ingresos;2017;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: otros ingresos;2016;.
47002 Aguasal;4700201 Aguasal distrito 01;4700201001 Aguasal sección 01001;Fuente de ingreso: otros ingresos;2015;.
47003 Aguilar de Campos;;;Fuente de ingreso: salario;2023;45,6
47003 Aguilar de Campos;;;Fuente de ingreso: salario;2022;46,8
47003 Aguilar de Campos;;;Fuente de ingreso: salario;2021;42,9
47003 Aguilar de Campos;;;Fuente de ingreso: salario;2020;46
47003 Aguilar de Campos;;;Fuente de ingreso: salario;2019;45,7
47003 Aguilar de Campos;;;Fuente de ingreso: salario;2018;46,8
47003 Aguilar de Campos;;;Fuente de ingreso: salario;2017;45,4
47003 Aguilar de Campos;;;Fuente de ingreso: salario;2016;41,1
47003 Aguilar de Campos;;;Fuente de ingreso: salario;2015;39,7
47003 Aguilar de Campos;;;Fuente de ingreso: pensiones;2023;27,2
47003 Aguilar de Campos;;;Fuente de ingreso: pensiones;2022;25,4
47003 Aguilar de Campos;;;Fuente de ingreso: pensiones;2021;23,6
47003 Aguilar de Campos;;;Fuente de ingreso: pensiones;2020;23,1
47003 Aguilar de Campos;;;Fuente de ingreso: pensiones;2019;24,9
47003 Aguilar de Campos;;;Fuente de ingreso: pensiones;2018;26,2
47003 Aguilar de Campos;;;Fuente de ingreso: pensiones;2017;28,5
47003 Aguilar de Campos;;;Fuente de ingreso: pensiones;2016;29,1
47003 Aguilar de Campos;;;Fuente de ingreso: pensiones;2015;29,7
47003 Aguilar de Campos;;;Fuente de ingreso: prestaciones por desempleo;2023;0,8
47003 Aguilar de Campos;;;Fuente de ingreso: prestaciones por desempleo;2022;1,8
47003 Aguilar de Campos;;;Fuente de ingreso: prestaciones por desempleo;2021;2,2
47003 Aguilar de Campos;;;Fuente de ingreso: prestaciones por desempleo;2020;3
47003 Aguilar de Campos;;;Fuente de ingreso: prestaciones por desempleo;2019;0,8
47003 Aguilar de Campos;;;Fuente de ingreso: prestaciones por desempleo;2018;0,8
47003 Aguilar de Campos;;;Fuente de ingreso: prestaciones por desempleo;2017;1,6
47003 Aguilar de Campos;;;Fuente de ingreso: prestaciones por desempleo;2016;2,1
47003 Aguilar de Campos;;;Fuente de ingreso: prestaciones por desempleo;2015;1,7
47003 Aguilar de Campos;;;Fuente de ingreso: otras prestaciones;2023;3
47003 Aguilar de Campos;;;Fuente de ingreso: otras prestaciones;2022;2,4
47003 Aguilar de Campos;;;Fuente de ingreso: otras prestaciones;2021;2,4
47003 Aguilar de Campos;;;Fuente de ingreso: otras prestaciones;2020;2,3
47003 Aguilar de Campos;;;Fuente de ingreso: otras prestaciones;2019;2,5
47003 Aguilar de Campos;;;Fuente de ingreso: otras prestaciones;2018;2,3
47003 Aguilar de Campos;;;Fuente de ingreso: otras prestaciones;2017;1,6
47003 Aguilar de Campos;;;Fuente de ingreso: otras prestaciones;2016;1,6
47003 Aguilar de Campos;;;Fuente de ingreso: otras prestaciones;2015;1,8
47003 Aguilar de Campos;;;Fuente de ingreso: otros ingresos;2023;23,4
