Municipios;Distritos;Secciones;Distribución por fuente de ingresos;Periodo;Total
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Fuente de ingreso: otras prestaciones;2021;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Fuente de ingreso: otras prestaciones;2020;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Fuente de ingreso: otras prestaciones;2019;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Fuente de ingreso: otras prestaciones;2018;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Fuente de ingreso: otras prestaciones;2017;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Fuente de ingreso: otras prestaciones;2016;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Fuente de ingreso: otras prestaciones;2015;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Fuente de ingreso: otros ingresos;2023;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Fuente de ingreso: otros ingresos;2022;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Fuente de ingreso: otros ingresos;2021;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Fuente de ingreso: otros ingresos;2020;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Fuente de ingreso: otros ingresos;2019;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Fuente de ingreso: otros ingresos;2018;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Fuente de ingreso: otros ingresos;2017;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Fuente de ingreso: otros ingresos;2016;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;;Fuente de ingreso: otros ingresos;2015;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: salario;2023;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: salario;2022;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: salario;2021;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: salario;2020;.
34001 Abarca de Campos;3400101 Abarca de Campos distrito 01;3400101001 Abarca de Campos sección 01001;Fuente de ingreso: salario;2019;.
