CUSEC_origen;ceas_id;CUSEC_servicio;distancia
0501904004;2;0501901001;828,905
0501904004;3;0501904004;0,000
0501904004;22;0501904010;561,878
0501904004;1;0501903002;5246,325
0501904004;14;0504101001;29745,597
0501904004;13;0505701001;29245,210
0501904004;4;0513501001;27894,152
0501904004;19;0520401001;28740,121
0501904005;3;0501904004;503,734
0501904005;22;0501904010;314,960
0501904005;2;0501901001;1051,510
0501904005;1;0501903002;5222,474
0501904005;14;0504101001;29864,871
0501904005;13;0505701001;28909,568
0501904005;4;0513501001;28387,573
0501904005;19;0520401001;28575,871
0501904006;2;0501901001;739,807
0501904006;3;0501904004;370,289
0501904006;22;0501904010;569,546
0501904006;1;0501903002;4997,866
0501904006;13;0505701001;29221,995
0501904006;4;0513501001;28226,080
0501904006;19;0520401001;28427,816
0501904008;3;0501904004;708,105
0501904008;22;0501904010;255,820
0501904008;2;0501901001;1498,956
0501904008;1;0501903002;5788,324
0501904008;14;0504101001;29297,802
0501904008;13;0505701001;28540,016
0501904008;4;0513501001;28204,043
0501904008;19;0520401001;29136,699
0501904009;2;0501901001;808,546
0501904009;3;0501904004;210,878
0501904009;22;0501904010;748,579
0501904009;1;0501903002;5265,205
0501904009;14;0504101001;29703,370
0501904009;13;0505701001;29391,105
0501904009;4;0513501001;27688,880
0501904009;19;0520401001;28806,089
0501904010;3;0501904004;561,878
0501904010;22;0501904010;0,000
0501904010;2;0501901001;1289,910
0501904010;1;0501903002;5535,354
0501904010;14;0504101001;29552,581
0501904010;13;0505701001;28700,398
0501904010;4;0513501001;28290,520
0501904010;19;0520401001;28884,233
0501904011;2;0501901001;2224,200
0501904011;3;0501904004;1616,242
0501904011;22;0501904010;1061,250
0501904011;1;0501903002;6020,044
0501904011;14;0504101001;29414,782
0501904011;13;0505701001;27745,406
0501904011;4;0513501001;29180,052
0501904011;19;0520401001;28983,167
0501904012;2;0501901001;4768,937
0501904012;3;0501904004;4026,793
0501904012;22;0501904010;3489,573
0501904012;1;0501903002;8554,949
0501904012;14;0504101001;27545,867
0501904012;13;0505701001;25220,726
0501904012;16;0524101002;27817,487
0501904013;2;0501901001;6455,710
0501904013;1;0501903002;10914,969
0501904013;3;0501904004;5679,386
0501904013;22;0501904010;5481,722
0501904013;9;0500201002;29510,205
0501904013;14;0504101001;24073,853
0501904013;13;0505701001;26196,392
0501904013;4;0513501001;26273,039
0501904013;16;0524101002;27959,700
0501904014;22;0501904010;4669,879
0501904014;2;0501901001;5833,423
0501904014;1;0501903002;10204,989
0501904014;3;0501904004;5007,925
0501904014;9;0500201002;29858,780
0501904014;14;0504101001;25063,593
0501904014;13;0505701001;25387,552
0501904014;4;0513501001;27825,137
0501904014;16;0524101002;27445,434
0501905001;2;0501901001;810,493
0501905001;3;0501904004;580,291
0501905001;22;0501904010;635,831
0501905001;1;0501903002;4899,643
0501905001;13;0505701001;29166,631
0501905001;4;0513501001;28432,687
0501905001;19;0520401001;28276,916
0501905002;2;0501901001;965,562
0501905002;3;0501904004;815,588
0501905002;22;0501904010;754,431
0501905002;1;0501903002;4825,691
0501905002;13;0505701001;29077,185
0501905002;4;0513501001;28671,937
0501905002;19;0520401001;28129,819
0501905003;22;0501904010;953,506
0501905003;2;0501901001;1345,345
0501905003;1;0501903002;4872,951
0501905003;3;0501904004;1178,837
0501905003;13;0505701001;28806,564
0501905003;4;0513501001;29063,274
0501905003;19;0520401001;28017,577
0501905004;2;0501901001;1986,508
0501905004;3;0501904004;1695,320
0501905004;22;0501904010;1294,250
0501905004;1;0501903002;5255,718
0501905004;13;0505701001;28217,670
0501905004;4;0513501001;29573,103
0501905004;19;0520401001;28120,594
0501905005;22;0501904010;720,789
0501905005;2;0501901001;1521,779
0501905005;3;0501904004;1119,123
0501905005;1;0501903002;5265,233
0501905005;13;0505701001;28501,541
0501905005;4;0513501001;28989,619
0501905005;19;0520401001;28391,982
0501905006;2;0501901001;4114,830
0501905006;3;0501904004;3577,928
0501905006;22;0501904010;3025,615
0501905006;1;0501903002;7233,350
0501905006;14;0504101001;29282,154
0501905006;13;0505701001;26010,178
0501905006;19;0520401001;29245,029
0501905006;16;0524101002;28869,563
0501906001;2;0501901001;613,204
0501906001;3;0501904004;996,163
0501906001;1;0501903002;4331,325
0501906001;22;0501904010;1204,489
0501906001;13;0505701001;29622,380
0501906001;4;0513501001;28521,157
0501906001;19;0520401001;27751,637
0501906002;2;0501901001;1515,108
0501906002;1;0501903002;4677,679
0501906002;3;0501904004;1476,161
0501906002;22;0501904010;1277,811
0501906002;13;0505701001;28841,086
0501906002;4;0513501001;29333,522
0501906002;19;0520401001;27727,888
0501906003;3;0501904004;4940,701
0501906003;22;0501904010;4468,183
0501906003;2;0501901001;5207,224
0501906003;1;0501903002;7042,139
0501906003;13;0505701001;25985,628
0501906003;15;0516801001;28533,083
0501906003;19;0520401001;27733,195
0501906003;16;0524101002;29191,187
0501906004;2;0501901001;831,775
0501906004;1;0501903002;4224,843
0501906004;3;0501904004;1191,062
0501906004;22;0501904010;1325,247
0501906004;13;0505701001;29575,096
0501906004;4;0513501001;28743,025
0501906004;19;0520401001;27582,772
0501906005;2;0501901001;848,782
0501906005;1;0501903002;4012,763
0501906005;3;0501904004;1345,025
0501906005;22;0501904010;1528,084
0501906005;13;0505701001;29775,569
0501906005;4;0513501001;28733,627
0501906005;19;0520401001;27403,684
0501906008;2;0501901001;1424,147
0501906008;1;0501903002;3526,330
0501906008;3;0501904004;1958,555
0501906008;22;0501904010;2087,934
0501906008;13;0505701001;29954,057
0501906008;4;0513501001;29194,782
0501906008;19;0520401001;26806,874
0501906009;2;0501901001;939,271
0501906009;1;0501903002;4431,697
0501906009;3;0501904004;1113,768
0501906009;22;0501904010;1154,224
0501906009;13;0505701001;29338,422
0501906009;4;0513501001;28822,662
0501906009;19;0520401001;27731,557
0501906010;2;0501901001;1202,197
0501906010;1;0501903002;4196,050
0501906010;3;0501904004;1464,928
0501906010;22;0501904010;1475,678
0501906010;13;0505701001;29385,904
0501906010;4;0513501001;29112,992
0501906010;19;0520401001;27411,151
0501906011;2;0501901001;14108,532
0501906011;1;0501903002;13920,078
0501906011;3;0501904004;14011,449
0501906011;22;0501904010;13586,902
0501906011;13;0505701001;23917,770
0501906011;15;0516801001;20078,003
0501906011;19;0520401001;25908,062
0501906011;16;0524101002;28441,119
0501906012;2;0501901001;2097,199
0501906012;1;0501903002;3257,459
0501906012;3;0501904004;2581,798
0501906012;22;0501904010;2631,320
0501906012;13;0505701001;29926,978
0501906012;4;0513501001;29825,121
0501906012;19;0520401001;26260,723
0501906013;1;0501903002;3580,356
0501906013;2;0501901001;6246,262
0501906013;3;0501904004;6765,429
0501906013;22;0501904010;6757,219
0501906013;19;0520401001;22382,225
0501906014;2;0501901001;2162,039
0501906014;1;0501903002;4362,660
0501906014;3;0501904004;2270,806
0501906014;22;0501904010;2079,878
0501906014;13;0505701001;28832,285
0501906014;19;0520401001;27067,779
0502101001;5;0502101002;1916,809
0502101001;17;0518601001;20825,223
0502101001;123;3704602001;20374,752
0502101001;126;3715601002;25657,202
0502101002;5;0502101002;0,000
0502101002;17;0518601001;19348,336
0502101002;123;3704602001;22270,359
0502101002;126;3715601002;26627,291
0502201001;13;0505701001;12024,945
0502201001;16;0524101002;12581,510
0502201001;9;0500201002;16967,941
0502201001;2;0501901001;20603,282
0502201001;1;0501903002;24485,070
0502201001;3;0501904004;19794,745
0502201001;22;0501904010;19319,478
0502201001;14;0504101001;18536,912
0502201001;21;0505401001;25352,875
0502201001;15;0516801001;28702,215
0502201001;10;0524002001;23530,865
0502201002;9;0500201002;8698,586
0502201002;13;0505701001;11852,680
0502201002;10;0524002001;14234,744
0502201002;16;0524101002;8125,217
0502201002;2;0501901001;29627,407
0502201002;3;0501904004;28804,891
0502201002;22;0501904010;28361,606
0502201002;14;0504101001;16080,782
0502201002;21;0505401001;19361,676
0502301001;7;0511402001;9198,532
0502301001;6;0501601001;17532,772
0502301001;8;0506501001;22152,716
0502301001;135;3724602001;29641,973
0502301001;200;4708502001;28818,351
0502401001;5;0502101002;10916,842
0502401001;123;3704602001;11647,981
0502401001;17;0518601001;26653,795
0502401001;126;3715601002;19577,787
0502501001;17;0518601001;8921,977
0502501001;5;0502101002;26924,454
0502501001;4;0513501001;25744,814
0502501001;18;0516501001;27987,554
0502601001;7;0511402001;6660,431
0502601001;6;0501601001;21511,870
0502601001;8;0506501001;20214,161
0502601001;135;3724602001;25638,820
0502701001;1;0501903002;13207,445
0502701001;2;0501901001;17006,071
0502701001;3;0501904004;17828,277
0502701001;22;0501904010;18276,249
0502701001;8;0506501001;18530,250
0502701001;19;0520401001;18341,238
0502901001;8;0506501001;12880,296
0502901001;7;0511402001;14521,214
0502901001;6;0501601001;21756,587
0502901001;135;3724602001;25066,730
0503001001;2;0501901001;10167,758
0503001001;1;0501903002;8443,367
0503001001;3;0501904004;10413,584
0503001001;22;0501904010;10185,714
0503001001;13;0505701001;29053,737
0503001001;15;0516801001;26014,750
0503001001;19;0520401001;21764,091
0503301001;8;0506501001;12785,853
0503301001;135;3724602001;13211,489
0503301001;7;0511402001;29607,334
0503301001;4;0513501001;26019,574
0503401001;7;0511402001;7988,314
0503401001;6;0501601001;22922,638
0503401001;200;4708502001;19421,035
0503401001;169;4710101002;27159,365
0503501001;19;0520401001;5376,010
0503501001;6;0501601001;24200,739
0503501001;2;0501901001;24689,101
0503501001;1;0501903002;20235,398
0503501001;3;0501904004;25456,455
0503501001;22;0501904010;25684,306
0503501001;8;0506501001;27683,152
0503601001;19;0520401001;13142,228
0503601001;6;0501601001;18717,924
0503601001;2;0501901001;28965,547
0503601001;1;0501903002;24679,755
0503601001;3;0501904004;29791,182
0503601001;8;0506501001;20652,297
0503701001;5;0502101002;11279,744
0503701001;20;0504703001;20925,266
0503701001;18;0516501001;25775,296
0503701001;17;0518601001;20946,315
0503701001;11;0501401001;29071,107
0503801001;17;0518601001;11495,717
0503801001;4;0513501001;20107,414
0503801001;18;0516501001;24821,387
0503901001;8;0506501001;11871,064
0503901001;2;0501901001;22228,139
0503901001;1;0501903002;20961,562
0503901001;3;0501904004;22791,526
0503901001;22;0501904010;23353,184
0503901001;4;0513501001;19536,083
0503901001;135;3724602001;29873,833
0504001001;2;0501901001;14336,296
0504001001;1;0501903002;12839,889
0504001001;3;0501904004;14964,477
0504001001;22;0501904010;15524,202
0504001001;8;0506501001;18044,148
0504001001;4;0513501001;21742,086
0504001001;19;0520401001;27636,520
0504101001;14;0504101001;0,000
0504101001;9;0500201002;12566,732
0504101001;21;0505401001;9828,299
0504101001;3;0501904004;29745,597
0504101001;22;0501904010;29552,581
0504101001;13;0505701001;27414,721
0504101001;12;0513201001;27691,108
0504101001;18;0516501001;29094,728
0504101001;10;0524002001;20438,378
0504101001;16;0524101002;24203,785
0504201001;8;0506501001;14328,122
0504201001;6;0501601001;18933,663
0504201001;1;0501903002;29110,409
0504201001;7;0511402001;23282,600
0504201001;19;0520401001;21500,515
0504301001;7;0511402001;10485,960
0504301001;6;0501601001;22217,151
0504301001;8;0506501001;15808,459
0504301001;135;3724602001;24024,618
0504401001;8;0506501001;26822,585
0504401001;4;0513501001;18777,385
0504401001;17;0518601001;27332,496
0504401001;135;3724602001;23748,834
0504501001;8;0506501001;14663,230
0504501001;6;0501601001;21370,842
0504501001;2;0501901001;28723,037
0504501001;1;0501903002;24820,342
0504501001;3;0501904004;29546,328
0504501001;22;0501904010;29989,831
0504501001;7;0511402001;27500,606
0504501001;19;0520401001;18735,879
0504601001;7;0511402001;14315,825
0504601001;6;0501601001;18011,152
0504601001;8;0506501001;16254,986
0504601001;19;0520401001;29250,885
0504601001;135;3724602001;28483,669
0504701001;20;0504703001;6422,075
0504701001;11;0501401001;13654,111
0504701001;12;0513201001;19296,705
0504701001;18;0516501001;25763,985
0504703001;20;0504703001;0,000
0504703001;12;0513201001;25080,812
0504703001;18;0516501001;28243,672
0504703001;11;0501401001;18934,197
0504703002;20;0504703001;8169,968
0504703002;5;0502101002;24583,853
0504703002;12;0513201001;25343,346
0504703002;18;0516501001;23042,397
0504703002;11;0501401001;18740,406
0504703003;20;0504703001;8676,729
0504703003;11;0501401001;11977,004
0504703003;12;0513201001;18563,800
0504703003;18;0516501001;19605,687
0504801001;8;0506501001;10778,353
0504801001;6;0501601001;24364,246
0504801001;7;0511402001;15156,097
0504801001;135;3724602001;22744,994
0504901001;2;0501901001;9286,241
0504901001;1;0501903002;5567,606
0504901001;3;0501904004;10112,292
0504901001;22;0501904010;10547,497
0504901001;8;0506501001;24428,763
0504901001;4;0513501001;28961,617
0504901001;19;0520401001;21324,485
0505101001;5;0502101002;4273,980
0505101001;17;0518601001;22828,466
0505101001;123;3704602001;18085,139
0505101001;126;3715601002;24780,164
0505201001;17;0518601001;14853,960
0505201001;4;0513501001;15540,809
0505201001;18;0516501001;20249,886
0505301001;2;0501901001;10148,106
0505301001;1;0501903002;11317,997
0505301001;3;0501904004;10415,639
0505301001;22;0501904010;10930,533
0505301001;8;0506501001;25143,555
0505301001;4;0513501001;18582,704
0505401001;21;0505401001;0,000
0505401001;9;0500201002;11619,271
0505401001;14;0504101001;9828,299
0505401001;12;0513201001;22246,414
0505401001;18;0516501001;29743,937
0505401001;10;0524002001;15948,488
0505401001;16;0524101002;26598,587
0505401001;11;0501401001;28426,226
0505501001;9;0500201002;5954,651
0505501001;10;0524002001;6351,022
0505501001;16;0524101002;11034,799
0505501001;14;0504101001;18276,979
0505501001;21;0505401001;17113,790
0505501001;13;0505701001;16453,795
0505601001;7;0511402001;10746,890
0505601001;6;0501601001;15327,159
0505601001;8;0506501001;25056,638
0505601001;200;4708502001;26460,077
0505701001;13;0505701001;0,000
0505701001;16;0524101002;5529,400
0505701001;9;0500201002;19931,988
0505701001;2;0501901001;29960,449
0505701001;3;0501904004;29245,210
0505701001;22;0501904010;28700,398
0505701001;14;0504101001;27414,721
0505701001;15;0516801001;22288,390
0505701001;10;0524002001;22375,264
0505702001;13;0505701001;300,960
0505702001;16;0524101002;5778,527
0505702001;9;0500201002;20228,175
0505702001;3;0501904004;29309,845
0505702001;22;0501904010;28763,667
0505702001;14;0504101001;27706,002
0505702001;15;0516801001;22010,412
0505702001;10;0524002001;22629,693
0505702002;13;0505701001;2854,739
0505702002;16;0524101002;7136,842
0505702002;9;0500201002;22119,596
0505702002;15;0516801001;20767,176
0505702002;10;0524002001;23734,193
0505801001;18;0516501001;13041,617
0505801001;14;0504101001;24500,708
0505801001;21;0505401001;29428,913
0505801001;12;0513201001;27472,593
0505801001;4;0513501001;15873,064
0505801001;17;0518601001;24271,271
0505801001;11;0501401001;27672,971
0505901001;4;0513501001;11721,270
0505901001;2;0501901001;24823,553
0505901001;1;0501903002;25003,048
0505901001;3;0501904004;25156,005
0505901001;22;0501904010;25682,386
0505901001;8;0506501001;17767,949
0506001001;8;0506501001;12821,181
0506001001;7;0511402001;12377,022
0506001001;6;0501601001;27813,182
0506001001;135;3724602001;18476,091
0506101001;2;0501901001;5000,196
0506101001;1;0501903002;7955,426
0506101001;3;0501904004;5004,896
0506101001;22;0501904010;5446,525
0506101001;14;0504101001;28465,632
0506101001;8;0506501001;29994,060
0506101001;4;0513501001;22916,390
0506201001;8;0506501001;4609,606
0506201001;6;0501601001;28014,788
0506201001;1;0501903002;28912,418
0506201001;7;0511402001;23431,315
0506201001;19;0520401001;28966,760
0506201001;135;3724602001;24821,641
0506301001;17;0518601001;9221,395
0506301001;5;0502101002;25071,921
0506301001;4;0513501001;29314,235
0506301001;126;3715601002;26632,485
0506401001;8;0506501001;10599,852
0506401001;6;0501601001;21996,083
0506401001;7;0511402001;21459,665
0506401001;19;0520401001;25199,846
0506401001;135;3724602001;28761,956
0506501001;8;0506501001;0,000
0506501001;1;0501903002;29725,992
0506501001;7;0511402001;25071,960
0506501001;4;0513501001;29400,686
0506501001;135;3724602001;21728,279
0506601001;12;0513201001;9595,997
0506601001;18;0516501001;9525,926
0506601001;11;0501401001;10844,631
0506601001;14;0504101001;23665,991
0506601001;20;0504703001;28407,702
0506601001;21;0505401001;21789,609
0506701001;2;0501901001;22201,887
0506701001;1;0501903002;21840,586
0506701001;3;0501904004;22632,080
0506701001;22;0501904010;23179,804
0506701001;8;0506501001;15499,504
0506701001;4;0513501001;15013,281
0506901001;6;0501601001;17103,210
0506901001;8;0506501001;15401,998
0506901001;7;0511402001;19931,032
0506901001;19;0520401001;23905,102
0507001001;6;0501601001;6483,920
0507001001;8;0506501001;28858,279
0507001001;7;0511402001;19588,959
0507001001;19;0520401001;27993,999
0507001001;200;4708502001;28568,365
0507001001;170;4710401001;26774,809
0507201001;6;0501601001;8926,681
0507201001;19;0520401001;15305,455
0507301001;8;0506501001;13126,638
0507301001;135;3724602001;12301,876
0507301001;7;0511402001;15868,741
0507401001;8;0506501001;7398,633
0507401001;6;0501601001;26424,700
0507401001;7;0511402001;18361,022
0507401001;135;3724602001;22298,469
0507501001;9;0500201002;11338,542
0507501001;21;0505401001;12124,431
0507501001;10;0524002001;7308,686
0507501001;14;0504101001;19771,684
0507501001;13;0505701001;29117,377
0507501001;12;0513201001;29944,962
0507501001;16;0524101002;23668,914
0507601001;2;0501901001;5935,024
0507601001;1;0501903002;9830,288
0507601001;3;0501904004;5544,113
0507601001;22;0501904010;5763,779
0507601001;14;0504101001;25816,466
0507601001;4;0513501001;22944,802
0507701001;8;0506501001;14220,043
0507701001;6;0501601001;18927,881
0507701001;7;0511402001;16591,774
0507701001;19;0520401001;27650,998
0507701001;135;3724602001;28421,965
0507801001;7;0511402001;12055,852
0507801001;6;0501601001;17033,654
0507801001;8;0506501001;19056,943
0507801001;135;3724602001;29225,945
0507901001;4;0513501001;14878,336
0507901001;2;0501901001;18558,050
0507901001;1;0501903002;18513,296
0507901001;3;0501904004;18954,035
0507901001;22;0501904010;19495,884
0507901001;8;0506501001;18183,311
0508001001;8;0506501001;22505,012
0508001001;4;0513501001;15772,393
0508001001;135;3724602001;23479,864
0508101001;18;0516501001;11573,585
0508101001;14;0504101001;29600,519
0508101001;12;0513201001;28464,668
0508101001;4;0513501001;17840,432
0508101001;17;0518601001;18928,898
0508101001;11;0501401001;27388,413
0508201001;14;0504101001;14978,550
0508201001;21;0505401001;8727,096
0508201001;12;0513201001;13601,125
0508201001;9;0500201002;20345,054
0508201001;18;0516501001;22695,594
0508201001;10;0524002001;23917,878
0508201001;11;0501401001;19700,442
0508301001;2;0501901001;10193,908
0508301001;1;0501903002;14188,179
0508301001;3;0501904004;9699,173
0508301001;22;0501904010;9813,166
0508301001;9;0500201002;29765,168
0508301001;14;0504101001;21969,321
0508301001;4;0513501001;20628,639
0508401001;5;0502101002;9769,253
0508401001;17;0518601001;22546,204
0508401001;123;3704602001;15274,234
0508401001;126;3715601002;17377,831
0508501001;5;0502101002;10944,168
0508501001;123;3704602001;19025,516
0508601001;8;0506501001;13158,683
0508601001;135;3724602001;8913,099
0508601001;7;0511402001;24442,664
0508701001;1;0501903002;14923,180
0508701001;19;0520401001;14120,328
0508701001;6;0501601001;28451,402
0508701001;2;0501901001;19169,828
0508701001;3;0501904004;19996,467
0508701001;22;0501904010;20369,958
0508701001;8;0506501001;20798,130
0508801001;8;0506501001;10803,663
0508801001;2;0501901001;25492,806
0508801001;1;0501903002;24405,395
0508801001;3;0501904004;26022,113
0508801001;22;0501904010;26582,046
0508801001;4;0513501001;18841,539
0508801001;135;3724602001;26777,032
0508901001;12;0513201001;11589,797
0508901001;18;0516501001;14772,003
0508901001;11;0501401001;5088,917
0508901001;20;0504703001;15395,026
0509001001;6;0501601001;14259,335
0509001001;19;0520401001;10013,399
0509001001;8;0506501001;29487,186
0509201001;19;0520401001;11989,080
0509201001;6;0501601001;25422,545
0509201001;2;0501901001;22102,321
0509201001;1;0501903002;17771,500
0509201001;3;0501904004;22924,215
0509201001;22;0501904010;23273,506
0509201001;8;0506501001;21389,108
0509301001;22;0501904010;14551,623
0509301001;9;0500201002;29030,147
0509301001;2;0501901001;15643,405
0509301001;1;0501903002;17755,845
0509301001;3;0501904004;15109,928
0509301001;14;0504101001;29861,798
0509301001;13;0505701001;15970,206
0509301001;15;0516801001;20032,245
