CUSEC,dist_min_infantil_y_primaria_km,n_infantil_y_primaria_1km,n_infantil_y_primaria_5km,n_infantil_y_primaria_15km,n_infantil_y_primaria_30km,disp_ponderada_infantil_y_primaria,dist_min_adultos_e_idiomas_km,n_adultos_e_idiomas_1km,n_adultos_e_idiomas_5km,n_adultos_e_idiomas_15km,n_adultos_e_idiomas_30km,disp_ponderada_adultos_e_idiomas,dist_min_secundaria_y_bachillerato_km,n_secundaria_y_bachillerato_1km,n_secundaria_y_bachillerato_5km,n_secundaria_y_bachillerato_15km,n_secundaria_y_bachillerato_30km,disp_ponderada_secundaria_y_bachillerato,dist_min_educación_especial_km,n_educación_especial_1km,n_educación_especial_5km,n_educación_especial_15km,n_educación_especial_30km,disp_ponderada_educación_especial,dist_min_formación_profesional_km,n_formación_profesional_1km,n_formación_profesional_5km,n_formación_profesional_15km,n_formación_profesional_30km,disp_ponderada_formación_profesional
0504001001,7.249324714343136,0,0,14,28,5.6000000000000005,14.696840209000275,0,0,1,2,0.4,14.307576447721184,0,0,1,6,0.8,16.546810004800065,0,0,0,1,0.1,11.979982348503865,0,0,1,2,0.4
0504101001,0.0,1,1,9,30,5.5,20.438378102477653,0,0,0,2,0.2,8.727069924482398,0,0,1,7,0.9000000000000001,29.414782182007972,0,0,0,1,0.1,28.465631993817656,0,0,0,2,0.2
0504201001,9.004940739638107,0,0,4,17,2.5,16.76988087554793,0,0,0,2,0.2,10.490603146064391,0,0,1,3,0.5,34.95890520373865,0,0,0,0,0.0,32.97588628619367,0,0,0,0,0.0
0504301001,4.886882498656535,0,1,3,19,2.8,21.871901468247334,0,0,0,3,0.30000000000000004,8.50946381505327,0,0,1,4,0.6000000000000001,46.491660922171576,0,0,0,0,0.0,31.58280318244267,0,0,0,0,0.0
0504401001,18.16543910015234,0,0,0,15,1.5,21.753192280136346,0,0,0,2,0.2,17.786945189004914,0,0,0,4,0.4,44.49193299293274,0,0,0,0,0.0,38.11128385375981,0,0,0,0,0.0
0504501001,11.114187849352195,0,0,4,28,3.6000000000000005,18.79844351863231,0,0,0,3,0.30000000000000004,12.972420101003507,0,0,1,8,1.0,30.701351097343,0,0,0,0,0.0,28.953234431868413,0,0,0,1,0.1
0504601001,9.119494900521,0,0,4,20,2.8,17.262131504609535,0,0,0,3,0.30000000000000004,9.119494900521,0,0,1,4,0.6000000000000001,43.58370709029626,0,0,0,0,0.0,32.1983792164455,0,0,0,0,0.0
0504701001,0.0,2,2,6,12,3.8000000000000003,15.036785809419964,0,0,0,1,0.1,0.0,1,1,2,2,1.3,72.47861963476588,0,0,0,0,0.0,13.654110619890462,0,0,1,1,0.3
0504703001,6.422074759727188,0,0,4,8,1.6,19.97973665890291,0,0,0,1,0.1,6.422074759727188,0,0,1,2,0.4,76.50532203498722,0,0,0,0,0.0,18.934197040846378,0,0,0,1,0.1
0504703002,11.614341840370717,0,0,4,11,1.9,19.033970422241143,0,0,0,2,0.2,11.614341840370717,0,0,1,3,0.5,72.20282075408542,0,0,0,0,0.0,18.74040609227347,0,0,0,1,0.1
