CUSEC_origen;centro_id;CUSEC_servicio;distancia
0501301001;280;0510501001;9540,705
0501301001;940;0518901001;13507,866
0501301001;1143;0518901001;13507,866
0501301001;298;0520701001;10363,399
0501301001;1126;0526201001;9981,833
0501301001;1277;0501401001;7610,389
0501301001;1546;0501401001;7610,389
0501301001;639;0504101001;28712,317
0501301001;126;0504701001;19588,855
0501301001;1340;0504701001;19588,855
0501301001;1419;0505401001;26481,692
0501301001;123;0511001001;15479,736
0501301001;1366;0511001001;15479,736
0501301001;1394;0512701001;21377,942
0501301001;1363;0516001001;18553,039
0501402001;1277;0501401001;2275,606
0501402001;1546;0501401001;2275,606
0501402001;282;0501301001;6196,471
0501402001;126;0504701001;13748,278
0501402001;1340;0504701001;13748,278
0501402001;280;0510501001;12929,082
0501402001;123;0511001001;14453,382
0501402001;1366;0511001001;14453,382
0501402001;940;0518901001;7635,009
0501402001;1143;0518901001;7635,009
0501402001;298;0520701001;13817,177
0501402001;1419;0505401001;29359,503
0501402001;1394;0512701001;24115,455
0501402001;1363;0516001001;24089,229
0501402001;1126;0526201001;15287,984
0501402002;1277;0501401001;1896,572
0501402002;1546;0501401001;1896,572
0501402002;282;0501301001;5715,407
0501402002;280;0510501001;13601,533
0501402002;123;0511001001;12903,975
0501402002;1366;0511001001;12903,975
0501402002;940;0518901001;8978,181
0501402002;1143;0518901001;8978,181
0501402002;298;0520701001;12261,148
0501402002;1126;0526201001;14066,869
0501402002;126;0504701001;15036,786
0501402002;1340;0504701001;15036,786
0501402002;1419;0505401001;27696,474
0501402002;1394;0512701001;22452,046
0501402002;1363;0516001001;22877,678
0501403001;940;0518901001;4237,908
0501403001;1143;0518901001;4237,908
0501403001;1277;0501401001;4886,689
0501403001;1546;0501401001;4886,689
0501403001;282;0501301001;12156,537
0501403001;126;0504701001;9232,397
0501403001;1340;0504701001;9232,397
0501403001;280;0510501001;18134,177
0501403001;123;0511001001;15043,105
0501403001;1366;0511001001;15043,105
0501403001;1394;0512701001;27149,716
0501403001;1363;0516001001;29356,058
0501403001;298;0520701001;18057,327
0501403001;1126;0526201001;20574,221
0501501001;1438;0518601001;13234,791
0501501001;308;0522501001;9579,465
0501501001;140;0502101001;29056,173
0501501001;1444;0502101001;29056,173
0501501001;616;0509701001;19010,743
0501501001;302;0513501001;29653,275
0501501001;155;3700801002;27418,885
0501501001;1523;3700801002;27418,885
0501501001;474;3710301001;17629,373
0501501001;1401;3713901001;28999,752
0501501001;111;3715601002;26012,474
0501501001;647;3715601002;26012,474
0501501001;681;3715601003;27505,452
0501501001;605;3720001001;22304,336
0501501001;1142;3729701001;21737,110
0501501001;314;3733001001;20702,067
0501601001;671;0501602002;3160,638
0501601001;385;0501602004;6395,470
0501601001;86;0501602005;6637,356
0501601001;623;0515201001;10256,931
0501601001;1395;4701101001;12088,364
0501601001;1448;0507401001;26424,700
0501601001;704;0511402001;26068,938
0501601001;319;0511701001;26411,373
0501601001;1140;0520401001;24195,531
0501601001;462;4005701002;20653,363
0501601001;321;4013801002;19207,538
0501601001;957;4014501001;28761,009
0501601001;1124;4014501001;28761,009
0501601001;1136;4018001001;29348,011
0501601001;1386;4018501001;26891,133
0501601001;1139;4702001001;27846,028
0501601001;147;4708501001;29586,726
0501601001;90;4708501003;28737,739
0501601001;1485;4708501003;28737,739
0501601001;277;4708502003;29933,579
0501601001;941;4710402001;16238,986
0501601001;1538;4710402001;16238,986
0501602001;671;0501602002;2911,740
0501602001;385;0501602004;4154,366
0501602001;86;0501602005;5579,492
0501602001;623;0515201001;6890,549
0501602001;1395;4701101001;14410,610
0501602001;1411;0506501001;28900,983
0501602001;1448;0507401001;22902,061
0501602001;704;0511402001;24049,604
0501602001;319;0511701001;23553,311
0501602001;1140;0520401001;22935,360
0501602001;462;4005701002;24083,366
0501602001;321;4013801002;22215,815
0501602001;1136;4018001001;29814,414
0501602001;1386;4018501001;28312,500
0501602001;1139;4702001001;27251,119
0501602001;90;4708501003;29854,576
0501602001;1485;4708501003;29854,576
0501602001;941;4710402001;19324,376
0501602001;1538;4710402001;19324,376
0501602002;671;0501602002;0,000
0501602002;385;0501602004;3391,421
0501602002;86;0501602005;3518,756
0501602002;623;0515201001;7809,839
0501602002;1448;0507401001;25101,617
0501602002;704;0511402001;26958,484
0501602002;319;0511701001;26357,581
0501602002;1140;0520401001;21159,794
0501602002;462;4005701002;21934,464
0501602002;321;4013801002;19638,045
0501602002;957;4014501001;29686,443
0501602002;1124;4014501001;29686,443
0501602002;1136;4018001001;27143,760
0501602002;1386;4018501001;25422,410
0501602002;1395;4701101001;15236,151
0501602002;1139;4702001001;29865,107
0501602002;941;4710402001;19296,792
0501602002;1538;4710402001;19296,792
0501602003;671;0501602002;2150,722
0501602003;385;0501602004;2932,694
0501602003;86;0501602005;4340,058
0501602003;623;0515201001;6255,066
0501602003;1411;0506501001;28817,021
0501602003;1448;0507401001;23037,050
0501602003;704;0511402001;25035,100
0501602003;319;0511701001;24231,978
0501602003;1140;0520401001;21686,564
0501602003;462;4005701002;23944,661
0501602003;321;4013801002;21776,361
0501602003;1136;4018001001;28632,371
0501602003;1386;4018501001;27296,993
0501602003;1395;4701101001;15436,906
0501602003;1139;4702001001;28471,472
0501602003;941;4710402001;20112,343
0501602003;1538;4710402001;20112,343
0501602004;385;0501602004;0,000
0501602004;671;0501602002;3391,421
0501602004;86;0501602005;2253,001
0501602004;623;0515201001;4800,021
0501602004;1411;0506501001;27978,349
0501602004;1448;0507401001;22755,743
0501602004;704;0511402001;26845,293
0501602004;319;0511701001;25245,785
0501602004;626;0512801001;29266,244
0501602004;1140;0520401001;18796,437
0501602004;620;0522001001;28606,910
0501602004;462;4005701002;24723,051
0501602004;321;4013801002;21870,679
0501602004;1136;4018001001;26366,788
0501602004;1386;4018501001;25679,267
0501602004;1395;4701101001;18259,005
0501602004;941;4710402001;22628,182
0501602004;1538;4710402001;22628,182
0501602005;86;0501602005;0,000
0501602005;671;0501602002;3518,756
0501602005;385;0501602004;2253,001
0501602005;623;0515201001;6713,187
0501602005;1411;0506501001;29814,269
0501602005;1448;0507401001;24818,674
0501602005;704;0511402001;29000,392
0501602005;319;0511701001;27498,736
0501602005;626;0512801001;29247,724
0501602005;1140;0520401001;17653,646
0501602005;620;0522001001;29805,970
0501602005;462;4005701002;23088,935
0501602005;321;4013801002;19923,257
0501602005;1136;4018001001;24354,756
0501602005;1386;4018501001;23449,155
0501602005;1395;4701101001;18725,088
0501602005;941;4710402001;22505,401
0501602005;1538;4710402001;22505,401
0501701001;620;0522001001;3277,135
0501701001;438;0501901002;12215,044
0501701001;312;0504901001;10048,246
0501701001;1411;0506501001;14390,441
0501701001;626;0512801001;13174,632
