fid,d_tipocent,a_nombre,a_complejo,a_direccio,n_latitud,n_longitud,a_cod_post,centro_salud_id,Grupo,CUSEC
404,Punto de Atención Continuada,Hospital de Béjar,,"TRAVESÍA DE SANTA ANA, 4",40.385115799999994,-5.766349399999999,37700,403,primaria,3704602001
405,Punto de Atención Continuada,Mansilla de las Mulas,,"AVDA. VILLA DE LIL, S/N",42.49574779999999,-5.4196819,24210,404,primaria,2409401001
406,Punto de Atención Continuada,Puente de Domingo Flórez,,"PZA. EPIFANIO CAMPO, S/N",42.41131089999998,-6.8199343,24380,405,primaria,2412201001
407,Punto de Atención Continuada,Arévalo,,"AVDA. EMILIO ROMERO, S/N",41.05498279999999,-4.7135016,05200,406,primaria,0501602005
408,Punto de Atención Continuada,Ávila Rural,,"C/ SANTA FE, S/N (ESQUINA C/ MADRIGAL DE LAS ALTAS TORRES)",40.65065769999999,-4.6853586,05003,407,primaria,0501905004
409,Punto de Atención Continuada,Ávila,,"PASEO DE LA ESTACIÓN, 24",40.65674920000001,-4.6856894,05001,408,primaria,0501906002
410,Punto de Atención Continuada,El Barco de Ávila,,"C/ DE LAS ERAS, S/N",40.35742719999999,-5.520107500000001,05600,409,primaria,0502101002
411,Punto de Atención Continuada,Candeleda,,"C/ CHILLA, S/N",40.1538274,-5.2442125,05480,410,primaria,0504703001
412,Punto de Atención Continuada,Cebreros,,"AVDA. DE LA CONSTITUCIÓN, S/N",40.45917669999999,-4.4643505,05260,411,primaria,0505702002
413,Punto de Atención Continuada,Madrigal de las Altas Torres,,"C/ ISABEL LA CATÓLICA, 23",41.08809630000001,-4.9957425,05220,412,primaria,0511401001
414,Punto de Atención Continuada,Muñana,,"C/ CARRETERA (AV-120), S/N",40.5858882,-5.0133358999999995,05540,413,primaria,0513501001
415,Punto de Atención Continuada,Piedrahíta,,"PZA. NUEVA DE LA VILLA, 3",40.4625335,-5.3263907,05500,414,primaria,0518601001
416,Punto de Atención Continuada,Sotillo de la Adrada,,"PZA. DE LA CONCORDIA, S/N",40.293292,-4.5837384,05420,415,primaria,0524001001
417,Punto de Atención Continuada,Burgos Rural Norte-Sur,,"C/ LUIS CERNUDA, 1-11",42.353301,-3.6805780999999995,09006,416,primaria,0905905045
418,Punto de Atención Continuada,Gamonal Antigua,,"AVDA. ELADIO PERLADO, 1",42.35319849999999,-3.6673994,09007,417,primaria,0905909012
419,Punto de Atención Continuada,San Agustín,,"C/ BONIFACIO ZAMORA USABEL, S/N",42.333301199999994,-3.702059199999999,09001,418,primaria,0905906007
420,Punto de Atención Continuada,Espinosa de los Monteros,,"C/ EL PROGRESO, 22-24",43.0754895,-3.5492971000000004,09560,419,primaria,0912401001
421,Punto de Atención Continuada,Lerma,,"C/ SUBIDA DE SAN MIGUEL, 19",42.0240561,-3.7541090000000006,09340,420,primaria,0919401002
422,Punto de Atención Continuada,Melgar de Fernamental,,"C/ CRUZ DE LA RIBERA, S/N",42.40388659999999,-4.247838899999999,09100,421,primaria,0921101001
423,Punto de Atención Continuada,Salas de los Infantes,,"C/ PARQUE LARA, S/N",42.01795560000001,-3.2868145000000006,09600,422,primaria,0933001001
424,Punto de Atención Continuada,El Espinar,,"C/ CAÑADA MARI GARCÍA, 5",40.723097899999985,-4.246309399999999,40400,423,primaria,4007601001
425,Punto de Atención Continuada,El Burgo de Osma,,"C/ ACOSTA, 38",41.58954500000001,-3.0632153,42300,424,primaria,4204301001
426,Punto de Atención Continuada,Astorga,,"C/ GASPAR BECERRA, S/N",42.454240800000015,-6.0541249,24700,425,primaria,2400801001
427,Punto de Atención Continuada,Cistierna,,"C/ BATALLA DE LEPANTO, S/N",42.80516750000001,-5.1301262,24800,426,primaria,2405601001
428,Punto de Atención Continuada,Ribera del Esla,,"C/ PELOTA, S/N",42.6241582,-5.225077099999999,24160,427,primaria,2407901001
429,Punto de Atención Continuada,La Bañeza,,"C/ DOCTOR FLEMING, S/N",42.30663620000001,-5.907253700000001,24750,428,primaria,2401001004
430,Punto de Atención Continuada,La Magdalena,,"AVDA. MAGDALENA, 4",42.7819301,-5.8040582,24120,429,primaria,2416701001
431,Punto de Atención Continuada,Periurbana Sur,,"AVDA. PADRE IGNACIO ELLACURIA, 127",40.9582891,-5.684022699999999,37008,430,primaria,3727403010
432,Punto de Atención Continuada,Matallana de Torío,,"C/ ESTACIÓN, S/N",42.8433077,-5.522366799999999,24830,431,primaria,2409801001
433,Punto de Atención Continuada,Ponferrada,,"C/ VÍA PICO TUERTO, S/N",42.55239220000001,-6.5992790999999995,24400,432,primaria,2411502010
434,Punto de Atención Continuada,La Guareña,,"C/ ARRABAL DE SAN PEDRO, S/N",41.232178499999996,-5.499112399999999,49400,433,primaria,4908102001
435,Punto de Atención Continuada,La Pola de Gordón,,"AVDA. CARDENAL AGUIRRE, S/N",42.854166,-5.670598199999999,24600,434,primaria,2411401001
436,Punto de Atención Continuada,Toreno,,"C/ INSTITUTO, S/N",42.695530899999994,-6.5151689,24450,435,primaria,2416901001
437,Punto de Atención Continuada,Truchas,,"C/ PIORNAL, S/N",42.26151170000001,-6.4319199,24740,436,primaria,2417201001
438,Punto de Atención Continuada,Valencia de Don Juan,,"C/ DR. FLEMING, S/N",42.2942079,-5.5125667,24200,437,primaria,2418801001
439,Punto de Atención Continuada,Villafranca del Bierzo,,"AVDA. DIAZ OVELAR, S/N",42.610216600000015,-6.806892200000002,24500,438,primaria,2420901001
440,Punto de Atención Continuada,Carrión de los Condes,,"PZA. CONDE DE GARAY, S/N",42.336064,-4.6016726,34120,439,primaria,3404701002
441,Punto de Atención Continuada,Cervera de Pisuerga,,"C/ FELIPE CALVO, S/N",42.8624446,-4.493768199999999,34840,440,primaria,3405601001
442,Punto de Atención Continuada,Frómista,,"AVDA. EJERCITO ESPAÑOL, 28",42.2696271,-4.404130999999999,34440,441,primaria,3407401001
443,Punto de Atención Continuada,Herrera de Pisuerga,,"AVDA. MARIA AUXILIADORA, S/N",42.595999000000006,-4.3345236,34400,442,primaria,3408301001
444,Punto de Atención Continuada,Saldaña,,"C/ RONDA DON GARCÍA, S/N",42.5214556,-4.7370016,34100,443,primaria,3415701001
445,Punto de Atención Continuada,Villada,,"C/ CARLOS CASADO DEL ALISAL, S/N",42.24887769999999,-4.966132300000001,34340,444,primaria,3420601001
446,Punto de Atención Continuada,Villarramiel,,"C/ SANTA MARÍA, S/N",42.0450464,-4.913608599999999,34140,445,primaria,3423201001
447,Punto de Atención Continuada,Las Navas del Marqués,,"TRAVESÍA GRUPO ESCOLAR, 10",40.6057673,-4.3328331,05230,446,primaria,0516801002
448,Punto de Atención Continuada,Alba de Tormes,,"C/ CORRALES DE LA DEHESA, S/N",40.821544200000005,-5.513321599999999,37800,447,primaria,3700801002
449,Punto de Atención Continuada,Aldeadávila de la Ribera,,"C/ SEGUNDA DE ERAS, S/N",41.216937,-6.615468699999998,37250,448,primaria,3701401001
450,Punto de Atención Continuada,Calzada de Valdunciel,,"C/ LA LAGUNA, S/N",41.08703409999998,-5.6992965,37797,449,primaria,3707301001
451,Punto de Atención Continuada,Cantalapiedra,,"PZA. RAMÓN LAPORTA, 25",41.1251666,-5.1838863,37400,450,primaria,3708101001
452,Punto de Atención Continuada,Quincoces de Yuso,,"PZA. DE URANO, S/N",42.9897208,-3.2444004000000004,09510,451,primaria,0990801001
453,Punto de Atención Continuada,Fuentes de Oñoro,,"C/ PEDRO MATEOS, 58",40.5973262,-6.8207287,37480,452,primaria,3714001001
454,Punto de Atención Continuada,Linares de Riofrío,,"CTRA. DE GUIJUELO, S/N",40.5827053,-5.914340599999999,37760,453,primaria,3717201001
455,Punto de Atención Continuada,Matilla de los Caños del Río,,"C/ CUARTEL, S/N",40.82490869999997,-5.943602499999998,37450,454,primaria,3718701001
456,Punto de Atención Continuada,Peñaranda de Bracamonte,,"AVDA. DE LOS JARDINES, 3",40.8985333,-5.202890999999999,37300,455,primaria,3724601001
457,Punto de Atención Continuada,Quintana Martín Galindez,,"CTRA. MIRANDA, 67",42.79227269999999,-3.2672611999999996,09210,456,primaria,0941201001
458,Punto de Atención Continuada,Tamames,,"PZA. FERIAL, S/N",40.6562382,-6.1077892,37600,457,primaria,3731601001
459,Punto de Atención Continuada,Villares de la Reina,,"C/ DE LA FUENTE, 27-29",41.0088294,-5.647597599999999,37184,458,primaria,3736201001
460,Punto de Atención Continuada,Quintanar de la Sierra,,"C/ IGLESIA, S/N",41.9790395,-3.0418546,09670,459,primaria,0928901001
461,Punto de Atención Continuada,Villoria,,"C/ CAÑADA, 2",40.9918675,-5.3762476999999995,37339,460,primaria,3737401001
462,Punto de Atención Continuada,San Ildefonso (La Granja),,"C/ SAN JUAN DE NEPOMUCENO, S/N",40.902054599999985,-4.0048749,40100,461,primaria,4018101001
463,Punto de Atención Continuada,Cantalejo,,"CTRA. SEPÚLVEDA, 54",41.25826539999999,-3.9197931999999995,40320,462,primaria,4004001002
464,Punto de Atención Continuada,Cuéllar,,"C/ ESTUDIO, 3",41.39931959999999,-4.3134502,40200,463,primaria,4006302001
465,Punto de Atención Continuada,Sedano,,"C/ BURGOS, S/N (BARRIO DE LAS ERAS)",42.71284200000001,-3.748268,09142,464,primaria,0990501001
466,Punto de Atención Continuada,Nava de la Asunción,,"PZA. DEL CAÑO DEL OBISPO, 1",41.15448599999999,-4.4888249,40450,465,primaria,4013801002
467,Punto de Atención Continuada,Riaza,,"PZA. MARÍA HERNADO, 1",41.276837400000005,-3.4796646,40500,466,primaria,4017001001
468,Punto de Atención Continuada,Sacramenia,,"C/ SEPÚLVEDA, 14",41.4935749,-3.9610852999999997,40237,467,primaria,4017401001
469,Punto de Atención Continuada,Ágreda,,"C/ DEL VENERABLE, 85",41.85372520000001,-1.9257740999999997,42100,468,primaria,4200401001
470,Punto de Atención Continuada,Berlanga de Duero,,"C/ MANUEL VÁZQUEZ, S/N",41.46760110000001,-2.8635457000000004,42360,469,primaria,4203501001
471,Centro de Guardia,Aguilafuente,,"C/ HOSPITAL, 6",41.228467499999994,-4.1122894,40340,470,primaria,4000401001
472,Centro de Guardia,La Robla,,"C/ ESCRITORA JOSEFINA RODRÍGUEZ DE ALDECOA, 5 Y C/ ALCALDE JOSÉ BENJAMÍN VILLALOBOS, 4",42.812986399999986,-5.6207008,24649,471,primaria,2413401002
473,Centro de Guardia,Ayllón,,"C/ PARQUE, 5",41.418125999999994,-3.3791644,40520,472,primaria,4002401001
474,Centro de Guardia,Barruecopardo,,"C/ SANTA ANA, S/N",41.072196600000005,-6.666806000000001,37255,473,primaria,3704401001
475,Centro de Guardia,Bercial,,"PZA. ARRIBA, 4",40.90769319999999,-4.4368538,40144,474,primaria,4002801001
477,Centro de Guardia,El Barraco,,"TRAVESÍA DE LA VIRGEN, 1",40.47582130000001,-4.6405984,05110,475,primaria,0502201002
478,Centro de Guardia,Medinaceli,,"AVDA. MADRID, 41",41.16637519999999,-2.4213878999999996,42240,476,primaria,4211301001
479,Centro de Guardia,Oña,,"C/ DEL AGUA, 27",42.7339981,-3.4160037000000005,09530,477,primaria,0923801001
480,Centro de Guardia,Pradoluengo,,"PZA. CLEMENTE ZALDO, 15",42.3237078,-3.2001767999999995,09260,478,primaria,0927401001
481,Centro de Guardia,Quintanilla de Losada,,"C/ REAL, 1",42.27857869999998,-6.5606263,24717,479,primaria,2406701001
482,Centro de Guardia,Tremor de Arriba,,"C/ VEICIELLOS, 7",42.7260695,-6.2097678,24377,480,primaria,2408301001
483,Centro de Guardia,Turégano,,C/ ARENAL (JUNTO AL COLEGIO),41.15321489999999,-4.007346099999999,40370,481,primaria,4020801001
484,Centro de Guardia,Santa María la Real de Nieva,,"CALLE COSTANILLA, 3",41.0696096,-4.407357999999999,40440,482,primaria,4018501001
485,Centro de Guardia,Barruelo de Santullán,,"C/ DE LAS HUERTAS, S/N",42.9087744,-4.289161099999999,34820,483,primaria,3402701001
486,Centro de Guardia,Boceguillas,,"C/ CARDENAL CISNEROS, 2",41.3360832,-3.6376153,40560,484,primaria,4003201001
487,Centro de Guardia,Ataquines,,"C/ MEDINA, 10",41.18279299999999,-4.807083,47210,485,primaria,4701101001
488,Centro de Guardia,Villarino de los Aires,,"C/ ESPAÑA, 6",41.268524400000004,-6.4667641,37160,486,primaria,3736401001
489,Centro de Guardia,Langa de Duero,,"C/ LA FUENTE, 6",41.61047949999998,-3.4008155,42320,487,primaria,4210301001
490,Centro de Guardia,Trespaderne,,"C/ SANTANDER, 13",42.80351170000001,-3.3901908000000005,09540,488,primaria,0939401001
352,Punto de Atención Continuada,Íscar,,"C/ RONDA, 14",41.36133532220109,-4.531999802658555,47420,489,primaria,4707501001
476,Centro de Guardia,Muelas del Pan,,"C/ SAN ROQUE, 1",41.52123731643937,-5.9678758254855815,49164,490,primaria,4913501001
