CUSEC,dist_min_inclusión_social_km,n_inclusión_social_1km,n_inclusión_social_5km,n_inclusión_social_15km,n_inclusión_social_30km,disp_ponderada_inclusión_social,dist_min_población_general_km,n_población_general_1km,n_población_general_5km,n_población_general_15km,n_población_general_30km,disp_ponderada_población_general,dist_min_toxicomanías_y_adicciones_km,n_toxicomanías_y_adicciones_1km,n_toxicomanías_y_adicciones_5km,n_toxicomanías_y_adicciones_15km,n_toxicomanías_y_adicciones_30km,disp_ponderada_toxicomanías_y_adicciones,dist_min_personas_con_discapacidad_km,n_personas_con_discapacidad_1km,n_personas_con_discapacidad_5km,n_personas_con_discapacidad_15km,n_personas_con_discapacidad_30km,disp_ponderada_personas_con_discapacidad,dist_min_familia_km,n_familia_1km,n_familia_5km,n_familia_15km,n_familia_30km,disp_ponderada_familia,dist_min_mujer_km,n_mujer_1km,n_mujer_5km,n_mujer_15km,n_mujer_30km,disp_ponderada_mujer,dist_min_infancia_y_juventud_km,n_infancia_y_juventud_1km,n_infancia_y_juventud_5km,n_infancia_y_juventud_15km,n_infancia_y_juventud_30km,disp_ponderada_infancia_y_juventud,dist_min_voluntariado_km,n_voluntariado_1km,n_voluntariado_5km,n_voluntariado_15km,n_voluntariado_30km,disp_ponderada_voluntariado,dist_min_personas_mayores_km,n_personas_mayores_1km,n_personas_mayores_5km,n_personas_mayores_15km,n_personas_mayores_30km,disp_ponderada_personas_mayores
3408401001,18.781394662443155,0,0,0,18,1.8,25.204072710257904,0,0,0,12,1.2000000000000002,25.204072710257904,0,0,0,6,0.6000000000000001,25.204072710257904,0,0,0,3,0.30000000000000004,26.317467327990133,0,0,0,3,0.30000000000000004,26.317467327990133,0,0,0,5,0.5,25.204072710257904,0,0,0,6,0.6000000000000001,26.317467327990133,0,0,0,1,0.1,22.57813696213439,0,0,0,11,1.1
3408601001,12.188155155201537,0,0,1,16,1.8,12.188155155201537,0,0,6,12,2.4,12.188155155201537,0,0,1,6,0.8,12.188155155201537,0,0,1,3,0.5,14.464025507268826,0,0,1,3,0.5,15.14816876430738,0,0,0,5,0.5,10.132778888022825,0,0,3,6,1.2,15.14816876430738,0,0,0,1,0.1,12.188155155201537,0,0,2,10,1.4
3408701001,20.336502079957818,0,0,0,17,1.7000000000000002,20.336502079957818,0,0,0,12,1.2000000000000002,20.336502079957818,0,0,0,6,0.6000000000000001,20.336502079957818,0,0,0,3,0.30000000000000004,22.034981632107016,0,0,0,3,0.30000000000000004,22.034981632107016,0,0,0,5,0.5,20.336502079957818,0,0,0,6,0.6000000000000001,22.034981632107016,0,0,0,1,0.1,20.336502079957818,0,0,0,11,1.1
3408801001,5.897976611934427,0,0,16,18,5.0,7.7086457679446605,0,0,12,12,3.5999999999999996,7.7086457679446605,0,0,6,6,1.7999999999999998,8.200107238718482,0,0,3,3,0.8999999999999999,7.7086457679446605,0,0,3,3,0.8999999999999999,7.7086457679446605,0,0,5,5,1.5,7.7086457679446605,0,0,5,6,1.6,7.7086457679446605,0,0,1,1,0.3,7.7086457679446605,0,0,11,15,3.6999999999999997
3408901001,15.806323236588788,0,0,0,5,0.5,35.7259179630325,0,0,0,0,0.0,35.7259179630325,0,0,0,0,0.0,36.87640390496414,0,0,0,0,0.0,35.7259179630325,0,0,0,0,0.0,35.7259179630325,0,0,0,0,0.0,35.7259179630325,0,0,0,0,0.0,35.7259179630325,0,0,0,0,0.0,26.61425230222705,0,0,0,2,0.2
3409101001,22.909844471040707,0,0,0,3,0.30000000000000004,42.944700748422726,0,0,0,0,0.0,41.88981884033204,0,0,0,0,0.0,51.913423487236635,0,0,0,0,0.0,51.913423487236635,0,0,0,0,0.0,17.33214325435148,0,0,0,1,0.1,35.131970875954096,0,0,0,0,0.0,52.056507133815614,0,0,0,0,0.0,16.357941152398674,0,0,0,2,0.2
3409201001,11.702228693155302,0,0,1,5,0.7,38.70524150507318,0,0,0,0,0.0,38.70524150507318,0,0,0,0,0.0,39.7852787250394,0,0,0,0,0.0,38.70524150507318,0,0,0,0,0.0,38.70524150507318,0,0,0,0,0.0,38.70524150507318,0,0,0,0,0.0,38.70524150507318,0,0,0,0,0.0,25.835070819297687,0,0,0,2,0.2
3409301001,7.589064689338264,0,0,1,4,0.6000000000000001,65.44757594850887,0,0,0,0,0.0,34.12440468066892,0,0,0,0,0.0,59.63360735252601,0,0,0,0,0.0,62.4833138176772,0,0,0,0,0.0,32.423136663602804,0,0,0,0,0.0,61.608069678127194,0,0,0,0,0.0,65.44757594850887,0,0,0,0,0.0,36.40394648353721,0,0,0,0,0.0
3409401001,18.357137435682002,0,0,0,2,0.2,43.455475651326815,0,0,0,0,0.0,45.723201395658315,0,0,0,0,0.0,46.49094310433898,0,0,0,0,0.0,46.49094310433898,0,0,0,0,0.0,18.952786358385232,0,0,0,1,0.1,32.63738585390287,0,0,0,0,0.0,46.62339451701745,0,0,0,0,0.0,14.390027837583936,0,0,1,6,0.8
3409601001,8.762097778209242,0,0,2,17,2.1,27.745440195596046,0,0,0,11,1.1,27.745440195596046,0,0,0,5,0.5,28.26846261746978,0,0,0,2,0.2,27.745440195596046,0,0,0,3,0.30000000000000004,27.745440195596046,0,0,0,5,0.5,27.745440195596046,0,0,0,4,0.4,27.745440195596046,0,0,0,1,0.1,4.098243743899151,0,1,2,14,2.1
3409801001,4.913316627425757,0,1,16,16,5.1,4.913316627425757,0,1,12,12,3.9,4.913316627425757,0,1,6,6,2.1,4.913316627425757,0,1,3,3,1.2,7.304139911579747,0,0,3,3,0.8999999999999999,7.360755596054326,0,0,5,5,1.5,4.913316627425757,0,1,6,6,2.1,7.360755596054326,0,0,1,1,0.3,4.913316627425757,0,1,10,14,3.6999999999999997
3409901001,13.887783401441116,0,0,4,18,2.6,21.33101625386365,0,0,0,12,1.2000000000000002,21.33101625386365,0,0,0,6,0.6000000000000001,21.77760693796863,0,0,0,3,0.30000000000000004,21.33101625386365,0,0,0,3,0.30000000000000004,21.33101625386365,0,0,0,5,0.5,21.33101625386365,0,0,0,6,0.6000000000000001,21.33101625386365,0,0,0,1,0.1,4.440704120114255,0,1,2,15,2.2
