CUSEC;numero_bienes;superficie_media;antiguedad_media;dispersion_antiguedad;dispersion_superficie;pct_reformado_2000;Seccion_id
3712601001;30;205,4;1968;0,02;0,66;34,62;1707
3712701001;286;160,664;1963;0,02;0,56;10,66;1708
3712801001;201;215,199;1953;0,02;0,67;16,11;1709
3712901001;259;201,934;1984;0,02;0,6;4,95;1710
3713001001;82;285,488;1969;0,02;0,58;29,41;1711
3713101001;215;210,614;1965;0,02;0,51;8,33;1712
3713201001;379;179,831;1963;0,02;0,58;17,23;1713
3713301001;127;179,031;1976;0,02;0,48;5,36;1714
3713401001;170;210,324;1967;0,01;0,58;25;1715
3713501001;1099;158,641;1976;0,01;0,73;8,03;1716
3713601001;745;183,756;1970;0,02;0,68;10,81;1717
3713701001;62;340,597;1956;0,02;0,51;16,95;1718
3713801001;221;226,457;1972;0,01;0,51;12;1719
3713901001;321;172,754;1955;0,01;0,7;17,12;1720
3714001001;555;197,991;1968;0,01;0,76;8,38;1721
3714101001;184;193,484;1947;0,03;0,64;12,18;1722
3714201001;800;192,934;1991;0,01;0,6;7,33;1723
3714301001;432;174,347;1960;0,02;0,7;15,49;1724
3714401001;261;233,916;1962;0,01;0,57;39,06;1725
3714501001;306;214,902;1957;0,02;0,65;27,82;1726
3714601001;175;197,446;1959;0,02;0,55;49,59;1727
3714701001;212;213,075;1960;0,02;0,44;20,71;1728
3714801001;185;250,573;1972;0,02;0,7;17,45;1729
3714901001;28;267,786;1958;0,02;0,72;34,62;1730
3715001001;16;307,188;1954;0,02;0,53;26,67;1731
3715101001;123;217,569;1972;0,01;0,69;13;1732
3715201001;173;176,41;1976;0,01;0,73;11,82;1733
3715401001;126;260,381;1957;0,02;0,63;17,95;1734
3715501001;75;191,4;1959;0,03;0,49;50;1735
3715601001;1021;150,438;1989;0,01;0,75;2,62;1736
3715601002;1225;151,274;1979;0,01;0,76;2,5;1737
3715601003;869;171,841;1977;0,01;0,8;4,9;1738
3715701001;124;224,952;1965;0,02;0,44;4,35;1739
3715801001;275;177,284;1955;0,03;0,55;13,12;1740
3715901001;125;220,664;1969;0,02;0,5;28,57;1741
3716001001;616;194,458;1971;0,02;0,56;17,43;1742
3716101001;234;164,803;1963;0,02;0,58;8,57;1743
3716201001;312;159,792;1964;0,02;0,68;20,07;1744
3716301001;81;158,753;1981;0,02;0,67;23,4;1745
3716401001;233;188,283;1981;0,02;0,63;24,16;1746
3716501001;49;210,408;1972;0,02;0,7;25;1747
3716601001;178;201,893;1976;0,02;0,54;25;1748
3716701001;108;231,685;1971;0,02;0,68;21,84;1749
3716801001;675;175,169;1968;0,02;0,62;29,11;1750
3716901001;142;158,317;1964;0,02;0,58;52,78;1751
3717001001;1273;158,227;1972;0,02;0,72;30,17;1752
3717101001;428;221,353;1965;0,02;0,69;13,33;1753
3717201001;802;192,954;1979;0,01;0,6;12,32;1754
3717301001;888;218,839;1972;0,02;0,65;8,77;1755
3717302001;670;199,696;1975;0,02;0,56;7,98;1756
3717401001;1063;194,492;1969;0,02;0,61;7,24;1757
3717501001;279;236,849;1975;0,01;0,59;23,01;1758
3717601001;137;182,161;1961;0,02;0,52;9,84;1759
3717701001;393;169,842;1972;0,01;0,53;5,15;1760
3717801001;88;178,989;1949;0,02;0,63;50,65;1761
3717901001;237;216,806;1944;0,02;0,7;29,19;1762
3718001001;91;179,154;1980;0,02;0,61;43,28;1763
3718101001;271;242,011;1980;0,02;0,47;32,02;1764
3718201001;102;206,961;1968;0,03;0,71;34,92;1765
3718301001;272;182,29;1968;0,02;0,74;56,86;1766
3718401001;427;159,297;1975;0,02;0,53;11,8;1767
3718501001;535;259,245;1989;0,01;0,56;13,5;1768
3718601001;77;183,312;1963;0,01;0,69;12,86;1769
3718701001;179;143,788;1980;0,02;0,73;37,5;1770
3718801001;160;167,806;1963;0,01;0,65;27,74;1771
3718901001;96;155,208;1970;0,02;0,58;24,05;1772
3719001001;295;211,878;1976;0,02;0,44;20,16;1773
3719101001;131;194,947;1969;0,02;0,45;25;1774
3719201001;296;184,628;1991;0,01;0,66;7,1;1775
3719301001;549;183,306;1953;0,02;0,6;10,69;1776
3719401001;366;183,53;1942;0,02;0,66;18,58;1777
3719501001;80;147,688;1963;0,02;0,54;22,06;1778
3719601001;115;181,809;1949;0,02;0,56;10,19;1779
3719701001;115;170,904;1974;0,01;0,58;25,81;1780
3719801001;226;203,646;1980;0,02;0,6;18,75;1781
3719901001;152;196,632;1983;0,02;0,49;14,29;1782
3720001001;110;211,809;1968;0,02;0,46;41,18;1783
3720101001;336;161,131;1950;0,02;0,62;12,38;1784
3720201001;546;197,183;1999;0,01;0,34;2,49;1785
3720301001;125;182,232;1971;0,02;0,76;25,27;1786
3720401001;311;223,743;1968;0,02;0,53;13,45;1787
3720501001;240;164,246;1962;0,02;0,71;25,27;1788
3720601001;79;234,823;1959;0,03;0,74;33,9;1789
3720701001;333;157,357;2005;0,02;0,67;33,8;1790
3720801001;91;218,956;1964;0,02;0,59;5,13;1791
3720901001;404;185,228;1983;0,02;0,7;10,74;1792
3721101001;146;211,952;1966;0,02;0,71;41,8;1793
3721201001;200;152,365;1969;0,03;0,67;3,82;1794
3721301001;158;186,728;1949;0,01;0,49;27,27;1795
3721401001;176;182,773;1970;0,01;0,54;13,38;1796
3721501001;166;179,542;1956;0,02;0,65;15,65;1797
3721601001;228;176,728;1970;0,02;0,6;21,14;1798
3721701001;84;170,786;1946;0,03;0,67;29,03;1799
3721801001;201;201,682;1978;0,01;0,53;6,98;1800
3721901001;183;173,978;1976;0,02;0,49;34,4;1801
3722101001;580;194,766;1968;0,02;0,51;9,42;1802
3722201001;81;260,247;1951;0,02;0,54;23,61;1803
3722301001;94;186,117;1965;0,02;0,55;35,9;1804
3722401001;157;258,803;1964;0,01;0,61;14,49;1805
3722501001;88;248,307;1966;0,02;0,5;8,57;1806
3722601001;105;260,6;1968;0,02;0,53;51,16;1807
3722801001;263;223,688;1962;0,01;0,7;13,25;1808
3722901001;111;288,685;1956;0,02;0,54;32,58;1809
3723001001;166;177,187;1981;0,02;0,58;8,26;1810
3723101001;301;164,748;1948;0,02;0,59;7,51;1811
3723201001;343;211,367;1966;0,02;0,63;8,87;1812
3723301001;69;228,319;1966;0,02;0,58;21,82;1813
3723401001;477;243,243;1972;0,02;0,48;23,91;1814
3723501001;199;200,151;1965;0,02;0,66;22,67;1815
3723601001;71;221,62;1949;0,02;0,6;26,67;1816
3723701001;328;208,302;1967;0,01;0,54;12,96;1817
3723801001;79;253,468;1963;0,03;0,55;22,81;1818
3723901001;222;192,464;1949;0,03;0,52;25;1819
3724001001;829;229,782;1994;0,01;0,66;7,1;1820
3724101001;130;165,646;1973;0,02;0,55;21,82;1821
3724201001;80;220,188;1966;0,02;0,56;28,36;1822
3724301001;88;209,295;1969;0,02;0,56;25,32;1823
3724401001;186;178,027;1970;0,02;0,55;48,18;1824
3724501001;447;216,541;1969;0,01;0,49;14,43;1825
3724601001;1059;120,279;1984;0,01;0,67;3,5;1826
3724601002;1156;132,981;1991;0,01;0,66;6,54;1827
3724602001;1045;119,374;1979;0,01;0,52;3,16;1828
3724602002;752;132,351;1981;0,02;0,61;9,5;1829
3724701001;142;211,993;1967;0,02;0,6;19,84;1830
3724801001;181;188,32;1978;0,02;0,69;17,99;1831
3724901001;55;162,927;1972;0,02;0,54;29,79;1832
3725001001;481;149,557;1973;0,02;0,59;25;1833
3725101001;166;189,096;1973;0,02;0,52;7,64;1834
3725201001;135;157,83;1961;0,02;0,62;6,56;1835
3725301001;83;226,398;1973;0,02;0,76;24,62;1836
3725401001;164;195,006;1967;0,02;0,5;25,56;1837
3725501001;35;193,886;1944;0,02;0,53;50;1838
3725601001;123;208,341;1949;0,02;0,63;32,04;1839
3725701001;26;234,423;1955;0,02;0,8;72,73;1840
3725801001;225;194,653;1978;0,02;0,58;24,73;1841
3725901001;32;192,188;1934;0,03;0,56;40,74;1842
3726001001;183;178,421;1974;0,02;0,56;14,37;1843
3726101001;500;203,724;1969;0,02;0,57;20,14;1844
3726201001;22;258,864;1962;0,02;0,54;68,42;1845
3726301001;503;155,433;1957;0,02;0,67;12,75;1846
3726401001;146;196,144;1964;0,02;0,53;23,26;1847
3726501001;186;243,72;1958;0,02;0,7;33,73;1848
3726601001;72;265,708;1956;0,02;0,45;61,9;1849
3726701001;192;170,135;1977;0,02;0,53;25,33;1850
3726801001;92;186,652;1958;0,03;0,53;15,58;1851
3726901001;472;259,464;1973;0,02;0,51;12,83;1852
3727001001;156;161,506;1963;0,02;0,71;19,08;1853
3727101001;206;164,146;1974;0,02;0,67;26,09;1854
3727201001;157;208,605;1957;0,02;0,65;34,56;1855
3727301001;88;274,42;1952;0,01;0,44;56,1;1856
3727401001;888;126,654;1966;0,02;0,6;5,05;1857
3727401002;838;131,228;1969;0,01;0,45;4,94;1858
3727401003;574;128,848;1972;0;0,34;1,23;1859
3727401004;653;130,548;1977;0,01;0,35;0,84;1860
3727401005;873;117,404;1975;0;0,33;0,69;1861
3727401006;1277;100,91;1990;0,01;0,69;2,16;1862
3727401007;1040;100,429;1983;0,01;0,59;3,37;1863
3727401008;489;117,939;1976;0;0,33;0,21;1864
3727401009;853;109,106;1981;0,01;0,47;0,4;1865
3727401010;741;132,711;1975;0,01;0,46;5,26;1866
3727401011;687;124,613;1974;0,01;0,38;0,75;1867
3727401012;407;122,373;1972;0;0,19;0;1868
3727402001;990;127,102;1977;0,01;0,41;1,48;1869
3727402002;1109;112,73;1977;0,01;0,27;0,72;1870
3727402003;874;111,771;1977;0,01;0,31;0,47;1871
3727402004;869;107,362;1979;0,01;0,31;0,48;1872
3727402005;888;95,427;1987;0,01;0,22;0;1873
3727402006;668;102,623;1996;0;0,27;0;1874
3727402007;761;87,788;1972;0;0,18;0,92;1875
3727402008;747;89,138;1972;0,01;0,26;0,54;1876
3727402009;549;97,987;1978;0,01;0,17;1,47;1877
3727402010;915;104,372;1976;0,01;0,27;0;1878
3727402011;489;89,374;1974;0;0,2;0,61;1879
3727402012;693;113,076;1984;0;0,22;0;1880
3727402013;542;101,655;1975;0;0,21;0,18;1881
3727402014;574;115,084;1976;0,01;0,37;0;1882
3727402015;526;94,403;1978;0,01;0,24;0,19;1883
3727402016;404;110,455;1986;0;0,47;1,24;1884
3727402017;375;109,349;1983;0;0,23;0;1885
3727402018;933;97,626;1994;0;0,22;0;1886
3727402019;423;104,262;1982;0,01;0,62;0,26;1887
3727402020;683;92,321;1997;0;0,15;0,16;1888
3727403001;475;95,299;1974;0,01;0,32;0,42;1889
3727403002;1617;98,792;1987;0,01;0,62;0,49;1890
3727403003;467;86,171;1979;0;0,11;0;1891
3727403004;907;97,657;1972;0,01;0,25;0,39;1892
3727403005;600;97,763;1968;0;0,18;0;1893
3727403006;376;97,971;1955;0,01;0,34;16,12;1894
3727403007;630;104,551;1997;0;0,33;0;1895
3727403008;467;85,323;1973;0;0,23;0;1896
3727403009;1143;109,843;1996;0,01;0,53;2,58;1897
3727403010;737;100,749;1996;0;0,37;0;1898
3727403011;568;128,345;1989;0,01;0,72;2,92;1899
3727403012;355;85,211;1980;0;0,19;0,56;1900
3727403013;785;94,065;1985;0,01;0,64;1,62;1901
3727403014;861;96,39;1983;0,01;0,41;5,89;1902
3727403015;504;97,849;1990;0;0,19;0;1903
3727403016;383;114,157;1998;0;0,32;0;1904
3727403017;1015;139,424;2003;0;0,42;0;1905
3727403018;1281;100,947;2001;0,01;0,38;8,4;1906
3727403019;622;113,635;1996;0,01;0,5;2,86;1907
3727403020;780;110,779;2008;0;0,32;0;1908
3727404001;661;97,026;1977;0,01;0,49;3,85;1909
3727404002;848;99,745;1975;0;0,26;0,12;1910
3727404003;721;94,963;1977;0;0,22;0;1911
3727404004;1053;93,653;1978;0,01;0,27;0,21;1912
3727404005;1132;78,928;1972;0,01;0,28;0,48;1913
3727404006;937;78,835;1963;0;0,22;0,75;1914
3727404008;746;74,252;1966;0;0,28;0;1915
3727404009;868;95,888;1994;0,01;0,35;4,17;1916
3727404010;1212;87,421;1988;0,01;0,34;0,57;1917
3727404011;679;93,001;1987;0,01;0,25;0,55;1918
3727404012;1029;94,001;1998;0;0,2;0;1919
3727404013;766;86,471;1991;0,01;0,25;0,35;1920
3727404014;651;79,863;1967;0,01;0,35;1,7;1921
3727404016;944;106,922;1976;0,01;0,26;1,48;1922
3727404017;781;97,182;1989;0,01;0,45;0,5;1923
3727404018;613;97,956;1974;0;0,22;0,33;1924
3727404019;1242;85,853;1990;0,01;0,25;1,15;1925
3727404020;596;115,069;1977;0,01;0,34;0,18;1926
3727404021;705;92,336;1987;0,01;0,2;0;1927
3727404022;1009;95,186;1995;0,01;0,47;3,15;1928
3727404023;640;94,072;1997;0;0,39;0,16;1929
3727404024;1716;107,879;2006;0;0,39;0;1930
3727404025;1141;93,634;2006;0;0,18;;1931
3727405001;925;125,724;1973;0,01;0,35;1,88;1932
3727405002;686;114,399;1977;0;0,28;0,61;1933
3727405003;569;108,023;1977;0;0,27;0,53;1934
3727405004;679;90,616;1972;0,01;0,28;0;1935
3727405005;1145;91,5;1966;0,01;0,25;0,09;3532
3727405006;949;92,02;1969;0,01;0,22;0,21;1936
3727405007;719;83,533;1968;0;0,26;0;1937
3727405008;747;112,467;1994;0,01;0,61;2,39;1938
3727405009;904;88,232;1986;0,01;0,22;0;1939
3727405010;611;95,9;1967;0;0,27;0,16;1940
3727405011;662;98,34;1976;0;0,18;0,76;1941
3727405012;931;91,579;1974;0,01;0,25;0;1942
3727405013;671;80,289;1968;0;0,13;0,15;1943
3727405014;337;96,145;1973;0;0,11;0;1944
3727405015;581;82,42;1967;0;0,17;0;1945
3727405016;329;91,383;1977;0;0,12;0,3;1946
3727405017;810;92,242;1973;0,01;0,24;0,25;1947
3727405018;507;79,515;1966;0;0,18;0;1948
3727405019;620;109,198;1981;0;0,28;0,67;1949
3727405020;783;113,441;1982;0,01;0,41;0;1950
3727405022;476;74,645;1972;0;0,02;0;1951
3727405025;694;91,755;1995;0;0,33;0,3;1952
3727405026;576;88,698;1976;0,01;0,31;0;1953
3727406001;915;98,485;1972;0,01;0,22;0,11;1954
3727406002;817;100,375;1969;0,01;0,24;1,11;1955
3727406003;919;114,367;1973;0,01;0,27;0,9;1956
3727406004;479;125,021;1970;0;0,25;0;1957
3727406005;709;100,472;1976;0,01;0,24;0,15;1958
3727406006;770;99,455;1975;0,01;0,26;0,42;1959
3727406007;666;102,245;1973;0;0,18;0;1960
3727406008;702;76,188;1968;0,01;0,28;0;1961
3727406009;602;102,025;1980;0,01;0,2;0,19;1962
3727406010;933;89,248;1976;0,01;0,28;0;1963
3727406011;1224;91,556;1990;0,01;0,3;0;1964
3727406012;792;105,715;1975;0;0,25;0;1965
3727406013;955;107,057;1975;0,01;0,24;0,32;1966
3727406014;826;97,66;1976;0,01;0,19;0;1967
3727406015;557;92,797;1977;0,01;0,35;0,18;1968
3727406016;665;130,594;1978;0,01;0,36;1,35;1969
3727406017;1000;103,089;1983;0,01;0,2;0,48;1970
3727406019;684;108,256;1983;0,01;0,41;0;1971
3727406020;1006;113,438;1999;0,01;0,54;1,63;1972
3727406021;906;92,102;1997;0;0,2;0,57;1973
3727406022;421;99,995;1979;0,01;0,18;0;1974
3727406023;791;92,534;1993;0;0,37;0;1975
3727501001;127;198,496;1972;0,01;0,85;18,75;1976
3727601001;301;238,638;1962;0,02;0,69;24,37;1977
3727701001;39;323,513;1965;0,02;0,62;63,64;1978
3727801001;730;164,152;1999;0,01;0,71;5,8;1979
3727901001;691;184,48;1971;0,01;0,66;25,51;1980
3728001001;70;168,271;1973;0,02;0,79;48,28;1981
3728101001;41;153,073;1960;0,02;0,73;57,14;1982
3728201001;301;162,844;1973;0,02;0,52;16,33;1983
3728301001;91;223,879;1957;0,02;0,56;49,37;1984
3728401001;380;213,784;1966;0,02;0,53;12,65;1985
3728501001;464;227,282;1953;0,02;0,54;7,09;1986
3728601001;362;183,818;1950;0,02;0,63;16,78;1987
3728701001;317;213,555;1978;0,01;0,55;9,47;1988
3728801001;214;189,463;1985;0,02;0,45;4,5;1989
3728901001;137;185,234;1963;0,02;0,54;39,66;1990
3729001001;104;184,029;1977;0,02;0,68;23,68;1991
3729101001;173;189,936;1977;0,02;0,82;30,77;1992
3729201001;51;238,686;1976;0,02;0,63;28,95;1993
3729301001;118;181,593;1954;0,02;0,66;55,05;1994
3729401001;807;99,611;1986;0,01;0,36;0,27;1995
3729401002;681;101,401;1986;0;0,21;0;1996
3729401003;944;91,157;1995;0;0,32;0;1997
3729401004;647;133,172;1994;0;0,75;0,29;1998
3729401005;526;120,81;1994;0,01;0,57;0;1999
3729401006;967;123,706;1995;0,01;0,68;0;2000
3729401007;547;309,218;1989;0;0,33;0,2;2001
3729401008;712;196,66;2004;0;0,35;0;2002
3729401009;453;305,163;1999;0;0,32;0;2003
3729401010;641;110,621;2000;0;0,3;0;3533
3729601001;414;215,879;1957;0,02;0,68;23,9;2004
3729701001;333;213,706;1969;0,02;0,61;18,65;2005
3729801001;210;157,033;1956;0,02;0,66;11,41;2006
3729901001;141;250,411;1971;0,02;0,47;48,54;2007
3730001001;686;162,914;1968;0,02;0,48;10,55;2008
3730101001;83;188,108;1984;0,02;0,82;15;2009
3730201001;310;176,971;1968;0,02;0,54;18,18;2010
3730301001;191;254,131;1979;0,02;0,47;22,58;2011
3730401001;211;195,63;1963;0,02;0,6;12,57;2012
3730501001;376;196,665;1976;0,02;0,63;3,72;2013
3730601001;414;205,983;1965;0,02;0,55;10,66;2014
3730701001;119;194,261;1970;0,02;0,58;18,63;2015
3730901001;42;179,976;1967;0,02;0,48;22,22;2016
3731001001;70;195,971;1964;0,02;0,71;28,33;2017
3731101001;402;164,184;1968;0,02;0,51;12,26;2018
3731201001;272;204,408;1963;0,02;0,55;8,97;2019
3731301001;407;201,966;1965;0,02;0,55;4,44;2020
3731401001;33;287,697;1958;0,02;0,76;54,17;2021
3731501001;121;223,231;1944;0,02;0,48;37,14;2022
3731601001;713;162,105;1974;0,01;0,69;6,98;2023
3731701001;206;222,752;1971;0,01;0,56;37,97;2024
3731801001;77;269,104;1971;0,02;0,46;32;2025
3731901001;222;171,23;1957;0,02;0,62;10,64;2026
3732001001;70;201,057;1973;0,02;0,65;45,45;2027
3732101001;104;246,221;1970;0,02;0,54;20,93;2028
3732201001;581;187,427;1984;0,01;0,45;2,46;2029
3732201002;1394;88,346;1990;0;0,2;0;2030
3732301001;373;206,761;1977;0,01;0,58;35,59;2031
3732401001;270;277,256;1955;0,02;0,57;3,19;2032
3732501001;109;136,404;1960;0,02;0,55;16,84;2033
3732701001;144;243,222;1971;0,02;0,59;33,04;2034
3732801001;179;163,402;1983;0,02;0,76;7,04;2035
3732901001;20;253,5;1950;0,02;0,47;52,63;2036
3733001001;297;193,912;1967;0,02;0,62;14,16;2037
3733101001;210;202,652;1953;0,02;0,58;6,91;2038
3733201001;66;139,091;1969;0,02;0,58;13,73;2039
3733301001;114;189,781;1975;0,02;0,65;32,53;2040
3733401001;54;145,796;1953;0,03;0,65;2,5;2041
3733501001;254;187,118;1961;0,02;0,53;35;2042
3733601001;48;195,333;1942;0,03;0,51;62,86;2043
3733701001;73;233,438;1983;0,02;0,55;16,98;2044
3733801001;76;252,118;1965;0,01;0,67;39,06;2045
3733901001;226;211,004;1963;0,02;0,52;18,46;2046
3734001001;113;194,726;1982;0,02;0,65;38,89;2047
3734101001;98;139,684;1966;0,02;0,54;21,69;2048
3734201001;168;217,244;1982;0,02;0,75;24,07;2049
3734301001;87;197,115;1943;0,03;0,64;20,34;2050
3734401001;119;188,63;1965;0,02;0,86;47,78;2051
3734501001;126;186,548;1972;0,02;0,67;21,15;2052
3734601001;218;159,229;1959;0,02;0,62;39,57;2053
3734701001;386;230,855;1966;0,02;0,56;13,25;2054
3734801001;122;203,869;1962;0,02;0,66;33,94;2055
3734901001;111;187,333;1972;0,02;0,77;15,69;2056
3735001001;431;255,545;1971;0,02;0,54;19,4;2057
3735101001;249;214,112;1969;0,02;0,63;24,17;2058
3735201001;170;195,918;1982;0,02;0,6;23,53;2059
3735301001;90;176,544;1965;0,01;0,7;19,28;2060
3735401001;701;158,208;1996;0,01;0,52;7,34;2061
3735401002;1458;241,967;2002;0,01;0,47;9,61;2062
3735401003;1019;129,909;1998;0,01;0,59;3,64;2063
3735401004;549;185,273;1995;0;0,58;0,45;2064
3735501001;294;212,252;1963;0,03;0,48;23,77;2065
3735601001;72;245,014;1961;0,02;0,63;25,4;2066
3735701001;293;213,652;1974;0,02;0,62;26,97;2067
3735801001;144;252,465;1970;0,01;0,71;15,7;2068
3735901001;287;241,063;1967;0,02;0,67;29,53;2069
3736001001;226;174,385;1966;0,02;0,62;35,24;2070
3736101001;69;138,942;1974;0,02;0,56;20,97;2071
3736201001;640;154,73;1998;0,01;0,67;3,2;2072
3736201002;823;170,741;2000;0,01;0,74;2,01;2073
3736201003;617;152,395;2000;0,01;0,57;2,65;2074
3736201004;774;103,783;2003;0;0,34;10,61;2075
3736301001;97;192,577;1956;0,02;0,68;47,31;2076
3736401001;1203;132,151;1971;0,02;0,6;20,46;2077
3736501001;128;243,383;1971;0,02;0,74;17,39;2078
3736601001;49;188,857;1973;0,02;0,65;2,44;2079
3736701001;223;181,758;1974;0,02;0,78;11,41;2080
3736801001;13;267,154;1954;0,02;0,41;41,67;2081
3736901001;161;177,832;1973;0,02;0,57;35,56;2082
3737001001;191;205,618;1968;0,02;0,61;12,94;2083
3737101001;253;236,518;1979;0,01;0,49;8,11;2084
3737201001;84;329,25;1925;0,03;0,53;22,86;2085
3737301001;843;168,791;1964;0,01;0,72;29;2086
3737401001;771;202,074;1981;0,01;0,58;6,74;2087
3737501001;396;249,412;1974;0,01;0,51;17,51;2088
3737601001;880;146,15;1979;0,01;0,62;7,14;2089
3737601002;872;151,267;1979;0,01;0,64;8,64;2090
3737701001;247;251,814;1965;0,02;0,55;12,44;2091
3737801001;110;204,018;1968;0,02;0,5;15,15;2092
3737901001;97;236,247;1975;0,02;0,6;23,94;2093
3738001001;63;150,127;1975;0,02;0,64;24,44;2094
3738101001;177;171,65;1973;0,02;0,63;16,67;2095
3738201001;171;229,357;1947;0,02;0,64;31,29;2096
4000101001;532;241,94;1988;0,02;0,59;15,8;2097
4000201001;92;181,478;1968;0,02;0,5;27,14;2098
4000301001;250;225,844;1970;0,02;0,5;27,54;2099
4000401001;651;196,853;1977;0,02;0,59;15,86;2100
4000501001;94;216,34;1978;0,02;0,43;29,17;2101
4000601001;76;284,908;1961;0,02;0,43;76,12;2102
4000701001;195;210,749;1976;0,02;0,48;20,53;2103
4000801001;101;261,465;1973;0,02;0,46;19,75;2104
4000901001;167;165,695;1977;0,02;0,55;27,78;2105
4001001001;148;258,142;1951;0,02;0,47;37,31;2106
4001201001;308;234,659;1960;0,02;0,53;10,2;2107
4001301001;119;241,748;1964;0,02;0,6;16,16;2108
4001401001;138;160,942;1983;0,02;0,64;21,55;2109
4001501001;124;201,097;1970;0,02;0,58;34,65;2110
4001601001;66;255,894;1966;0,02;0,53;27,59;2111
4001701001;101;218,772;1976;0,02;0,53;18,46;2112
4001801001;109;208,321;1963;0,02;0,59;27,08;2113
4001901001;87;231,724;1972;0,02;0,5;18,46;2114
4002001001;485;204,371;1981;0,02;0,58;15,45;2115
4002101001;48;243,979;1982;0,02;0,54;20,69;2116
4002201001;348;237,876;1968;0,02;0,54;19,54;2117
4002401001;1508;178,245;1973;0,02;0,6;12,52;2118
4002501001;176;250,858;1968;0,02;0,54;7,55;2119
4002601001;185;161,314;1982;0,02;0,53;18,85;2120
4002801001;137;221,664;1973;0,02;0,54;34,23;2121
4002901001;100;238,54;1965;0,02;0,51;9,09;2122
4003001001;498;289,4;1982;0,02;0,59;9,98;2123
4003101001;813;145,753;2000;0,01;0,57;7,69;2124
4003201001;531;166,938;1983;0,01;0,61;5,6;2125
4003301001;134;210,425;1985;0,02;0,51;15,19;2126
4003401001;153;198,458;1959;0,02;0,51;25;2127
4003501001;198;188,707;1995;0,02;0,57;10,19;2128
4003601001;559;252,852;1970;0,02;0,52;18,49;2129
4003701001;81;294,63;1959;0,01;0,52;17,95;2130
4003901001;352;209,179;1976;0,02;0,58;27,5;2131
4004001001;784;200,483;1971;0,02;0,68;16,11;2132
4004001002;1085;187,764;1986;0,01;0,63;5,54;2133
4004002001;855;235,389;1973;0,02;0,6;12,94;2134
4004101001;901;192,525;1987;0,01;0,64;8,65;2135
4004301001;834;240,731;1985;0,01;0,56;8,89;2136
4004301002;543;236,004;1980;0,02;0,54;11,48;2137
4004401001;238;211,887;1973;0,01;0,59;8,25;2138
4004501001;326;199,626;1977;0,02;0,59;13,73;2139
4004601001;285;187,046;1991;0,01;0,63;9,82;2140
4004701001;138;185,203;1967;0,02;0,71;21,77;2141
4004801001;119;173,739;1985;0,02;0,55;16,3;2142
4004901001;105;233,21;1968;0,02;0,48;28,95;2143
4005101001;92;203,587;1973;0,02;0,35;37,84;2144
4005201001;172;242,64;1983;0,02;0,49;27,56;2145
4005301001;227;206,877;1991;0,02;0,53;13,45;2146
4005401001;743;86,467;1974;0,01;1,03;1,14;2147
4005501001;62;272,645;1985;0,02;0,65;15,79;2148
4005601001;94;213,457;1961;0,01;0,43;26,14;2149
4005701001;565;209,798;1971;0,02;0,64;7,31;2150
4005701002;672;179,433;1983;0,01;0,52;7,72;2151
4005801001;332;271,063;1961;0,03;0,6;11,74;2152
4005901001;175;177,697;1980;0,02;0,56;15,5;2153
4006001001;157;282,28;1967;0,02;0,51;9,15;2154
4006101001;119;240,395;1982;0,02;0,53;23,81;2155
4006201001;78;217,833;1995;0,03;0,52;17,31;2156
4006301001;617;167,543;1970;0,02;0,66;7,1;2157
4006301002;764;176,453;1989;0,01;0,61;6,29;2158
4006301003;761;199,143;1969;0,02;0,62;10,66;2159
4006302001;1073;175,236;1978;0,01;0,69;3,3;2160
4006302002;943;155,748;1987;0,01;0,62;2,72;2161
4006302003;542;258,382;1972;0,02;0,55;15,2;2162
4006302004;1079;124,561;1989;0,01;0,54;0,28;2163
4006501001;414;228,674;1975;0,01;0,52;15,76;2164
4006801001;60;299,883;1944;0,03;0,44;16,67;2165
4006901001;67;276,045;1964;0,02;0,6;3,51;2166
4007001001;601;178,123;1996;0,01;0,49;6,12;2167
4007101001;57;258,456;1963;0,02;0,39;20,41;2168
4007201001;219;191,233;1996;0,02;0,37;34,43;2169
4007301001;376;264,412;1974;0,02;0,54;10,16;2170
4007401001;229;237,616;1975;0,02;0,51;13,3;2171
4007501001;221;254,023;1971;0,02;0,56;5,17;2172
4007601001;1114;119,924;1985;0,01;0,57;1,59;2173
4007601002;798;160,57;1988;0,01;0,6;1,04;2174
4007601003;1142;130,708;1985;0,01;0,7;1,8;2175
4007601004;879;160,279;1987;0,01;0,62;1,72;2176
4007602001;1025;128,748;1984;0,01;0,55;1,2;2177
4007602002;1015;183,775;1980;0,01;0,72;2,36;2178
4007602003;472;152,432;1975;0,01;0,8;2,89;2179
4007603001;825;176,356;1990;0,01;0,51;1,89;2180
4007604001;2080;162,702;1994;0,01;0,45;0,49;2181
4007701001;1012;141,296;2001;0,01;0,65;8,73;2182
4007801001;120;267,15;1970;0,02;0,5;18;2183
4007901001;871;201,772;1995;0,01;0,57;12,34;2184
4008001001;137;183,401;1984;0,01;0,58;15,24;2185
4008101001;243;222,177;1969;0,02;0,48;12,37;2186
4008201001;122;316,672;1966;0,02;0,56;17,54;2187
4008301001;202;223,168;1969;0,02;0,49;34,38;2188
4008401001;84;210,024;1967;0,02;0,57;41,03;2189
4008601001;610;229,575;1979;0,02;0,56;5,23;2190
4008701001;106;264,132;1968;0,01;0,65;20,22;2191
