CUSEC;numero_bienes;superficie_media;antiguedad_media;dispersion_antiguedad;dispersion_superficie;pct_reformado_2000;Seccion_id
3406801001;40;343,95;1988;0,02;0,55;70,27;1360
3406901001;653;197,734;1964;0,03;0,64;4,8;1361
3406901002;920;151,51;1983;0,02;0,7;2,03;1362
3407001001;273;186,821;1951;0,01;0,53;4,25;1363
3407101001;184;273,152;1970;0,01;0,51;15,66;1364
3407201001;168;349,756;1969;0,02;0,59;6,63;1365
3407301001;161;192,708;1978;0,02;0,53;29,92;1366
3407401001;532;210,641;1975;0,01;0,77;12,59;1367
3407601001;431;319,954;1977;0,02;0,58;15,91;1368
3407701001;334;230,844;1998;0,03;0,57;11,6;1369
3407901001;2074;188,446;1995;0,01;0,56;8,24;1370
3408001001;521;126,167;1979;0,01;0,38;1,08;1371
3408001002;1315;141,591;1971;0,01;0,58;13,79;3529
3408002001;817;123,503;1979;0,01;0,58;0,55;1372
3408002002;723;100,279;1967;0,01;0,57;1,52;1373
3408002003;885;147,411;1977;0,01;0,67;9,73;1374
3408101001;76;389,592;1981;0,02;0,5;9,72;1375
3408201001;140;224,679;1935;0,01;0,55;11,19;1376
3408301001;825;155,611;1973;0,01;0,73;13,18;1377
3408301002;885;221,962;1968;0,02;0,68;19,64;1378
3408401001;120;278,725;1884;0,03;0,6;9,57;1379
3408601001;93;219,785;1938;0,02;0,67;22,89;1380
3408701001;106;245,377;1914;0,04;0,58;6,12;1381
3408801001;359;214,71;1988;0,02;0,71;11,52;1382
3408901001;145;309,214;1965;0,01;0,53;10,08;1383
3409101001;115;282,757;1955;0,02;0,53;31,68;1384
3409201001;340;251,768;1970;0,01;0,59;16,5;1385
3409301001;64;396,938;1955;0,02;0,52;46,43;1386
3409401001;71;296,507;1941;0,02;0,53;24,29;1387
3409601001;46;285,826;1963;0,02;0,55;6,82;1388
3409801001;685;165,204;1983;0,01;0,61;2,64;1389
3409901001;47;293,617;1987;0,02;0,55;17,95;1390
3410001001;116;251,664;1964;0,02;0,49;22,92;1391
3410101001;71;339,606;1960;0,01;0,49;14,93;1392
3410201001;123;299,675;1993;0,03;0,62;7,14;1393
3410301001;82;370,793;1981;0,02;0,5;22,37;1394
3410401001;203;300,975;1970;0,01;0,65;9,7;1395
3410601001;126;349,913;1979;0,02;0,59;51,67;1396
3410701001;74;253,905;1989;0,02;0,63;62,3;1397
3410801001;452;209,153;1964;0,02;0,75;4,77;1398
