CP,lat,lon,CUSEC
24238,42.19683333333333,-5.5821000000000005,2421101001
24239,42.097033333333336,-5.5991,2405401001
24240,42.3551,-5.7515,2415701002
24248,42.38281428571429,-5.779857142857144,2402601001
24249,42.303025,-5.711275,2411301001
24250,42.4225,-5.669375,2406501002
24251,42.481375,-5.62565,2410501001
24252,42.3968,-5.727525,2415001001
24253,42.30785,-5.8309,2417601001
24257,42.8871,-5.3053,2402101001
24260,42.4329,-5.6139,2418701001
24270,42.58215,-5.8227,2403901001
24271,42.638075,-5.835375,2409201001
24272,42.59993333333333,-5.803033333333334,2405501001
24273,42.67227142857143,-5.841157142857143,2410401001
24274,42.6973,-5.8149,2413301001
24275,42.7438,-5.787299999999999,2413301001
24276,42.722366666666666,-5.821933333333334,2415801001
24277,42.736799999999995,-5.848766666666666,2415801001
24280,42.5044,-5.8944,2401501001
24281,42.5172,-5.940333333333332,2401501002
24282,42.599900000000005,-5.675050000000001,2418901001
24283,42.5623,-5.8455,2403901002
24284,42.5529,-5.863,2417301001
24285,42.55376,-5.899900000000001,2412301001
24286,42.4635,-5.8864,2408201001
24287,42.48213333333333,-5.9014999999999995,2401501001
24288,42.45905,-5.9287,2422401001
24290,42.343900000000005,-5.3046500000000005,2415301001
24291,42.350675,-5.38365,2409701001
24292,42.3046,-5.2999,2419001001
24293,42.23266666666667,-5.279966666666667,2408401001
24294,42.135,-5.4018,2407801001
24300,42.6147,-6.4186,2401401002
24310,42.627300000000005,-6.3435500000000005,2407101001
24311,42.6469,-6.3204,2407101001
24312,42.70635,-6.2864,2408301001
24313,42.77353333333334,-6.336533333333333,2408301001
24314,42.595400000000005,-6.460133333333334,2404901001
24315,42.645516666666666,-6.379383333333333,2401401006
24316,42.588766666666665,-6.4172666666666665,2404901001
24317,42.6595,-6.3839,2407101001
24318,42.643033333333335,-6.440666666666666,2401401006
24319,42.68212857142857,-6.384328571428571,2408301001
24320,42.3708,-5.0294,2413901002
24323,42.347100000000005,-5.1582,2419001001
24324,42.3161,-5.18706,2408601001
24325,42.36545,-5.15095,2407701001
24326,42.41036666666667,-4.968533333333333,2413901001
24327,42.54938,-4.95302,2422901001
24328,42.493075,-4.969,2405101001
24329,42.2919,-5.062633333333333,2413901002
24330,42.4457,-5.3797,2416001001
24339,42.43244,-5.36434,2421701001
24340,42.3207,-5.0194,2408001001
24341,42.3134,-4.9657,2406901001
24342,42.39435,-5.06585,2403101001
24343,42.439033333333334,-5.15945,2402401001
24344,42.5284125,-5.0909375,2415601001
24345,42.4499,-5.3076,2416001001
24346,42.492599999999996,-5.541600000000001,2419701001
24347,42.520833333333336,-5.5502666666666665,2410501001
24350,42.4371,-5.8851,2422301002
24356,42.4242,-5.865233333333333,2422801001
24357,42.442049999999995,-5.8184000000000005,2402601001
24358,42.40866666666667,-5.8873999999999995,2414401001
24360,42.6361,-6.2056,2421001001
24367,42.6341,-6.1618,2421001001
24368,42.6715,-6.127879999999999,2421001001
24369,42.59956666666667,-6.187966666666667,2421001001
24370,42.6077,-6.3667,2417001002
24374,42.64383333333333,-6.2703999999999995,2417001001
24375,42.70135,-6.235799999999999,2408301001
24376,42.7272,-6.1529,2408301001
24377,42.7262,-6.2103,2408301001
24378,42.574600000000004,-6.33125,2417001001
24379,42.586125,-6.282775,2421001001
24380,42.4117,-6.8208,2412201001
24384,42.4361,-6.8163,2412201001
24385,42.3995,-6.8016,2412201001
24386,42.4279,-6.77435,2412201001
24387,42.4156,-6.7392,2412201001
24388,42.38138333333333,-6.664549999999999,2401601001
24389,42.411625,-6.722625,2401601001
24390,42.52576666666667,-6.698566666666667,2411503007
24391,42.547354545454546,-5.655227272727273,2418901001
24392,42.50788333333333,-5.736433333333333,2406501002
24393,42.50082857142858,-5.836914285714286,2402601001
24394,42.40975,-5.9717,2418201001
24395,42.42416666666667,-6.0177000000000005,2418201001
24396,42.54774,-6.0847,2409301001
24397,42.654184615384615,-6.029461538461538,2412301001
24398,42.588,-6.492133333333332,2405701001
24400,42.5466,-6.5962,2411502002
24401,42.5463,-6.5878,2411501005
24402,42.5485,-6.5987,2411502007
24403,42.5438,-6.6022,2411502008
24404,42.5528,-6.609,2411502015
24410,42.59478333333333,-6.67165,2403401003
24411,42.5726,-6.6416,2411505007
24412,42.61305,-6.6332,2402701001
24413,42.529066666666665,-6.4725166666666665,2410001001
24414,42.48437,-6.506740000000001,2411506001
24415,42.48356923076923,-6.585646153846154,2411506001
24416,42.5588,-6.5782,2411501006
24420,42.7685,-6.625,2407001002
24428,42.77615,-6.6107,2407001003
24429,42.854644444444446,-6.637377777777777,2407001003
24430,42.7254,-6.6544,2419601001
24433,42.82441818181818,-6.729027272727273,2403601001
24434,42.754333333333335,-6.6629000000000005,2407001001
24435,42.7175,-6.6929,2419601002
24436,42.71853333333333,-6.720199999999999,2419601002
24437,42.769975,-6.717625,2419601002
24438,42.72602,-6.576420000000001,2401901001
24439,42.7001,-6.6414,2414301001
24440,42.4933,-6.7888,2404101001
24441,42.50506,-6.80618,2404101001
24442,42.4741,-6.7661999999999995,2404101001
24443,42.50435,-6.7211,2403801002
24444,42.469433333333335,-6.730133333333334,2402201001
24445,42.5,-6.6833,2411901001
24446,42.48195,-6.6987000000000005,2411901001
24447,42.4936,-6.7379,2402201001
24448,42.51293333333333,-6.6515666666666675,2411504002
24450,42.6985,-6.5118,2416901001
24457,42.74295,-6.4856,2416901002
24458,42.71745,-6.44735,2410201001
24459,42.664649999999995,-6.5375499999999995,2416901002
24460,42.7568,-6.5183,2411001001
24469,42.75366666666667,-6.520066666666668,2416901003
24470,42.8206,-6.4875,2411001001
24478,42.809200000000004,-6.56345,2411001001
24479,42.8055,-6.4,2411001001
24480,42.8256,-6.5055,2410901001
24488,42.8458,-6.5441,2411001001
24489,42.8399,-6.4998,2410901001
24490,42.5751,-6.612,2411505003
24491,42.5859,-6.5992,2411505005
24492,42.64601666666667,-6.5698333333333325,2406401001
24493,42.665,-6.501,2416901002
24494,42.781,-6.5133,2411001001
24495,42.852875,-6.390275,2410901001
24496,42.894099999999995,-6.39055,2410901001
24497,42.9161,-6.3866,2410901001
24498,42.7471,-6.4874,2416901002
24500,42.606,-6.8107,2420901002
24510,42.6828,-6.8146,2420901002
24511,42.7542,-6.8283,2420901002
24512,42.6766,-6.76015,2420901002
24513,42.6271,-6.80775,2420901002
24514,42.579,-6.8192,2405901001
24515,42.5756,-6.8767,2405901001
24516,42.5761,-6.790425,2420901002
24517,42.5966,-6.872033333333333,2405901001
24520,42.675783333333335,-6.951866666666667,2419801001
24521,42.612941176470585,-6.976764705882353,2401101001
24522,42.6261,-6.8442,2417101001
24523,42.63771111111111,-6.886688888888888,2417101001
24524,42.659,-6.923733333333334,2419801001
24525,42.71228823529412,-6.923411764705882,2400901001
24526,42.68391538461538,-7.0069307692307685,2419801001
24530,42.588,-6.761266666666667,2420901002
24540,42.5986,-6.7245,2403001001
24544,42.5719,-6.728,2403801001
24545,42.641549999999995,-6.662100000000001,2400701001
24546,42.651783333333334,-6.695516666666666,2400701001
24547,42.6184,-6.749525,2403001004
24548,42.63315,-6.73015,2403001003
24549,42.5561,-6.7312,2403801001
24550,42.5857,-6.740933333333333,2420601001
24560,42.5431,-6.7771,2420601001
24565,42.5367,-6.7522,2403801002
24566,42.551899999999996,-6.9925250000000005,2410301001
24567,42.528800000000004,-6.865900000000001,2416501001
24568,42.5339,-7.008400000000001,2410301001
24569,42.52858888888889,-6.875322222222222,2416501001
24600,42.8566,-5.6677,2411401001
24607,42.8707,-5.6616,2411401001
24608,42.88476666666667,-5.717983333333333,2411401001
24609,42.83778,-5.6292,2411401003
24610,42.6891,-5.6398,2406101001
24620,42.724266666666665,-5.647533333333333,2406101001
24630,42.75595,-5.636699999999999,2406101001
24640,42.8026,-5.6283,2413401001
24648,42.8181,-5.561719999999999,2413401002
24649,42.80694,-5.65872,2413401002
24650,42.8758,-5.6356,2411401003
24660,42.885,-5.6369,2411401002
24670,42.903400000000005,-5.64845,2411401002
24680,42.9386,-5.6567,2490101001
24687,42.95,-5.6833,2490101001
24688,42.94334,-5.75366,2490101001
24689,42.9612,-5.6482,2490101001
