Provincias;Municipios;Secciones;Sexo;Relación con la actividad;Periodo;Total
47 Valladolid;47001 Adalia;;Mujeres;Ocupado/a;2023;8
47 Valladolid;47001 Adalia;;Mujeres;Ocupado/a;2022;6
47 Valladolid;47001 Adalia;;Mujeres;Ocupado/a;2021;6
47 Valladolid;47001 Adalia;;Mujeres;Parado/a;2023;1
47 Valladolid;47001 Adalia;;Mujeres;Parado/a;2022;1
47 Valladolid;47001 Adalia;;Mujeres;Parado/a;2021;2
47 Valladolid;47001 Adalia;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;4
47 Valladolid;47001 Adalia;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;3
47 Valladolid;47001 Adalia;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;2
47 Valladolid;47001 Adalia;;Mujeres;Otra situación de inactividad;2023;7
47 Valladolid;47001 Adalia;;Mujeres;Otra situación de inactividad;2022;7
47 Valladolid;47001 Adalia;;Mujeres;Otra situación de inactividad;2021;7
47 Valladolid;47001 Adalia;;Mujeres;Estudiante;2023;1
47 Valladolid;47001 Adalia;;Mujeres;Estudiante;2022;5
47 Valladolid;47001 Adalia;;Mujeres;Estudiante;2021;5
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Total;2023;51
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Total;2022;54
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Total;2021;52
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Ocupado/a;2023;25
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Ocupado/a;2022;25
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Ocupado/a;2021;23
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Parado/a;2023;2
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Parado/a;2022;2
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Parado/a;2021;4
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;15
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;14
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;12
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Otra situación de inactividad;2023;8
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Otra situación de inactividad;2022;8
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Otra situación de inactividad;2021;8
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Estudiante;2023;1
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Estudiante;2022;5
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Total;Estudiante;2021;5
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Hombres;Total;2023;30
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Hombres;Total;2022;32
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Hombres;Total;2021;30
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Hombres;Ocupado/a;2023;17
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Hombres;Ocupado/a;2022;19
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Hombres;Ocupado/a;2021;17
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Hombres;Parado/a;2023;1
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Hombres;Parado/a;2022;1
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Hombres;Parado/a;2021;2
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;11
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;11
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;10
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Hombres;Otra situación de inactividad;2023;1
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Hombres;Otra situación de inactividad;2022;1
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Hombres;Otra situación de inactividad;2021;1
47 Valladolid;47001 Adalia;4700101001 Adalia sección 01001;Hombres;Estudiante;2023;0
