Provincias;Municipios;Secciones;Sexo;Relación con la actividad;Periodo;Total
24 León;24001 Acebedo;;Mujeres;Total;2022;80
24 León;24001 Acebedo;;Mujeres;Total;2021;75
24 León;24001 Acebedo;;Mujeres;Ocupado/a;2023;29
24 León;24001 Acebedo;;Mujeres;Ocupado/a;2022;25
24 León;24001 Acebedo;;Mujeres;Ocupado/a;2021;24
24 León;24001 Acebedo;;Mujeres;Parado/a;2023;0
24 León;24001 Acebedo;;Mujeres;Parado/a;2022;1
24 León;24001 Acebedo;;Mujeres;Parado/a;2021;5
24 León;24001 Acebedo;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;26
24 León;24001 Acebedo;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;26
24 León;24001 Acebedo;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;28
24 León;24001 Acebedo;;Mujeres;Otra situación de inactividad;2023;19
24 León;24001 Acebedo;;Mujeres;Otra situación de inactividad;2022;19
24 León;24001 Acebedo;;Mujeres;Otra situación de inactividad;2021;12
24 León;24001 Acebedo;;Mujeres;Estudiante;2023;8
24 León;24001 Acebedo;;Mujeres;Estudiante;2022;9
24 León;24001 Acebedo;;Mujeres;Estudiante;2021;6
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Total;Total;2023;178
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Total;Total;2022;177
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Total;Total;2021;175
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Total;Ocupado/a;2023;67
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Total;Ocupado/a;2022;62
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Total;Ocupado/a;2021;61
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Total;Parado/a;2023;2
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Total;Parado/a;2022;6
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Total;Parado/a;2021;10
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;74
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;74
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;80
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Total;Otra situación de inactividad;2023;24
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Total;Otra situación de inactividad;2022;24
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Total;Otra situación de inactividad;2021;17
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Total;Estudiante;2023;11
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Total;Estudiante;2022;11
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Total;Estudiante;2021;7
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Hombres;Total;2023;96
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Hombres;Total;2022;97
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Hombres;Total;2021;100
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Hombres;Ocupado/a;2023;38
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Hombres;Ocupado/a;2022;37
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Hombres;Ocupado/a;2021;37
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Hombres;Parado/a;2023;2
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Hombres;Parado/a;2022;5
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Hombres;Parado/a;2021;5
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;48
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;48
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;52
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Hombres;Otra situación de inactividad;2023;5
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Hombres;Otra situación de inactividad;2022;5
24 León;24001 Acebedo;2400101001 Acebedo sección 01001;Hombres;Otra situación de inactividad;2021;5
