Provincias;Municipios;Secciones;Sexo;Relación con la actividad;Periodo;Total
09 Burgos;09001 Abajas;;Mujeres;Parado/a;2023;""
09 Burgos;09001 Abajas;;Mujeres;Parado/a;2022;""
09 Burgos;09001 Abajas;;Mujeres;Parado/a;2021;""
09 Burgos;09001 Abajas;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;.
09 Burgos;09001 Abajas;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;.
09 Burgos;09001 Abajas;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;.
09 Burgos;09001 Abajas;;Mujeres;Otra situación de inactividad;2023;.
09 Burgos;09001 Abajas;;Mujeres;Otra situación de inactividad;2022;.
09 Burgos;09001 Abajas;;Mujeres;Otra situación de inactividad;2021;.
09 Burgos;09001 Abajas;;Mujeres;Estudiante;2023;.
09 Burgos;09001 Abajas;;Mujeres;Estudiante;2022;.
09 Burgos;09001 Abajas;;Mujeres;Estudiante;2021;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Total;Total;2023;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Total;Total;2022;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Total;Total;2021;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Total;Ocupado/a;2023;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Total;Ocupado/a;2022;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Total;Ocupado/a;2021;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Total;Parado/a;2023;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Total;Parado/a;2022;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Total;Parado/a;2021;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Total;Otra situación de inactividad;2023;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Total;Otra situación de inactividad;2022;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Total;Otra situación de inactividad;2021;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Total;Estudiante;2023;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Total;Estudiante;2022;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Total;Estudiante;2021;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Hombres;Total;2023;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Hombres;Total;2022;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Hombres;Total;2021;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Hombres;Ocupado/a;2023;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Hombres;Ocupado/a;2022;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Hombres;Ocupado/a;2021;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Hombres;Parado/a;2023;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Hombres;Parado/a;2022;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Hombres;Parado/a;2021;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Hombres;Otra situación de inactividad;2023;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Hombres;Otra situación de inactividad;2022;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Hombres;Otra situación de inactividad;2021;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Hombres;Estudiante;2023;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Hombres;Estudiante;2022;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Hombres;Estudiante;2021;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Mujeres;Total;2023;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Mujeres;Total;2022;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Mujeres;Total;2021;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Mujeres;Ocupado/a;2023;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Mujeres;Ocupado/a;2022;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Mujeres;Ocupado/a;2021;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Mujeres;Parado/a;2023;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Mujeres;Parado/a;2022;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Mujeres;Parado/a;2021;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Mujeres;Otra situación de inactividad;2023;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Mujeres;Otra situación de inactividad;2022;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Mujeres;Otra situación de inactividad;2021;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Mujeres;Estudiante;2023;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Mujeres;Estudiante;2022;.
09 Burgos;09001 Abajas;0900101001 Abajas sección 01001;Mujeres;Estudiante;2021;.
09 Burgos;09003 Adrada de Haza;;Total;Total;2023;185
09 Burgos;09003 Adrada de Haza;;Total;Total;2022;185
09 Burgos;09003 Adrada de Haza;;Total;Total;2021;184
09 Burgos;09003 Adrada de Haza;;Total;Ocupado/a;2023;79
09 Burgos;09003 Adrada de Haza;;Total;Ocupado/a;2022;78
09 Burgos;09003 Adrada de Haza;;Total;Ocupado/a;2021;79
09 Burgos;09003 Adrada de Haza;;Total;Parado/a;2023;14
09 Burgos;09003 Adrada de Haza;;Total;Parado/a;2022;14
09 Burgos;09003 Adrada de Haza;;Total;Parado/a;2021;14
09 Burgos;09003 Adrada de Haza;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;47
09 Burgos;09003 Adrada de Haza;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;48
09 Burgos;09003 Adrada de Haza;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;44
09 Burgos;09003 Adrada de Haza;;Total;Otra situación de inactividad;2023;38
09 Burgos;09003 Adrada de Haza;;Total;Otra situación de inactividad;2022;29
09 Burgos;09003 Adrada de Haza;;Total;Otra situación de inactividad;2021;31
09 Burgos;09003 Adrada de Haza;;Total;Estudiante;2023;7
09 Burgos;09003 Adrada de Haza;;Total;Estudiante;2022;16
09 Burgos;09003 Adrada de Haza;;Total;Estudiante;2021;16
09 Burgos;09003 Adrada de Haza;;Hombres;Total;2023;90
09 Burgos;09003 Adrada de Haza;;Hombres;Total;2022;90
09 Burgos;09003 Adrada de Haza;;Hombres;Total;2021;91
09 Burgos;09003 Adrada de Haza;;Hombres;Ocupado/a;2023;44
09 Burgos;09003 Adrada de Haza;;Hombres;Ocupado/a;2022;46
09 Burgos;09003 Adrada de Haza;;Hombres;Ocupado/a;2021;44
09 Burgos;09003 Adrada de Haza;;Hombres;Parado/a;2023;7
09 Burgos;09003 Adrada de Haza;;Hombres;Parado/a;2022;6
09 Burgos;09003 Adrada de Haza;;Hombres;Parado/a;2021;8
09 Burgos;09003 Adrada de Haza;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;27
09 Burgos;09003 Adrada de Haza;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;28
09 Burgos;09003 Adrada de Haza;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;26
09 Burgos;09003 Adrada de Haza;;Hombres;Otra situación de inactividad;2023;9
09 Burgos;09003 Adrada de Haza;;Hombres;Otra situación de inactividad;2022;5
09 Burgos;09003 Adrada de Haza;;Hombres;Otra situación de inactividad;2021;7
09 Burgos;09003 Adrada de Haza;;Hombres;Estudiante;2023;3
09 Burgos;09003 Adrada de Haza;;Hombres;Estudiante;2022;5
09 Burgos;09003 Adrada de Haza;;Hombres;Estudiante;2021;6
09 Burgos;09003 Adrada de Haza;;Mujeres;Total;2023;95
09 Burgos;09003 Adrada de Haza;;Mujeres;Total;2022;95
09 Burgos;09003 Adrada de Haza;;Mujeres;Total;2021;93
09 Burgos;09003 Adrada de Haza;;Mujeres;Ocupado/a;2023;35
09 Burgos;09003 Adrada de Haza;;Mujeres;Ocupado/a;2022;32
09 Burgos;09003 Adrada de Haza;;Mujeres;Ocupado/a;2021;35
09 Burgos;09003 Adrada de Haza;;Mujeres;Parado/a;2023;7
09 Burgos;09003 Adrada de Haza;;Mujeres;Parado/a;2022;8
09 Burgos;09003 Adrada de Haza;;Mujeres;Parado/a;2021;6
09 Burgos;09003 Adrada de Haza;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;20
09 Burgos;09003 Adrada de Haza;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;20
09 Burgos;09003 Adrada de Haza;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;18
09 Burgos;09003 Adrada de Haza;;Mujeres;Otra situación de inactividad;2023;29
09 Burgos;09003 Adrada de Haza;;Mujeres;Otra situación de inactividad;2022;24
09 Burgos;09003 Adrada de Haza;;Mujeres;Otra situación de inactividad;2021;24
09 Burgos;09003 Adrada de Haza;;Mujeres;Estudiante;2023;4
09 Burgos;09003 Adrada de Haza;;Mujeres;Estudiante;2022;11
09 Burgos;09003 Adrada de Haza;;Mujeres;Estudiante;2021;10
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Total;Total;2023;185
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Total;Total;2022;185
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Total;Total;2021;184
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Total;Ocupado/a;2023;79
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Total;Ocupado/a;2022;78
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Total;Ocupado/a;2021;79
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Total;Parado/a;2023;14
