Provincias;Municipios;Secciones;Sexo;Relación con la actividad;Periodo;Total
05 Ávila;05001 Adanero;;Mujeres;Parado/a;2023;5
05 Ávila;05001 Adanero;;Mujeres;Parado/a;2022;8
05 Ávila;05001 Adanero;;Mujeres;Parado/a;2021;11
05 Ávila;05001 Adanero;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;8
05 Ávila;05001 Adanero;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;8
05 Ávila;05001 Adanero;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;6
05 Ávila;05001 Adanero;;Mujeres;Otra situación de inactividad;2023;30
05 Ávila;05001 Adanero;;Mujeres;Otra situación de inactividad;2022;34
05 Ávila;05001 Adanero;;Mujeres;Otra situación de inactividad;2021;34
05 Ávila;05001 Adanero;;Mujeres;Estudiante;2023;3
05 Ávila;05001 Adanero;;Mujeres;Estudiante;2022;4
05 Ávila;05001 Adanero;;Mujeres;Estudiante;2021;5
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Total;Total;2023;198
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Total;Total;2022;210
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Total;Total;2021;190
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Total;Ocupado/a;2023;92
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Total;Ocupado/a;2022;91
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Total;Ocupado/a;2021;77
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Total;Parado/a;2023;7
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Total;Parado/a;2022;13
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Total;Parado/a;2021;17
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;35
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;39
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;37
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Total;Otra situación de inactividad;2023;53
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Total;Otra situación de inactividad;2022;52
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Total;Otra situación de inactividad;2021;45
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Total;Estudiante;2023;11
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Total;Estudiante;2022;15
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Total;Estudiante;2021;14
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Hombres;Total;2023;114
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Hombres;Total;2022;116
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Hombres;Total;2021;103
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Hombres;Ocupado/a;2023;54
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Hombres;Ocupado/a;2022;51
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Hombres;Ocupado/a;2021;46
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Hombres;Parado/a;2023;2
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Hombres;Parado/a;2022;5
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Hombres;Parado/a;2021;6
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;27
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;31
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;31
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Hombres;Otra situación de inactividad;2023;23
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Hombres;Otra situación de inactividad;2022;18
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Hombres;Otra situación de inactividad;2021;11
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Hombres;Estudiante;2023;8
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Hombres;Estudiante;2022;11
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Hombres;Estudiante;2021;9
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Mujeres;Total;2023;84
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Mujeres;Total;2022;94
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Mujeres;Total;2021;87
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Mujeres;Ocupado/a;2023;38
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Mujeres;Ocupado/a;2022;40
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Mujeres;Ocupado/a;2021;31
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Mujeres;Parado/a;2023;5
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Mujeres;Parado/a;2022;8
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Mujeres;Parado/a;2021;11
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;8
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;8
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;6
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Mujeres;Otra situación de inactividad;2023;30
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Mujeres;Otra situación de inactividad;2022;34
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Mujeres;Otra situación de inactividad;2021;34
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Mujeres;Estudiante;2023;3
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Mujeres;Estudiante;2022;4
05 Ávila;05001 Adanero;0500101001 Adanero sección 01001;Mujeres;Estudiante;2021;5
05 Ávila;05002 Adrada, La;;Total;Total;2023;2.327
05 Ávila;05002 Adrada, La;;Total;Total;2022;2.340
05 Ávila;05002 Adrada, La;;Total;Total;2021;2.333
05 Ávila;05002 Adrada, La;;Total;Ocupado/a;2023;1.002
05 Ávila;05002 Adrada, La;;Total;Ocupado/a;2022;1.019
05 Ávila;05002 Adrada, La;;Total;Ocupado/a;2021;966
05 Ávila;05002 Adrada, La;;Total;Parado/a;2023;263
05 Ávila;05002 Adrada, La;;Total;Parado/a;2022;267
05 Ávila;05002 Adrada, La;;Total;Parado/a;2021;352
05 Ávila;05002 Adrada, La;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;447
05 Ávila;05002 Adrada, La;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;463
05 Ávila;05002 Adrada, La;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;456
05 Ávila;05002 Adrada, La;;Total;Otra situación de inactividad;2023;499
05 Ávila;05002 Adrada, La;;Total;Otra situación de inactividad;2022;456
05 Ávila;05002 Adrada, La;;Total;Otra situación de inactividad;2021;425
05 Ávila;05002 Adrada, La;;Total;Estudiante;2023;116
05 Ávila;05002 Adrada, La;;Total;Estudiante;2022;135
05 Ávila;05002 Adrada, La;;Total;Estudiante;2021;134
05 Ávila;05002 Adrada, La;;Hombres;Total;2023;1.189
05 Ávila;05002 Adrada, La;;Hombres;Total;2022;1.196
05 Ávila;05002 Adrada, La;;Hombres;Total;2021;1.191
05 Ávila;05002 Adrada, La;;Hombres;Ocupado/a;2023;561
05 Ávila;05002 Adrada, La;;Hombres;Ocupado/a;2022;585
05 Ávila;05002 Adrada, La;;Hombres;Ocupado/a;2021;552
05 Ávila;05002 Adrada, La;;Hombres;Parado/a;2023;119
05 Ávila;05002 Adrada, La;;Hombres;Parado/a;2022;106
05 Ávila;05002 Adrada, La;;Hombres;Parado/a;2021;154
05 Ávila;05002 Adrada, La;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;301
05 Ávila;05002 Adrada, La;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;312
05 Ávila;05002 Adrada, La;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;312
05 Ávila;05002 Adrada, La;;Hombres;Otra situación de inactividad;2023;140
05 Ávila;05002 Adrada, La;;Hombres;Otra situación de inactividad;2022;120
05 Ávila;05002 Adrada, La;;Hombres;Otra situación de inactividad;2021;99
05 Ávila;05002 Adrada, La;;Hombres;Estudiante;2023;68
05 Ávila;05002 Adrada, La;;Hombres;Estudiante;2022;73
05 Ávila;05002 Adrada, La;;Hombres;Estudiante;2021;74
05 Ávila;05002 Adrada, La;;Mujeres;Total;2023;1.138
05 Ávila;05002 Adrada, La;;Mujeres;Total;2022;1.144
05 Ávila;05002 Adrada, La;;Mujeres;Total;2021;1.142
05 Ávila;05002 Adrada, La;;Mujeres;Ocupado/a;2023;441
05 Ávila;05002 Adrada, La;;Mujeres;Ocupado/a;2022;434
05 Ávila;05002 Adrada, La;;Mujeres;Ocupado/a;2021;414
05 Ávila;05002 Adrada, La;;Mujeres;Parado/a;2023;144
05 Ávila;05002 Adrada, La;;Mujeres;Parado/a;2022;161
05 Ávila;05002 Adrada, La;;Mujeres;Parado/a;2021;198
05 Ávila;05002 Adrada, La;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;146
05 Ávila;05002 Adrada, La;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;151
05 Ávila;05002 Adrada, La;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;144
05 Ávila;05002 Adrada, La;;Mujeres;Otra situación de inactividad;2023;359
05 Ávila;05002 Adrada, La;;Mujeres;Otra situación de inactividad;2022;336
05 Ávila;05002 Adrada, La;;Mujeres;Otra situación de inactividad;2021;326
05 Ávila;05002 Adrada, La;;Mujeres;Estudiante;2023;48
05 Ávila;05002 Adrada, La;;Mujeres;Estudiante;2022;62
05 Ávila;05002 Adrada, La;;Mujeres;Estudiante;2021;60
