Provincias;Municipios;Secciones;Sexo;Relación con la actividad;Periodo;Total
37 Salamanca;37001 Abusejo;;Mujeres;Total;2021;77
37 Salamanca;37001 Abusejo;;Mujeres;Ocupado/a;2023;13
37 Salamanca;37001 Abusejo;;Mujeres;Ocupado/a;2022;13
37 Salamanca;37001 Abusejo;;Mujeres;Ocupado/a;2021;14
37 Salamanca;37001 Abusejo;;Mujeres;Parado/a;2023;7
37 Salamanca;37001 Abusejo;;Mujeres;Parado/a;2022;6
37 Salamanca;37001 Abusejo;;Mujeres;Parado/a;2021;6
37 Salamanca;37001 Abusejo;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;10
37 Salamanca;37001 Abusejo;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;10
37 Salamanca;37001 Abusejo;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;12
37 Salamanca;37001 Abusejo;;Mujeres;Otra situación de inactividad;2023;39
37 Salamanca;37001 Abusejo;;Mujeres;Otra situación de inactividad;2022;45
37 Salamanca;37001 Abusejo;;Mujeres;Otra situación de inactividad;2021;44
37 Salamanca;37001 Abusejo;;Mujeres;Estudiante;2023;0
37 Salamanca;37001 Abusejo;;Mujeres;Estudiante;2022;1
37 Salamanca;37001 Abusejo;;Mujeres;Estudiante;2021;1
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Total;Total;2023;146
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Total;Total;2022;155
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Total;Total;2021;161
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Total;Ocupado/a;2023;45
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Total;Ocupado/a;2022;44
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Total;Ocupado/a;2021;48
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Total;Parado/a;2023;7
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Total;Parado/a;2022;9
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Total;Parado/a;2021;10
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;50
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;52
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;53
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Total;Otra situación de inactividad;2023;42
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Total;Otra situación de inactividad;2022;48
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Total;Otra situación de inactividad;2021;46
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Total;Estudiante;2023;2
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Total;Estudiante;2022;2
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Total;Estudiante;2021;4
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Hombres;Total;2023;77
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Hombres;Total;2022;80
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Hombres;Total;2021;84
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Hombres;Ocupado/a;2023;32
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Hombres;Ocupado/a;2022;31
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Hombres;Ocupado/a;2021;34
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Hombres;Parado/a;2023;0
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Hombres;Parado/a;2022;3
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Hombres;Parado/a;2021;4
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;40
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;42
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;41
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Hombres;Otra situación de inactividad;2023;3
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Hombres;Otra situación de inactividad;2022;3
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Hombres;Otra situación de inactividad;2021;2
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Hombres;Estudiante;2023;2
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Hombres;Estudiante;2022;1
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Hombres;Estudiante;2021;3
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Mujeres;Total;2023;69
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Mujeres;Total;2022;75
37 Salamanca;37001 Abusejo;3700101001 Abusejo sección 01001;Mujeres;Total;2021;77
