Provincias;Municipios;Secciones;Sexo;Relación con la actividad;Periodo;Total
42 Soria;42001 Abejar;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;27
42 Soria;42001 Abejar;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;28
42 Soria;42001 Abejar;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;28
42 Soria;42001 Abejar;;Mujeres;Otra situación de inactividad;2023;64
42 Soria;42001 Abejar;;Mujeres;Otra situación de inactividad;2022;30
42 Soria;42001 Abejar;;Mujeres;Otra situación de inactividad;2021;30
42 Soria;42001 Abejar;;Mujeres;Estudiante;2023;4
42 Soria;42001 Abejar;;Mujeres;Estudiante;2022;4
42 Soria;42001 Abejar;;Mujeres;Estudiante;2021;5
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Total;Total;2023;319
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Total;Total;2022;250
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Total;Total;2021;254
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Total;Ocupado/a;2023;121
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Total;Ocupado/a;2022;106
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Total;Ocupado/a;2021;103
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Total;Parado/a;2023;19
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Total;Parado/a;2022;20
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Total;Parado/a;2021;25
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;80
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;81
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;81
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Total;Otra situación de inactividad;2023;84
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Total;Otra situación de inactividad;2022;33
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Total;Otra situación de inactividad;2021;34
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Total;Estudiante;2023;15
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Total;Estudiante;2022;10
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Total;Estudiante;2021;11
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Hombres;Total;2023;160
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Hombres;Total;2022;132
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Hombres;Total;2021;134
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Hombres;Ocupado/a;2023;66
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Hombres;Ocupado/a;2022;59
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Hombres;Ocupado/a;2021;59
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Hombres;Parado/a;2023;10
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Hombres;Parado/a;2022;11
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Hombres;Parado/a;2021;12
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;53
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;53
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;53
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Hombres;Otra situación de inactividad;2023;20
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Hombres;Otra situación de inactividad;2022;3
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Hombres;Otra situación de inactividad;2021;4
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Hombres;Estudiante;2023;11
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Hombres;Estudiante;2022;6
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Hombres;Estudiante;2021;6
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Mujeres;Total;2023;159
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Mujeres;Total;2022;118
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Mujeres;Total;2021;120
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Mujeres;Ocupado/a;2023;55
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Mujeres;Ocupado/a;2022;47
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Mujeres;Ocupado/a;2021;44
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Mujeres;Parado/a;2023;9
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Mujeres;Parado/a;2022;9
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Mujeres;Parado/a;2021;13
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;27
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;28
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;28
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Mujeres;Otra situación de inactividad;2023;64
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Mujeres;Otra situación de inactividad;2022;30
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Mujeres;Otra situación de inactividad;2021;30
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Mujeres;Estudiante;2023;4
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Mujeres;Estudiante;2022;4
42 Soria;42001 Abejar;4200101001 Abejar sección 01001;Mujeres;Estudiante;2021;5
42 Soria;42003 Adradas;;Total;Total;2023;65
42 Soria;42003 Adradas;;Total;Total;2022;64
42 Soria;42003 Adradas;;Total;Total;2021;61
42 Soria;42003 Adradas;;Total;Ocupado/a;2023;39
42 Soria;42003 Adradas;;Total;Ocupado/a;2022;38
42 Soria;42003 Adradas;;Total;Ocupado/a;2021;39
42 Soria;42003 Adradas;;Total;Parado/a;2023;1
42 Soria;42003 Adradas;;Total;Parado/a;2022;0
42 Soria;42003 Adradas;;Total;Parado/a;2021;0
42 Soria;42003 Adradas;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;13
42 Soria;42003 Adradas;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;12
42 Soria;42003 Adradas;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;12
42 Soria;42003 Adradas;;Total;Otra situación de inactividad;2023;8
42 Soria;42003 Adradas;;Total;Otra situación de inactividad;2022;9
42 Soria;42003 Adradas;;Total;Otra situación de inactividad;2021;6
42 Soria;42003 Adradas;;Total;Estudiante;2023;4
42 Soria;42003 Adradas;;Total;Estudiante;2022;5
42 Soria;42003 Adradas;;Total;Estudiante;2021;4
42 Soria;42003 Adradas;;Hombres;Total;2023;38
42 Soria;42003 Adradas;;Hombres;Total;2022;38
42 Soria;42003 Adradas;;Hombres;Total;2021;34
42 Soria;42003 Adradas;;Hombres;Ocupado/a;2023;24
42 Soria;42003 Adradas;;Hombres;Ocupado/a;2022;23
42 Soria;42003 Adradas;;Hombres;Ocupado/a;2021;22
42 Soria;42003 Adradas;;Hombres;Parado/a;2023;0
42 Soria;42003 Adradas;;Hombres;Parado/a;2022;0
42 Soria;42003 Adradas;;Hombres;Parado/a;2021;0
42 Soria;42003 Adradas;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;9
