Provincias;Municipios;Secciones;Sexo;Relación con la actividad;Periodo;Total
34 Palencia;34001 Abarca de Campos;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;.
34 Palencia;34001 Abarca de Campos;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;.
34 Palencia;34001 Abarca de Campos;;Hombres;Otra situación de inactividad;2023;.
34 Palencia;34001 Abarca de Campos;;Hombres;Otra situación de inactividad;2022;.
34 Palencia;34001 Abarca de Campos;;Hombres;Otra situación de inactividad;2021;.
34 Palencia;34001 Abarca de Campos;;Hombres;Estudiante;2023;.
34 Palencia;34001 Abarca de Campos;;Hombres;Estudiante;2022;.
34 Palencia;34001 Abarca de Campos;;Hombres;Estudiante;2021;.
34 Palencia;34001 Abarca de Campos;;Mujeres;Total;2023;""
34 Palencia;34001 Abarca de Campos;;Mujeres;Total;2022;""
34 Palencia;34001 Abarca de Campos;;Mujeres;Total;2021;""
34 Palencia;34001 Abarca de Campos;;Mujeres;Ocupado/a;2023;""
34 Palencia;34001 Abarca de Campos;;Mujeres;Ocupado/a;2022;""
34 Palencia;34001 Abarca de Campos;;Mujeres;Ocupado/a;2021;""
34 Palencia;34001 Abarca de Campos;;Mujeres;Parado/a;2023;""
34 Palencia;34001 Abarca de Campos;;Mujeres;Parado/a;2022;""
34 Palencia;34001 Abarca de Campos;;Mujeres;Parado/a;2021;""
34 Palencia;34001 Abarca de Campos;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;.
34 Palencia;34001 Abarca de Campos;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;.
34 Palencia;34001 Abarca de Campos;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;.
34 Palencia;34001 Abarca de Campos;;Mujeres;Otra situación de inactividad;2023;.
34 Palencia;34001 Abarca de Campos;;Mujeres;Otra situación de inactividad;2022;.
34 Palencia;34001 Abarca de Campos;;Mujeres;Otra situación de inactividad;2021;.
34 Palencia;34001 Abarca de Campos;;Mujeres;Estudiante;2023;.
34 Palencia;34001 Abarca de Campos;;Mujeres;Estudiante;2022;.
34 Palencia;34001 Abarca de Campos;;Mujeres;Estudiante;2021;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Total;Total;2023;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Total;Total;2022;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Total;Total;2021;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Total;Ocupado/a;2023;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Total;Ocupado/a;2022;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Total;Ocupado/a;2021;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Total;Parado/a;2023;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Total;Parado/a;2022;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Total;Parado/a;2021;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Total;Otra situación de inactividad;2023;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Total;Otra situación de inactividad;2022;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Total;Otra situación de inactividad;2021;.
34 Palencia;34001 Abarca de Campos;3400101001 Abarca de Campos sección 01001;Total;Estudiante;2023;.
