Municipios;Distritos;Secciones;Indicadores demográficos;Periodo;Total
37001 Abusejo;3700101 Abusejo distrito 01;;Porcentaje de población de 65 y más años;2020;45,5
37001 Abusejo;3700101 Abusejo distrito 01;;Porcentaje de población de 65 y más años;2019;41,6
37001 Abusejo;3700101 Abusejo distrito 01;;Porcentaje de población de 65 y más años;2018;41,6
37001 Abusejo;3700101 Abusejo distrito 01;;Porcentaje de población de 65 y más años;2017;41,8
37001 Abusejo;3700101 Abusejo distrito 01;;Porcentaje de población de 65 y más años;2016;41,9
37001 Abusejo;3700101 Abusejo distrito 01;;Porcentaje de población de 65 y más años;2015;41,9
37001 Abusejo;3700101 Abusejo distrito 01;;Tamaño medio del hogar;2023;2
37001 Abusejo;3700101 Abusejo distrito 01;;Tamaño medio del hogar;2022;2
37001 Abusejo;3700101 Abusejo distrito 01;;Tamaño medio del hogar;2021;2,1
37001 Abusejo;3700101 Abusejo distrito 01;;Tamaño medio del hogar;2020;2,2
37001 Abusejo;3700101 Abusejo distrito 01;;Tamaño medio del hogar;2019;2,2
37001 Abusejo;3700101 Abusejo distrito 01;;Tamaño medio del hogar;2018;2,3
37001 Abusejo;3700101 Abusejo distrito 01;;Tamaño medio del hogar;2017;2,4
37001 Abusejo;3700101 Abusejo distrito 01;;Tamaño medio del hogar;2016;2,4
37001 Abusejo;3700101 Abusejo distrito 01;;Tamaño medio del hogar;2015;2,4
37001 Abusejo;3700101 Abusejo distrito 01;;Porcentaje de hogares unipersonales;2023;40,3
37001 Abusejo;3700101 Abusejo distrito 01;;Porcentaje de hogares unipersonales;2022;40
37001 Abusejo;3700101 Abusejo distrito 01;;Porcentaje de hogares unipersonales;2021;38,7
37001 Abusejo;3700101 Abusejo distrito 01;;Porcentaje de hogares unipersonales;2020;37,3
37001 Abusejo;3700101 Abusejo distrito 01;;Porcentaje de hogares unipersonales;2019;37,2
37001 Abusejo;3700101 Abusejo distrito 01;;Porcentaje de hogares unipersonales;2018;36,3
37001 Abusejo;3700101 Abusejo distrito 01;;Porcentaje de hogares unipersonales;2017;36,6
37001 Abusejo;3700101 Abusejo distrito 01;;Porcentaje de hogares unipersonales;2016;35,3
37001 Abusejo;3700101 Abusejo distrito 01;;Porcentaje de hogares unipersonales;2015;36,5
37001 Abusejo;3700101 Abusejo distrito 01;;Población;2023;142
37001 Abusejo;3700101 Abusejo distrito 01;;Población;2022;150
37001 Abusejo;3700101 Abusejo distrito 01;;Población;2021;161
37001 Abusejo;3700101 Abusejo distrito 01;;Población;2020;167
37001 Abusejo;3700101 Abusejo distrito 01;;Población;2019;175
37001 Abusejo;3700101 Abusejo distrito 01;;Población;2018;183
37001 Abusejo;3700101 Abusejo distrito 01;;Población;2017;194
37001 Abusejo;3700101 Abusejo distrito 01;;Población;2016;203
