Municipios;Distritos;Secciones;Indicadores demográficos;Periodo;Total
42003 Adradas;;;Tamaño medio del hogar;2020;2,6
42003 Adradas;;;Tamaño medio del hogar;2019;.
42003 Adradas;;;Tamaño medio del hogar;2018;.
42003 Adradas;;;Tamaño medio del hogar;2017;.
42003 Adradas;;;Tamaño medio del hogar;2016;.
42003 Adradas;;;Tamaño medio del hogar;2015;.
42003 Adradas;;;Porcentaje de hogares unipersonales;2023;33,3
42003 Adradas;;;Porcentaje de hogares unipersonales;2022;32,1
42003 Adradas;;;Porcentaje de hogares unipersonales;2021;32,1
42003 Adradas;;;Porcentaje de hogares unipersonales;2020;32,0
42003 Adradas;;;Porcentaje de hogares unipersonales;2019;.
42003 Adradas;;;Porcentaje de hogares unipersonales;2018;.
42003 Adradas;;;Porcentaje de hogares unipersonales;2017;.
42003 Adradas;;;Porcentaje de hogares unipersonales;2016;.
42003 Adradas;;;Porcentaje de hogares unipersonales;2015;.
42003 Adradas;;;Población;2023;64
42003 Adradas;;;Población;2022;68
42003 Adradas;;;Población;2021;66
42003 Adradas;;;Población;2020;64
42003 Adradas;;;Población;2019;.
42003 Adradas;;;Población;2018;.
42003 Adradas;;;Población;2017;.
42003 Adradas;;;Población;2016;.
42003 Adradas;;;Población;2015;.
42003 Adradas;;;Porcentaje de población española;2023;98,4
42003 Adradas;;;Porcentaje de población española;2022;97,1
42003 Adradas;;;Porcentaje de población española;2021;96,7
42003 Adradas;;;Porcentaje de población española;2020;98,2
42003 Adradas;;;Porcentaje de población española;2019;.
42003 Adradas;;;Porcentaje de población española;2018;.
42003 Adradas;;;Porcentaje de población española;2017;.
42003 Adradas;;;Porcentaje de población española;2016;.
42003 Adradas;;;Porcentaje de población española;2015;.
42003 Adradas;4200301 Adradas distrito 01;;Edad media de la población;2023;55,6
42003 Adradas;4200301 Adradas distrito 01;;Edad media de la población;2022;54,0
42003 Adradas;4200301 Adradas distrito 01;;Edad media de la población;2021;53,7
42003 Adradas;4200301 Adradas distrito 01;;Edad media de la población;2020;54,0
42003 Adradas;4200301 Adradas distrito 01;;Edad media de la población;2019;.
42003 Adradas;4200301 Adradas distrito 01;;Edad media de la población;2018;.
42003 Adradas;4200301 Adradas distrito 01;;Edad media de la población;2017;.
42003 Adradas;4200301 Adradas distrito 01;;Edad media de la población;2016;.
42003 Adradas;4200301 Adradas distrito 01;;Edad media de la población;2015;.
42003 Adradas;4200301 Adradas distrito 01;;Porcentaje de población menor de 18 años;2023;3,1
42003 Adradas;4200301 Adradas distrito 01;;Porcentaje de población menor de 18 años;2022;5,9
42003 Adradas;4200301 Adradas distrito 01;;Porcentaje de población menor de 18 años;2021;4,6
42003 Adradas;4200301 Adradas distrito 01;;Porcentaje de población menor de 18 años;2020;4,7
42003 Adradas;4200301 Adradas distrito 01;;Porcentaje de población menor de 18 años;2019;.
42003 Adradas;4200301 Adradas distrito 01;;Porcentaje de población menor de 18 años;2018;.
42003 Adradas;4200301 Adradas distrito 01;;Porcentaje de población menor de 18 años;2017;.
42003 Adradas;4200301 Adradas distrito 01;;Porcentaje de población menor de 18 años;2016;.
42003 Adradas;4200301 Adradas distrito 01;;Porcentaje de población menor de 18 años;2015;.
42003 Adradas;4200301 Adradas distrito 01;;Porcentaje de población de 65 y más años;2023;32,8
42003 Adradas;4200301 Adradas distrito 01;;Porcentaje de población de 65 y más años;2022;29,4
42003 Adradas;4200301 Adradas distrito 01;;Porcentaje de población de 65 y más años;2021;28,8
42003 Adradas;4200301 Adradas distrito 01;;Porcentaje de población de 65 y más años;2020;31,3
42003 Adradas;4200301 Adradas distrito 01;;Porcentaje de población de 65 y más años;2019;.
42003 Adradas;4200301 Adradas distrito 01;;Porcentaje de población de 65 y más años;2018;.
42003 Adradas;4200301 Adradas distrito 01;;Porcentaje de población de 65 y más años;2017;.
42003 Adradas;4200301 Adradas distrito 01;;Porcentaje de población de 65 y más años;2016;.
42003 Adradas;4200301 Adradas distrito 01;;Porcentaje de población de 65 y más años;2015;.
42003 Adradas;4200301 Adradas distrito 01;;Tamaño medio del hogar;2023;2,4
42003 Adradas;4200301 Adradas distrito 01;;Tamaño medio del hogar;2022;2,4
42003 Adradas;4200301 Adradas distrito 01;;Tamaño medio del hogar;2021;2,4
42003 Adradas;4200301 Adradas distrito 01;;Tamaño medio del hogar;2020;2,6
42003 Adradas;4200301 Adradas distrito 01;;Tamaño medio del hogar;2019;.
42003 Adradas;4200301 Adradas distrito 01;;Tamaño medio del hogar;2018;.
42003 Adradas;4200301 Adradas distrito 01;;Tamaño medio del hogar;2017;.
42003 Adradas;4200301 Adradas distrito 01;;Tamaño medio del hogar;2016;.
42003 Adradas;4200301 Adradas distrito 01;;Tamaño medio del hogar;2015;.
42003 Adradas;4200301 Adradas distrito 01;;Porcentaje de hogares unipersonales;2023;33,3
42003 Adradas;4200301 Adradas distrito 01;;Porcentaje de hogares unipersonales;2022;32,1
42003 Adradas;4200301 Adradas distrito 01;;Porcentaje de hogares unipersonales;2021;32,1
42003 Adradas;4200301 Adradas distrito 01;;Porcentaje de hogares unipersonales;2020;32,0
42003 Adradas;4200301 Adradas distrito 01;;Porcentaje de hogares unipersonales;2019;.
42003 Adradas;4200301 Adradas distrito 01;;Porcentaje de hogares unipersonales;2018;.
42003 Adradas;4200301 Adradas distrito 01;;Porcentaje de hogares unipersonales;2017;.
42003 Adradas;4200301 Adradas distrito 01;;Porcentaje de hogares unipersonales;2016;.
42003 Adradas;4200301 Adradas distrito 01;;Porcentaje de hogares unipersonales;2015;.
42003 Adradas;4200301 Adradas distrito 01;;Población;2023;64
42003 Adradas;4200301 Adradas distrito 01;;Población;2022;68
42003 Adradas;4200301 Adradas distrito 01;;Población;2021;66
42003 Adradas;4200301 Adradas distrito 01;;Población;2020;64
42003 Adradas;4200301 Adradas distrito 01;;Población;2019;.
42003 Adradas;4200301 Adradas distrito 01;;Población;2018;.
42003 Adradas;4200301 Adradas distrito 01;;Población;2017;.
42003 Adradas;4200301 Adradas distrito 01;;Población;2016;.
42003 Adradas;4200301 Adradas distrito 01;;Población;2015;.
42003 Adradas;4200301 Adradas distrito 01;;Porcentaje de población española;2023;98,4
42003 Adradas;4200301 Adradas distrito 01;;Porcentaje de población española;2022;97,1
42003 Adradas;4200301 Adradas distrito 01;;Porcentaje de población española;2021;96,7
42003 Adradas;4200301 Adradas distrito 01;;Porcentaje de población española;2020;98,2
42003 Adradas;4200301 Adradas distrito 01;;Porcentaje de población española;2019;.
42003 Adradas;4200301 Adradas distrito 01;;Porcentaje de población española;2018;.
42003 Adradas;4200301 Adradas distrito 01;;Porcentaje de población española;2017;.
42003 Adradas;4200301 Adradas distrito 01;;Porcentaje de población española;2016;.
42003 Adradas;4200301 Adradas distrito 01;;Porcentaje de población española;2015;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Edad media de la población;2023;55,6
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Edad media de la población;2022;54,0
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Edad media de la población;2021;53,7
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Edad media de la población;2020;54,0
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Edad media de la población;2019;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Edad media de la población;2018;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Edad media de la población;2017;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Edad media de la población;2016;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Edad media de la población;2015;.
42003 Adradas;4200301 Adradas distrito 01;4200301001 Adradas sección 01001;Porcentaje de población menor de 18 años;2023;3,1
