Municipios;Distritos;Secciones;Indicadores demográficos;Periodo;Total
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Porcentaje de hogares unipersonales;2019;27,3
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Porcentaje de hogares unipersonales;2018;27,2
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Porcentaje de hogares unipersonales;2017;23,7
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Porcentaje de hogares unipersonales;2016;23,4
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Porcentaje de hogares unipersonales;2015;25,9
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Población;2023;837
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Población;2022;843
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Población;2021;825
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Población;2020;818
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Población;2019;837
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Población;2018;835
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Población;2017;847
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Población;2016;864
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Población;2015;865
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Porcentaje de población española;2023;95
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Porcentaje de población española;2022;95,3
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Porcentaje de población española;2021;96,2
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Porcentaje de población española;2020;97,1
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Porcentaje de población española;2019;96,7
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Porcentaje de población española;2018;97,5
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Porcentaje de población española;2017;97,3
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Porcentaje de población española;2016;97,1
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Porcentaje de población española;2015;96,6
40002 Adrada de Pirón;;;Edad media de la población;2023;47,2
40002 Adrada de Pirón;;;Edad media de la población;2022;50,1
40002 Adrada de Pirón;;;Edad media de la población;2021;50,7
40002 Adrada de Pirón;;;Edad media de la población;2020;52,7
40002 Adrada de Pirón;;;Edad media de la población;2019;.
40002 Adrada de Pirón;;;Edad media de la población;2018;.
40002 Adrada de Pirón;;;Edad media de la población;2017;.
40002 Adrada de Pirón;;;Edad media de la población;2016;.
40002 Adrada de Pirón;;;Edad media de la población;2015;.
40002 Adrada de Pirón;;;Porcentaje de población menor de 18 años;2023;12,2
40002 Adrada de Pirón;;;Porcentaje de población menor de 18 años;2022;7,9
40002 Adrada de Pirón;;;Porcentaje de población menor de 18 años;2021;7,9
40002 Adrada de Pirón;;;Porcentaje de población menor de 18 años;2020;5,4
40002 Adrada de Pirón;;;Porcentaje de población menor de 18 años;2019;.
40002 Adrada de Pirón;;;Porcentaje de población menor de 18 años;2018;.
40002 Adrada de Pirón;;;Porcentaje de población menor de 18 años;2017;.
40002 Adrada de Pirón;;;Porcentaje de población menor de 18 años;2016;.
40002 Adrada de Pirón;;;Porcentaje de población menor de 18 años;2015;.
40002 Adrada de Pirón;;;Porcentaje de población de 65 y más años;2023;24,4
40002 Adrada de Pirón;;;Porcentaje de población de 65 y más años;2022;29
40002 Adrada de Pirón;;;Porcentaje de población de 65 y más años;2021;23,7
40002 Adrada de Pirón;;;Porcentaje de población de 65 y más años;2020;29,7
40002 Adrada de Pirón;;;Porcentaje de población de 65 y más años;2019;.
40002 Adrada de Pirón;;;Porcentaje de población de 65 y más años;2018;.
40002 Adrada de Pirón;;;Porcentaje de población de 65 y más años;2017;.
40002 Adrada de Pirón;;;Porcentaje de población de 65 y más años;2016;.
40002 Adrada de Pirón;;;Porcentaje de población de 65 y más años;2015;.
