Municipios;Distritos;Secciones;Índice de Gini y Distribución de la renta P80/P20;Periodo;Total
05002 Adrada, La;;;Distribución de la renta P80/P20;2015;3,6
05002 Adrada, La;0500201 Adrada, La distrito 01;;Índice de Gini;2023;32,2
05002 Adrada, La;0500201 Adrada, La distrito 01;;Índice de Gini;2022;32,2
05002 Adrada, La;0500201 Adrada, La distrito 01;;Índice de Gini;2021;33,9
05002 Adrada, La;0500201 Adrada, La distrito 01;;Índice de Gini;2020;34,8
05002 Adrada, La;0500201 Adrada, La distrito 01;;Índice de Gini;2019;32,5
05002 Adrada, La;0500201 Adrada, La distrito 01;;Índice de Gini;2018;34,8
05002 Adrada, La;0500201 Adrada, La distrito 01;;Índice de Gini;2017;34,6
05002 Adrada, La;0500201 Adrada, La distrito 01;;Índice de Gini;2016;36,1
05002 Adrada, La;0500201 Adrada, La distrito 01;;Índice de Gini;2015;36,3
05002 Adrada, La;0500201 Adrada, La distrito 01;;Distribución de la renta P80/P20;2023;2,6
05002 Adrada, La;0500201 Adrada, La distrito 01;;Distribución de la renta P80/P20;2022;2,7
05002 Adrada, La;0500201 Adrada, La distrito 01;;Distribución de la renta P80/P20;2021;2,8
05002 Adrada, La;0500201 Adrada, La distrito 01;;Distribución de la renta P80/P20;2020;3,1
05002 Adrada, La;0500201 Adrada, La distrito 01;;Distribución de la renta P80/P20;2019;2,8
05002 Adrada, La;0500201 Adrada, La distrito 01;;Distribución de la renta P80/P20;2018;3
05002 Adrada, La;0500201 Adrada, La distrito 01;;Distribución de la renta P80/P20;2017;2,9
05002 Adrada, La;0500201 Adrada, La distrito 01;;Distribución de la renta P80/P20;2016;3,1
05002 Adrada, La;0500201 Adrada, La distrito 01;;Distribución de la renta P80/P20;2015;3,6
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Índice de Gini;2023;30,9
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Índice de Gini;2022;30,9
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Índice de Gini;2021;32,8
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Índice de Gini;2020;33,7
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Índice de Gini;2019;30,4
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Índice de Gini;2018;33,3
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Índice de Gini;2017;32,2
