CUSEC;Periodo;DA;DH;DS;DD;IVST_pond;IVST_pond_grado;Seccion_id;cluster_k2
0500101001;2021;57,668;30,889;42,084;46,116;45,511;Medio-alto;1;1
0500101001;2022;57,656;31,200;38,800;42,812;43,578;Medio-bajo;1;1
0500101001;2023;57,659;31,200;35,693;41,369;42,213;Medio-bajo;1;0
0500201001;2021;56,865;65,463;48,357;40,954;50,829;Alto;2;1
0500201001;2022;56,866;65,463;46,757;40,975;50,356;Alto;2;1
0500201001;2023;56,866;65,463;45,528;40,791;49,932;Alto;2;1
0500201002;2021;52,292;65,457;48,637;40,627;49,671;Alto;3;1
0500201002;2022;52,291;65,457;45,373;39,745;48,427;Alto;3;1
0500201002;2023;52,292;65,457;42,727;39,536;47,571;Medio-alto;3;1
0500501001;2021;51,718;27,595;44,222;50,788;45,572;Medio-alto;4;1
0500501001;2022;51,716;27,595;39,973;50,764;44,289;Medio-alto;4;1
0500501001;2023;51,710;27,307;33,772;51,927;42,733;Medio-bajo;4;1
0500701001;2021;60,038;35,394;50,802;52,584;51,334;Alto;5;1
0500701001;2022;60,058;35,015;46,261;53,676;50,248;Alto;5;1
0500701001;2023;60,066;35,015;52,832;54,795;52,557;Alto;5;1
0500801001;2021;58,520;25,461;47,689;43,729;45,875;Medio-alto;6;1
0500801001;2022;58,520;25,461;43,975;43,829;44,790;Medio-alto;6;1
0500801001;2023;58,525;25,461;41,171;44,371;44,113;Medio-alto;6;1
0501001001;2021;61,176;40,166;48,837;52,600;51,750;Alto;7;1
0501001001;2022;61,174;40,166;48,733;52,038;51,550;Alto;7;1
0501001001;2023;61,176;40,166;47,628;52,218;51,273;Alto;7;1
0501201001;2021;54,273;41,955;48,490;51,204;49,770;Alto;8;1
0501201001;2022;54,259;42,405;47,110;48,618;48,644;Alto;8;1
0501201001;2023;54,254;42,405;47,405;47,764;48,475;Alto;8;1
0501301001;2021;50,242;51,745;50,049;48,478;49,880;Alto;9;1
0501301001;2022;50,242;51,312;46,591;48,833;48,885;Alto;9;1
0501301001;2023;50,241;51,745;44,256;46,411;47,522;Medio-alto;9;1
0501401001;2021;43,450;59,804;48,473;41,278;46,758;Medio-alto;3527;1
0501401001;2022;43,451;59,804;44,787;41,607;45,752;Medio-alto;3527;1
0501401001;2023;43,450;59,804;43,186;42,278;45,472;Medio-alto;3527;1
0501401002;2021;46,170;44,694;56,663;46,293;49,133;Alto;3528;1
0501401002;2022;46,165;44,160;52,290;47,525;48,110;Alto;3528;1
0501401002;2023;46,173;45,147;38,337;45,476;43,459;Medio-bajo;3528;1
0501402001;2021;44,989;44,367;51,118;47,540;47,499;Medio-alto;10;1
0501402001;2022;44,987;44,367;47,066;47,633;46,312;Medio-alto;10;1
0501402001;2023;44,985;44,367;46,295;47,526;46,047;Medio-alto;10;1
0501402002;2021;43,647;63,082;44,911;40,448;45,982;Medio-alto;11;1
0501402002;2022;43,648;63,082;41,670;40,514;45,029;Medio-alto;11;1
0501402002;2023;43,648;63,082;40,495;40,444;44,656;Medio-alto;11;1
0501403001;2021;50,444;51,677;46,074;41,129;46,524;Medio-alto;12;1
0501403001;2022;50,443;51,677;42,433;41,519;45,548;Medio-alto;12;1
0501403001;2023;50,443;51,677;40,254;41,263;44,817;Medio-alto;12;1
0501501001;2021;67,238;38,994;38,337;59,366;51,970;Alto;13;1
0501501001;2022;67,228;38,502;38,337;59,392;51,901;Alto;13;1
0501501001;2023;67,273;38,994;38,337;57,042;51,281;Alto;13;1
0501601001;2021;52,425;39,485;49,614;39,927;45,891;Medio-alto;14;1
0501601001;2022;52,425;39,485;46,034;40,279;44,923;Medio-alto;14;1
0501601001;2023;52,425;39,485;45,324;40,711;44,839;Medio-alto;14;1
0501602001;2021;53,865;56,540;44,362;37,955;46,642;Medio-alto;15;1
0501602001;2022;53,865;56,021;40,913;38,627;45,731;Medio-alto;15;1
0501602001;2023;53,865;56,540;39,538;37,135;44,949;Medio-alto;15;1
0501602002;2021;52,016;64,966;39,155;37,447;45,730;Medio-alto;16;1
0501602002;2022;52,017;64,966;36,436;38,412;45,204;Medio-alto;16;1
0501602002;2023;52,017;64,966;36,109;38,230;45,051;Medio-alto;16;1
0501602003;2021;53,260;61,807;42,084;35,216;45,776;Medio-alto;17;1
0501602003;2022;53,260;61,807;38,777;35,526;44,877;Medio-alto;17;1
0501602003;2023;53,260;61,807;37,834;36,051;44,752;Medio-alto;17;1
0501602004;2021;53,454;56,557;36,155;33,940;42,875;Medio-bajo;18;1
0501602004;2022;53,454;56,557;35,502;33,909;42,670;Medio-bajo;18;1
0501602004;2023;53,455;56,065;33,452;35,168;42,359;Medio-bajo;18;1
0501602005;2021;52,196;52,651;36,859;32,860;41,862;Medio-bajo;19;0
0501602005;2022;52,196;52,651;34,427;33,521;41,331;Medio-bajo;19;0
0501602005;2023;52,197;52,265;31,065;34,693;40,616;Medio-bajo;19;0
0501701001;2021;50,538;21,905;38,337;56,496;44,371;Medio-alto;20;1
0501701001;2022;50,553;22,201;38,337;57,674;44,772;Medio-alto;20;1
0501701001;2023;50,592;21,905;38,337;59,491;45,282;Medio-alto;20;1
0501801001;2021;64,357;32,043;38,337;59,193;50,155;Alto;21;1
0501801001;2022;64,357;31,535;38,337;59,827;50,269;Alto;21;1
0501801001;2023;64,466;31,535;38,337;57,364;49,557;Alto;21;1
0501901001;2021;28,465;43,523;36,530;43,002;37,504;Bajo;22;0
0501901001;2022;28,465;43,523;33,013;42,677;36,352;Bajo;22;0
0501901001;2023;28,465;43,523;31,801;42,242;35,858;Bajo;22;0
0501901002;2021;38,711;48,172;35,499;43,851;40,709;Medio-bajo;23;0
0501901002;2022;38,712;48,172;33,755;43,040;39,942;Medio-bajo;23;0
0501901002;2023;38,711;48,172;33,554;42,687;39,776;Medio-bajo;23;0
0501902001;2021;26,919;54,596;25,154;46,632;36,455;Bajo;24;0
0501902001;2022;26,919;54,596;23,466;46,054;35,775;Bajo;24;0
0501902001;2023;26,916;54,596;21,325;46,234;35,186;Bajo;24;0
0501902002;2021;25,925;62,670;28,953;47,076;38,690;Medio-bajo;25;0
0501902002;2022;25,926;63,226;26,870;45,485;37,672;Bajo;25;0
0501902002;2023;25,927;62,670;24,335;46,199;37,043;Bajo;25;0
0501903001;2021;28,615;53,435;28,040;39,088;35,307;Bajo;26;0
0501903001;2022;28,615;53,435;25,355;38,852;34,431;Bajo;26;0
0501903001;2023;28,617;53,435;24,123;39,185;34,162;Bajo;26;0
0501903002;2021;33,977;51,161;22,229;34,136;33,078;Bajo;27;0
0501903002;2022;33,978;51,161;20,405;34,186;32,546;Bajo;27;0
0501903002;2023;33,978;51,161;18,463;34,761;32,136;Bajo;27;0
0501904001;2021;39,442;53,443;39,817;42,055;42,439;Medio-bajo;28;1
0501904001;2022;39,442;53,443;37,389;41,430;41,523;Medio-bajo;28;0
0501904001;2023;39,442;53,443;36,135;41,279;41,101;Medio-bajo;28;0
0501904002;2021;27,000;57,616;39,773;39,647;39,218;Medio-bajo;29;0
0501904002;2022;27,001;57,616;36,860;39,248;38,225;Bajo;29;0
0501904002;2023;27,000;57,008;34,997;40,819;38,046;Bajo;29;0
0501904003;2021;28,049;70,631;43,211;37,496;41,819;Medio-bajo;30;0
0501904003;2022;28,049;70,631;40,244;37,777;41,013;Medio-bajo;30;0
0501904003;2023;28,051;70,631;39,869;38,590;41,145;Medio-bajo;30;0
0501904004;2021;27,580;67,233;51,288;39,905;44,338;Medio-alto;31;1
0501904004;2022;27,578;67,995;47,935;38,339;42,976;Medio-bajo;31;1
0501904004;2023;27,576;67,233;46,179;39,219;42,599;Medio-bajo;31;1
0501904005;2021;26,689;74,907;58,281;37,889;46,759;Medio-alto;32;1
0501904005;2022;26,690;75,685;55,386;35,790;45,378;Medio-alto;32;1
0501904005;2023;26,689;76,463;55,365;34,089;44,978;Medio-alto;32;1
0501904006;2021;26,816;63,611;47,442;40,480;42,622;Medio-bajo;33;1
0501904006;2022;26,818;64,313;44,379;38,830;41,314;Medio-bajo;33;0
0501904006;2023;26,819;64,313;44,700;39,241;41,534;Medio-bajo;33;0
0501904008;2021;27,054;63,778;34,055;33,862;36,705;Bajo;34;0
0501904008;2022;27,053;63,778;31,366;34,144;35,983;Bajo;34;0
0501904008;2023;27,053;63,275;30,107;35,767;36,017;Bajo;34;0
0501904009;2021;27,895;71,651;37,931;34,251;39,376;Medio-bajo;35;0
0501904009;2022;27,895;71,651;34,925;35,031;38,708;Medio-bajo;35;0
0501904009;2023;27,897;71,651;33,745;35,602;38,526;Medio-bajo;35;0
0501904010;2021;26,573;72,277;34,803;35,967;38,716;Medio-bajo;36;0
0501904010;2022;26,575;72,277;31,549;36,382;37,865;Bajo;36;0
0501904010;2023;26,577;71,583;29,419;38,195;37,666;Bajo;36;0
0501904011;2021;27,040;76,549;42,347;34,170;41,197;Medio-bajo;37;0
0501904011;2022;27,040;76,549;38,559;34,138;40,051;Medio-bajo;37;0
0501904011;2023;27,040;76,549;37,933;34,890;40,089;Medio-bajo;37;0
0501904012;2021;32,191;67,847;33,046;32,651;37,934;Bajo;38;0
0501904012;2022;32,189;67,847;30,902;32,476;37,237;Bajo;38;0
0501904012;2023;32,188;67,847;29,812;32,820;37,013;Bajo;38;0
0501904013;2021;38,535;60,145;30,502;35,177;38,359;Bajo;39;0
0501904013;2022;38,535;61,044;28,251;32,791;37,103;Bajo;39;0
0501904013;2023;38,536;60,595;26,719;34,522;37,095;Bajo;39;0
0501904014;2021;35,964;74,189;36,709;35,680;41,836;Medio-bajo;40;0
0501904014;2022;35,965;74,189;34,820;34,741;40,988;Medio-bajo;40;0
0501904014;2023;35,964;74,189;33,413;34,930;40,622;Medio-bajo;40;0
0501905001;2021;26,528;65,755;40,168;41,775;41,078;Medio-bajo;41;0
0501905001;2022;26,529;65,755;38,509;41,404;40,470;Medio-bajo;41;0
0501905001;2023;26,528;65,755;38,050;41,100;40,240;Medio-bajo;41;0
0501905002;2021;26,972;61,572;33,617;40,820;38,310;Bajo;42;0
0501905002;2022;26,973;61,572;30,897;40,373;37,360;Bajo;42;0
0501905002;2023;26,972;61,572;29,535;40,447;36,974;Bajo;42;0
0501905003;2021;25,844;60,527;34,099;40,962;38,058;Bajo;43;0
0501905003;2022;25,846;60,527;32,318;40,346;37,340;Bajo;43;0
0501905003;2023;25,843;59,878;30,958;41,939;37,311;Bajo;43;0
0501905004;2021;27,190;69,174;38,664;36,755;39,799;Medio-bajo;44;0
0501905004;2022;27,189;69,174;36,833;35,866;38,983;Medio-bajo;44;0
0501905004;2023;27,188;69,174;36,635;36,184;39,019;Medio-bajo;44;0
0501905005;2021;26,094;65,621;41,365;39,537;40,637;Medio-bajo;45;0
0501905005;2022;26,095;66,268;38,407;38,652;39,582;Medio-bajo;45;0
0501905005;2023;26,095;65,621;36,726;39,525;39,242;Medio-bajo;45;0
0501905006;2021;30,580;81,556;32,715;36,717;40,708;Medio-bajo;46;0
0501905006;2022;30,580;82,231;30,122;35,361;39,625;Medio-bajo;46;0
0501905006;2023;30,579;81,556;29,585;36,632;39,743;Medio-bajo;46;0
0501906001;2021;26,745;57,548;25,828;44,976;36,559;Bajo;47;0
0501906001;2022;26,742;57,548;25,545;44,516;36,336;Bajo;47;0
0501906001;2023;26,742;57,548;23,422;45,266;35,924;Bajo;47;0
0501906002;2021;27,004;69,244;40,564;43,078;42,230;Medio-bajo;48;0
0501906002;2022;27,003;69,244;38,663;42,227;41,405;Medio-bajo;48;0
0501906002;2023;27,002;69,244;37,423;41,612;40,848;Medio-bajo;48;0
0501906003;2021;33,107;63,149;23,604;29,386;33,646;Bajo;49;0
0501906003;2022;33,105;63,514;21,167;27,972;32,545;Bajo;49;0
0501906003;2023;33,105;63,149;19,275;29,470;32,372;Bajo;49;0
0501906004;2021;27,759;65,351;52,788;38,690;44,186;Medio-alto;50;1
0501906004;2022;27,752;65,351;48,408;36,775;42,296;Medio-bajo;50;1
0501906004;2023;27,748;66,181;47,122;34,480;41,345;Medio-bajo;50;0
0501906005;2021;28,076;67,236;49,812;41,558;44,516;Medio-alto;51;1
0501906005;2022;28,076;67,236;48,209;41,415;43,991;Medio-alto;51;1
0501906005;2023;28,077;67,236;47,407;40,397;43,446;Medio-bajo;51;1
0501906006;2021;28,264;64,842;48,838;41,267;43,824;Medio-alto;3497;1
0501906006;2022;28,157;64,842;45,187;41,011;42,625;Medio-bajo;3497;1
0501906006;2023;28,156;64,842;43,881;40,142;41,972;Medio-bajo;3497;0
0501906008;2021;29,054;63,031;40,739;42,893;41,807;Medio-bajo;52;0
0501906008;2022;29,054;63,031;39,584;42,458;41,331;Medio-bajo;52;0
0501906008;2023;29,054;63,031;38,336;41,601;40,699;Medio-bajo;52;0
0501906009;2021;26,939;55,406;25,128;47,990;36,981;Bajo;53;0
0501906009;2022;26,941;55,961;22,149;46,687;35,780;Bajo;53;0
0501906009;2023;26,937;55,961;21,297;46,771;35,549;Bajo;53;0
0501906010;2021;28,186;65,309;33,241;42,948;39,699;Medio-bajo;54;0
0501906010;2022;28,184;64,734;30,778;44,717;39,405;Medio-bajo;54;0
0501906010;2023;28,186;64,734;29,658;45,076;39,177;Medio-bajo;54;0
0501906011;2021;48,324;39,175;16,494;31,738;32,427;Bajo;55;0
0501906011;2022;48,322;39,446;12,128;31,095;30,964;Bajo;55;0
0501906011;2023;48,321;39,446;10,741;31,161;30,568;Bajo;55;0
0501906012;2021;30,002;65,232;27,964;31,902;35,245;Bajo;56;0
0501906012;2022;30,002;65,636;25,303;30,716;34,152;Bajo;56;0
0501906012;2023;30,003;65,232;24,365;32,049;34,210;Bajo;56;0
0501906013;2021;36,914;63,855;27,940;35,114;37,723;Bajo;57;0
0501906013;2022;36,913;63,855;25,159;34,900;36,824;Bajo;57;0
0501906013;2023;36,912;63,366;23,184;35,861;36,446;Bajo;57;0
0501906014;2021;29,868;57,080;21,978;35,847;33,376;Bajo;58;0
0501906014;2022;29,868;57,080;19,463;36,384;32,783;Bajo;58;0
0501906014;2023;29,870;56,691;18,342;37,846;32,828;Bajo;58;0
0502101001;2021;50,962;47,648;41,213;42,917;45,127;Medio-alto;59;1
0502101001;2022;50,963;47,648;37,914;42,201;43,922;Medio-alto;59;1
0502101001;2023;50,962;47,184;36,050;43,373;43,645;Medio-bajo;59;1
0502101002;2021;50,340;56,224;41,890;43,371;46,597;Medio-alto;60;1
0502101002;2022;50,341;56,224;40,099;44,061;46,267;Medio-alto;60;1
0502101002;2023;50,341;56,224;40,455;43,579;46,229;Medio-alto;60;1
0502201001;2021;51,179;52,704;43,734;39,641;45,713;Medio-alto;61;1
0502201001;2022;51,179;52,704;40,656;39,162;44,646;Medio-alto;61;1
0502201001;2023;51,178;52,704;39,386;39,205;44,278;Medio-alto;61;1
0502201002;2021;49,270;55,067;47,671;44,071;48,100;Alto;62;1
0502201002;2022;49,271;55,067;46,282;42,975;47,355;Medio-alto;62;1
0502201002;2023;49,269;55,067;45,563;43,236;47,217;Medio-alto;62;1
0502301001;2021;59,320;27,727;40,293;45,765;44,806;Medio-alto;63;1
0502301001;2022;59,328;27,727;40,278;46,006;44,876;Medio-alto;63;1
0502301001;2023;59,327;27,727;35,764;45,950;43,505;Medio-bajo;63;1
0502401001;2021;55,614;38,852;48,385;65,347;53,851;Alto;64;1
0502401001;2022;55,621;38,852;47,441;63,421;52,992;Alto;64;1
0502401001;2023;55,631;38,433;46,670;67,094;53,802;Alto;64;1
0502501001;2021;64,979;40,354;38,337;53,207;49,761;Alto;65;1
0502501001;2022;64,975;39,914;38,337;56,268;50,612;Alto;65;1
0502501001;2023;65,009;40,354;38,337;56,321;50,703;Alto;65;1
0502601001;2021;58,689;25,252;44,536;53,640;47,913;Alto;66;1
0502601001;2022;58,691;24,920;41,844;54,019;47,169;Medio-alto;66;1
0502601001;2023;58,706;24,588;37,713;55,958;46,466;Medio-alto;66;1
0502701001;2021;51,515;26,347;38,180;40,447;40,419;Medio-bajo;67;0
0502701001;2022;51,514;26,041;35,502;42,668;40,236;Medio-bajo;67;0
0502701001;2023;51,518;25,735;32,943;43,905;39,794;Medio-bajo;67;0
0502901001;2021;60,795;20,044;38,337;60,563;47,876;Alto;68;1
0502901001;2022;60,792;20,044;38,337;59,972;47,697;Medio-alto;68;1
0502901001;2023;60,806;20,044;38,337;61,231;48,079;Alto;68;1
0503001001;2021;43,961;34,154;38,337;47,832;41,964;Medio-bajo;69;0
0503001001;2022;43,875;33,029;38,337;52,911;43,298;Medio-bajo;69;1
0503001001;2023;43,938;33,404;38,337;51,765;43,026;Medio-bajo;69;1
0503301001;2021;64,678;25,529;45,584;51,328;49,072;Alto;70;1
0503301001;2022;64,685;25,529;43,733;51,638;48,612;Alto;70;1
0503301001;2023;64,691;25,219;41,746;54,579;48,853;Alto;70;1
0503401001;2021;57,097;31,580;38,337;69,167;51,263;Alto;71;1
0503401001;2022;57,308;31,969;38,337;71,407;52,046;Alto;71;1
0503401001;2023;57,097;32,357;38,337;69,168;51,379;Alto;71;1
0503501001;2021;56,347;35,192;38,337;48,586;45,443;Medio-alto;72;1
0503501001;2022;56,353;35,910;36,222;44,330;43,640;Medio-bajo;72;1
0503501001;2023;56,333;35,192;38,337;48,495;45,412;Medio-alto;72;1
0503601001;2021;59,319;34,477;44,030;55,163;49,759;Alto;73;1
0503601001;2022;59,332;34,192;41,945;56,128;49,384;Alto;73;1
0503601001;2023;59,343;34,192;38,552;56,023;48,337;Alto;73;1
0503701001;2021;64,640;49,100;60,377;57,193;58,796;Alto;74;1
0503701001;2022;64,641;49,100;57,131;57,839;58,016;Alto;74;1
0503701001;2023;64,648;49,100;58,440;56,930;58,138;Alto;74;1
0503801001;2021;66,054;38,271;47,213;55,832;53,167;Alto;75;1
0503801001;2022;66,063;39,134;45,318;51,408;51,404;Alto;75;1
0503801001;2023;66,012;39,134;44,730;50,210;50,855;Alto;75;1
0503901001;2021;53,705;30,964;38,337;51,716;45,087;Medio-alto;76;1
0503901001;2022;53,726;30,599;38,337;53,767;45,653;Medio-alto;76;1
0503901001;2023;53,773;30,599;38,337;52,455;45,271;Medio-alto;76;1
0504001001;2021;49,726;20,621;38,337;66,755;47,052;Medio-alto;77;1
0504001001;2022;49,765;20,621;38,337;65,393;46,654;Medio-alto;77;1
0504001001;2023;49,787;20,960;38,337;65,208;46,655;Medio-alto;77;1
0504101001;2021;48,341;56,697;51,585;47,375;50,278;Alto;78;1
0504101001;2022;48,342;57,168;46,544;45,661;48,322;Alto;78;1
0504101001;2023;48,340;57,168;45,918;44,734;47,856;Medio-alto;78;1
0504201001;2021;61,568;30,441;41,337;48,959;47,047;Medio-alto;79;1
0504201001;2022;61,571;30,441;37,413;48,575;45,755;Medio-alto;79;1
0504201001;2023;61,570;30,441;34,770;49,028;45,098;Medio-alto;79;1
0504301001;2021;60,953;20,315;38,337;65,253;49,363;Alto;80;1
0504301001;2022;60,881;20,595;38,337;59,053;47,526;Medio-alto;80;1
0504301001;2023;60,830;20,315;38,337;60,047;47,770;Medio-alto;80;1
0504401001;2021;70,104;38,968;48,011;54,795;54,213;Alto;81;1
0504401001;2022;70,108;38,590;50,016;56,246;55,194;Alto;81;1
0504401001;2023;70,112;38,590;45,261;57,131;54,034;Alto;81;1
0504501001;2021;60,378;28,642;38,337;51,595;46,371;Medio-alto;82;1
0504501001;2022;60,355;28,941;38,337;49,922;45,908;Medio-alto;82;1
0504501001;2023;60,330;28,941;38,337;49,416;45,750;Medio-alto;82;1
0504601001;2021;62,724;20,942;38,337;37,231;41,493;Medio-bajo;83;0
0504601001;2022;62,764;21,839;38,337;31,511;39,921;Medio-bajo;83;0
0504601001;2023;62,785;20,718;38,337;38,651;41,901;Medio-bajo;83;0
0504701001;2021;54,636;49,984;52,608;42,357;49,646;Alto;84;1
0504701001;2022;54,637;49,449;48,308;43,560;48,637;Alto;84;1
0504701001;2023;54,637;49,449;44,966;43,880;47,730;Medio-alto;84;1
0504703001;2021;52,611;51,161;49,233;39,781;47,531;Medio-alto;85;1
0504703001;2022;52,611;51,161;44,912;39,993;46,298;Medio-alto;85;1
0504703001;2023;52,611;50,679;44,563;41,643;46,616;Medio-alto;85;1
0504703002;2021;58,563;62,479;49,316;41,202;51,168;Alto;86;1
0504703002;2022;58,563;61,986;45,547;41,977;50,196;Alto;86;1
0504703002;2023;58,563;61,986;43,635;42,193;49,687;Alto;86;1
0504703003;2021;56,210;51,498;50,522;44,277;50,217;Alto;87;1
0504703003;2022;56,211;50,945;45,098;46,179;49,078;Alto;87;1
0504703003;2023;56,229;52,133;38,337;45,476;47,021;Medio-alto;87;1
0504801001;2021;59,389;27,155;38,337;59,926;48,399;Alto;88;1
0504801001;2022;59,401;27,155;38,337;63,324;49,422;Alto;88;1
0504801001;2023;59,405;27,155;38,337;58,800;48,066;Alto;88;1
0504901001;2021;42,627;33,721;39,178;47,634;41,758;Medio-bajo;89;0
0504901001;2022;42,627;33,721;36,193;47,798;40,912;Medio-bajo;89;0
0504901001;2023;42,628;33,721;33,295;47,237;39,875;Medio-bajo;89;0
0505101001;2021;52,953;39,501;41,018;55,112;48,002;Alto;90;1
0505101001;2022;52,960;39,501;41,860;53,749;47,848;Medio-alto;90;1
0505101001;2023;52,954;39,501;38,369;53,585;46,750;Medio-alto;90;1
0505201001;2021;66,995;29,910;38,337;65,746;52,460;Alto;91;1
0505201001;2022;67,004;29,910;38,337;65,744;52,462;Alto;91;1
0505201001;2023;66,989;29,910;38,337;70,610;53,918;Alto;91;1
0505301001;2021;46,342;32,125;38,337;75,416;50,531;Alto;92;1
0505301001;2022;46,354;32,125;38,337;73,314;49,903;Alto;92;1
0505301001;2023;46,354;31,511;38,337;71,636;49,307;Alto;92;1
0505401001;2021;53,719;62,722;52,667;45,047;52,152;Alto;93;1
0505401001;2022;53,719;62,224;48,301;45,598;50,933;Alto;93;1
0505401001;2023;53,719;62,224;46,717;45,992;50,576;Alto;93;1
0505501001;2021;54,698;53,053;55,052;49,513;53,002;Alto;94;1
0505501001;2022;54,698;53,053;51,117;49,125;51,705;Alto;94;1
0505501001;2023;54,696;53,053;49,766;48,516;51,117;Alto;94;1
0505601001;2021;59,894;30,220;38,337;45,966;44,798;Medio-alto;95;1
0505601001;2022;59,908;31,392;30,136;41,017;41,032;Medio-bajo;95;0
0505601001;2023;59,789;31,099;25,267;40,613;39,376;Medio-bajo;95;0
0505701001;2021;47,899;44,120;52,444;42,286;47,012;Medio-alto;96;1
0505701001;2022;47,900;44,120;50,108;42,443;46,358;Medio-alto;96;1
0505701001;2023;47,902;43,653;48,945;44,257;46,484;Medio-alto;96;1
0505702001;2021;47,951;44,735;55,806;45,707;49,152;Alto;97;1
0505702001;2022;47,953;44,735;52,255;45,083;47,900;Alto;97;1
0505702001;2023;47,966;45,657;38,337;45,476;43,984;Medio-alto;97;1
0505702002;2021;49,112;53,007;45,542;36,865;44,951;Medio-alto;98;1
0505702002;2022;49,112;53,007;45,205;35,869;44,551;Medio-alto;98;1
0505702002;2023;49,111;53,007;45,050;35,575;44,416;Medio-alto;98;1
0505801001;2021;61,756;36,325;38,337;54,311;48,682;Alto;99;1
0505801001;2022;61,732;36,325;38,337;53,367;48,393;Alto;99;1
0505801001;2023;61,775;35,850;38,337;57,128;49,461;Alto;99;1
0505901001;2021;53,265;22,950;38,337;61,086;46,586;Medio-alto;100;1
0505901001;2022;53,345;22,950;38,337;60,740;46,502;Medio-alto;100;1
0505901001;2023;53,391;22,950;38,337;56,013;45,096;Medio-alto;100;1
0506001001;2021;61,979;24,381;39,064;55,242;47,444;Medio-alto;101;1
0506001001;2022;61,982;24,113;36,402;49,170;44,784;Medio-alto;101;1
0506001001;2023;61,989;24,381;34,478;48,016;43,902;Medio-alto;101;1
0506101001;2021;38,269;43,827;38,351;35,093;38,175;Bajo;102;0
0506101001;2022;38,263;43,433;36,404;36,428;37,930;Bajo;102;0
0506101001;2023;38,259;43,433;32,708;36,496;36,841;Bajo;102;0
0506201001;2021;54,832;23,401;37,266;56,360;45,306;Medio-alto;103;1
0506201001;2022;54,846;23,668;33,587;56,904;44,409;Medio-alto;103;1
0506201001;2023;54,854;23,668;29,326;55,646;42,755;Medio-bajo;103;1
0506301001;2021;64,263;34,199;38,337;71,385;54,112;Alto;104;1
0506301001;2022;64,308;33,735;38,337;71,932;54,218;Alto;104;1
0506301001;2023;64,388;33,272;38,337;76,782;55,624;Alto;104;1
0506401001;2021;58,607;21,982;42,624;55,920;47,512;Medio-alto;105;1
0506401001;2022;58,625;21,982;38,337;58,772;47,087;Medio-alto;105;1
0506401001;2023;58,636;21,982;38,337;58,351;46,963;Medio-alto;105;1
0506501001;2021;54,104;29,753;37,733;44,177;42,562;Medio-bajo;106;1
0506501001;2022;54,106;29,481;34,254;45,519;41,881;Medio-bajo;106;0
0506501001;2023;54,108;29,481;32,250;45,464;41,263;Medio-bajo;106;0
0506601001;2021;53,276;50,183;46,485;47,270;48,973;Alto;107;1
0506601001;2022;53,274;49,730;43,088;48,102;48,135;Alto;107;1
0506601001;2023;53,275;49,730;39,975;48,139;47,213;Medio-alto;107;1
0506701001;2021;55,069;38,345;38,337;52,816;46,865;Medio-alto;108;1
0506701001;2022;55,109;38,759;38,337;50,605;46,274;Medio-alto;108;1
0506701001;2023;55,099;38,759;38,337;49,328;45,888;Medio-alto;108;1
0506901001;2021;63,586;29,239;38,337;51,466;47,223;Medio-alto;109;1
0506901001;2022;63,603;29,719;38,337;46,626;45,848;Medio-alto;109;1
0506901001;2023;63,571;29,000;38,337;51,916;47,319;Medio-alto;109;1
0507001001;2021;58,668;18,617;38,337;59,460;46,799;Medio-alto;110;1
0507001001;2022;58,668;18,335;38,337;55,358;45,526;Medio-alto;110;1
0507001001;2023;58,631;19,180;38,337;48,248;43,511;Medio-bajo;110;1
0507201001;2021;55,627;26,063;38,337;38,821;40,964;Medio-bajo;111;0
0507201001;2022;55,639;25,540;38,337;41,271;41,623;Medio-bajo;111;0
0507201001;2023;55,649;25,540;38,337;40,582;41,419;Medio-bajo;111;0
0507301001;2021;65,072;22,694;42,183;49,498;47,176;Medio-alto;112;1
0507301001;2022;65,074;22,403;40,623;52,032;47,425;Medio-alto;112;1
0507301001;2023;65,078;22,403;33,856;52,947;45,671;Medio-alto;112;1
0507401001;2021;55,096;34,864;38,982;45,502;44,349;Medio-alto;113;1
0507401001;2022;55,097;34,456;38,589;47,161;44,668;Medio-alto;113;1
0507401001;2023;55,098;34,456;36,261;46,281;43,706;Medio-bajo;113;1
0507501001;2021;60,689;39,333;38,337;57,549;49,838;Alto;114;1
0507501001;2022;60,699;39,333;38,337;58,267;50,056;Alto;114;1
0507501001;2023;60,695;39,333;38,337;56,934;49,655;Alto;114;1
0507601001;2021;38,956;42,831;38,382;37,439;38,910;Medio-bajo;115;0
0507601001;2022;38,955;42,831;35,785;37,511;38,152;Bajo;115;0
0507601001;2023;38,955;42,831;35,160;37,092;37,839;Bajo;115;0
0507701001;2021;61,945;25,076;48,208;48,397;48,229;Alto;116;1
0507701001;2022;61,943;24,776;47,348;48,589;47,983;Alto;116;1
0507701001;2023;61,945;24,476;44,648;50,229;47,621;Medio-alto;116;1
0507801001;2021;61,958;19,040;38,337;64,894;49,315;Alto;117;1
0507801001;2022;61,967;19,040;38,337;56,437;46,780;Medio-alto;117;1
0507801001;2023;61,991;19,040;38,337;66,240;49,727;Alto;117;1
0507901001;2021;54,607;33,962;38,337;59,926;48,225;Alto;118;1
0507901001;2022;54,669;33,962;38,337;59,123;48,000;Alto;118;1
0507901001;2023;54,682;33,962;38,337;60,505;48,418;Alto;118;1
0508001001;2021;64,887;28,671;38,337;65,703;51,734;Alto;119;1
0508001001;2022;64,733;28,671;38,337;60,638;50,177;Alto;119;1
