Provincia;CMuni;Periodo;100_y_más_años;De_0_a_4_años;De_5_a_9_años;De_10_a_14_años;De_15_a_19_años;De_20_a_24_años;De_25_a_29_años;De_30_a_34_años;De_35_a_39_años;De_40_a_44_años;De_45_a_49_años;De_50_a_54_años;De_55_a_59_años;De_60_a_64_años;De_65_a_69_años;De_70_a_74_años;De_75_a_79_años;De_80_a_84_años;De_85_a_89_años;De_90_a_94_años;De_95_a_99_años;poblacion__menor_16;poblacion_16_64;poblacion_mayor_65;Indice_Envejecimiento;Tasa_Dependencia
Avila;05001;2021;0;1;3;2;11;7;7;9;12;17;21;14;12;14;14;11;21;7;6;7;0;8;122;66;8,250;0,607
Avila;05001;2022;0;0;3;3;10;12;10;11;13;15;19;26;13;12;20;12;20;8;5;4;0;8;139;69;8,625;0,554
Avila;05001;2023;0;3;6;4;9;11;12;9;10;16;20;21;15;10;21;13;17;4;7;2;1;15;131;65;4,333;0,611
Avila;05002;2021;2;119;128;145;132;127;112;114;183;258;236;216;214;209;175;148;84;69;53;25;3;418;1775;559;1,337;0,550
Avila;05002;2022;2;100;134;147;125;137;105;121;161;241;248;226;204;217;190;151;87;63;59;25;5;406;1760;582;1,433;0,561
Avila;05002;2023;1;97;137;143;133;142;110;123;154;237;253;217;208;208;182;156;93;61;51;29;4;403;1759;577;1,432;0,557
Avila;05005;2021;0;1;5;3;8;5;6;15;9;7;12;18;13;19;5;9;11;8;11;3;3;11;110;50;4,545;0,555
Avila;05005;2022;0;1;6;1;8;7;5;13;10;6;9;22;10;22;7;7;13;7;12;3;3;10;110;52;5,200;0,564
Avila;05005;2023;1;1;5;3;5;10;3;14;10;9;9;18;12;22;10;4;13;7;13;3;3;10;111;54;5,400;0,577
Avila;05007;2021;1;0;2;3;2;6;5;3;2;3;10;13;7;4;5;8;17;10;8;5;0;5;55;54;10,800;1,073
Avila;05007;2022;1;0;1;2;3;5;6;1;4;3;7;14;8;4;3;7;13;11;6;5;1;4;54;47;11,750;0,944
Avila;05007;2023;1;0;1;2;2;4;3;3;3;3;7;13;9;5;1;5;15;11;8;4;2;3;52;47;15,667;0,962
Avila;05008;2021;0;7;4;9;8;5;11;14;10;16;9;11;13;18;21;27;12;7;11;5;0;22;113;83;3,773;0,929
Avila;05008;2022;0;6;7;8;9;4;10;13;9;18;9;9;16;15;21;24;16;7;10;6;0;23;110;84;3,652;0,973
Avila;05008;2023;0;5;8;7;11;3;8;12;9;15;13;8;13;13;23;22;18;7;9;5;1;22;103;85;3,864;1,039
Avila;05010;2021;0;0;4;2;6;2;9;4;6;8;12;20;10;10;5;5;14;21;6;5;1;7;86;57;8,143;0,744
Avila;05010;2022;0;0;1;8;5;3;8;3;5;7;16;19;10;9;6;4;13;18;10;4;2;10;84;57;5,700;0,798
Avila;05010;2023;1;0;1;7;6;3;6;5;4;8;11;19;14;8;7;6;10;16;11;5;2;9;83;58;6,444;0,807
Avila;05012;2021;0;2;2;5;3;4;5;5;4;9;7;2;14;9;8;16;12;4;8;6;2;10;61;56;5,600;1,082
Avila;05012;2022;0;3;1;5;5;5;4;8;5;7;9;3;11;11;8;16;14;5;6;5;2;10;67;56;5,600;0,985
Avila;05012;2023;0;3;3;4;8;4;4;6;7;5;12;2;12;13;10;15;12;5;4;4;2;12;71;52;4,333;0,901
Avila;05013;2021;2;20;25;27;29;36;28;40;39;50;73;60;92;68;61;78;84;51;44;31;4;78;509;355;4,551;0,851
Avila;05013;2022;4;16;27;22;32;36;32;40;32;51;64;62;100;68;67;75;84;52;45;31;5;71;511;363;5,113;0,849
Avila;05013;2023;3;11;33;21;35;37;30;33;37;59;72;74;93;84;64;63;89;56;45;23;9;72;547;352;4,889;0,775
Avila;05014;2021;3;174;256;289;278;299;279;275;364;448;456;497;606;508;441;379;286;244;225;99;25;775;3954;1702;2,196;0,626
Avila;05014;2022;3;193;237;291;288;283;263;282;349;455;451;495;604;524;475;374;314;228;228;109;31;778;3937;1762;2,265;0,645
Avila;05014;2023;2;197;227;296;288;259;247;286;323;460;469;495;559;586;475;382;340;226;214;128;27;777;3915;1794;2,309;0,657
Avila;05015;2021;0;2;0;1;2;2;5;2;1;1;6;2;8;8;1;1;2;9;6;8;0;3;37;27;9,000;0,811
Avila;05015;2022;0;2;0;1;2;0;7;4;1;1;4;4;8;8;1;1;2;6;9;8;0;3;39;27;9,000;0,769
Avila;05015;2023;0;0;2;1;2;0;5;3;2;2;4;3;6;10;1;1;2;4;8;4;1;3;37;21;7,000;0,649
Avila;05016;2021;2;273;383;394;446;457;365;404;446;613;656;662;658;564;425;367;296;225;167;75;18;1139;5182;1575;1,383;0,524
Avila;05016;2022;1;253;354;414;433;472;384;369;454;571;656;653;665;591;425;372;315;228;162;79;23;1108;5161;1605;1,449;0,526
Avila;05016;2023;1;257;341;424;396;470;369;361;424;536;633;641;662;598;459;378;313;236;168;80;21;1102;5010;1656;1,503;0,550
Avila;05017;2021;1;0;0;0;0;2;6;3;2;5;6;8;9;9;5;5;6;4;8;3;0;0;50;32;inf;0,640
Avila;05017;2022;0;1;0;0;0;1;6;3;2;5;4;8;9;10;4;6;5;6;4;5;1;1;48;31;31,000;0,667
Avila;05017;2023;0;1;0;0;0;0;5;5;1;4;5;6;10;11;4;4;4;4;4;5;2;1;47;27;27,000;0,596
Avila;05018;2021;0;0;0;0;1;2;1;0;0;1;2;3;8;3;1;0;0;1;4;0;0;0;21;6;inf;0,286
Avila;05018;2022;0;0;0;0;1;1;1;0;0;1;2;3;8;4;1;0;0;1;4;0;0;0;21;6;inf;0,286
Avila;05018;2023;0;0;0;0;0;1;2;0;0;0;2;3;7;6;0;1;0;0;2;0;0;0;21;3;inf;0,143
Avila;05019;2021;15;2477;2927;3190;3008;2997;2924;3011;3650;4572;4578;4339;4398;4165;3137;2682;2215;1629;1291;727;188;9192;37044;11884;1,293;0,569
Avila;05019;2022;22;2289;2936;3208;3005;3015;2922;2927;3459;4523;4616;4384;4416;4255;3318;2767;2296;1596;1335;738;201;9034;36921;12273;1,359;0,577
Avila;05019;2023;28;2235;2885;3206;3139;3024;2945;2966;3363;4356;4696;4401;4405;4287;3482;2847;2373;1630;1299;755;226;8955;36953;12640;1,412;0,584
Avila;05021;2021;2;58;96;118;111;113;87;94;121;151;183;199;217;152;129;116;123;102;85;44;9;294;1406;610;2,075;0,643
Avila;05021;2022;1;55;89;116;111;125;79;78;115;138;193;187;216;159;123;120;109;101;88;48;11;282;1379;601;2,131;0,640
Avila;05021;2023;2;55;91;128;102;109;74;109;104;133;197;186;213;182;129;114;103;112;83;54;9;294;1389;606;2,061;0,648
Avila;05022;2021;1;54;70;82;76;80;106;123;111;112;125;160;159;145;120;105;100;95;92;43;11;222;1181;567;2,554;0,668
Avila;05022;2022;0;59;74;67;89;75;105;117;108;110;123;159;154;164;127;111;93;85;87;43;9;218;1186;555;2,546;0,652
Avila;05022;2023;0;57;71;80;90;81;108;115;127;102;125;152;153;176;131;121;92;87;81;48;10;226;1211;570;2,522;0,657
Avila;05023;2021;0;1;1;3;5;11;8;6;5;4;14;22;22;16;3;12;11;13;20;3;1;6;112;63;10,500;0,616
Avila;05023;2022;0;1;1;3;3;10;10;5;3;4;11;21;21;22;4;9;11;15;18;2;1;6;109;60;10,000;0,606
Avila;05023;2023;0;1;0;4;3;7;13;3;4;5;8;20;23;23;4;11;9;14;17;6;1;6;108;62;10,333;0,630
Avila;05024;2021;3;2;1;1;1;4;2;7;9;2;8;18;20;13;15;13;14;18;20;6;5;4;84;94;23,500;1,167
Avila;05024;2022;1;3;1;2;0;2;2;7;7;7;5;18;16;19;13;13;13;14;22;5;4;6;83;85;14,167;1,096
Avila;05024;2023;0;2;2;1;0;1;2;4;8;6;4;16;12;19;13;16;11;17;19;7;4;5;72;87;17,400;1,278
Avila;05025;2021;0;0;2;0;0;2;2;4;9;5;5;3;4;12;8;4;3;5;5;4;0;2;46;29;14,500;0,674
Avila;05025;2022;0;1;1;1;0;2;1;4;6;8;2;5;4;8;12;5;3;6;4;3;2;3;40;35;11,667;0,950
Avila;05025;2023;0;0;1;1;0;1;2;1;4;8;3;6;4;6;11;6;5;5;2;2;2;2;35;33;16,500;1,000
Avila;05026;2021;0;3;1;1;2;8;10;7;6;12;15;9;14;13;11;22;13;18;17;8;2;5;96;91;18,200;1,000
Avila;05026;2022;0;3;1;0;4;11;9;9;6;9;15;13;13;14;10;18;15;14;15;8;3;5;102;83;16,600;0,863
Avila;05026;2023;0;1;2;0;3;5;9;11;8;9;11;17;9;15;10;18;13;12;10;10;3;4;96;76;19,000;0,833
Avila;05027;2021;0;7;17;8;15;14;16;11;20;17;19;38;24;35;16;16;23;15;11;9;4;35;206;94;2,686;0,626
Avila;05027;2022;1;5;13;13;10;15;22;16;13;20;20;34;23;34;19;17;17;18;12;13;4;33;205;101;3,061;0,654
Avila;05027;2023;1;5;10;13;12;11;21;12;18;18;21;29;26;31;20;16;20;13;11;16;2;30;197;99;3,300;0,655
Avila;05029;2021;0;0;0;3;1;0;4;5;1;4;3;7;9;10;7;8;7;6;9;4;2;3;44;43;14,333;1,045
Avila;05029;2022;0;0;0;3;1;1;3;5;1;3;6;7;6;12;7;8;6;4;12;4;2;3;45;43;14,333;1,022
Avila;05029;2023;1;0;0;2;2;1;2;5;1;2;7;5;8;12;8;6;6;6;9;3;1;2;45;40;20,000;0,933
Avila;05030;2021;0;0;2;2;0;2;1;2;2;5;4;4;5;6;2;1;3;3;3;2;0;4;31;14;3,500;0,581
Avila;05030;2022;0;1;2;4;0;0;4;2;1;6;4;3;3;8;3;0;4;2;3;3;0;7;31;15;2,143;0,710
Avila;05030;2023;0;1;1;4;1;0;2;4;1;4;5;5;2;6;4;0;4;2;3;1;0;6;30;14;2,333;0,667
Avila;05033;2021;0;1;3;5;6;8;8;13;8;11;8;10;15;14;19;8;9;14;13;5;3;10;100;71;7,100;0,810
Avila;05033;2022;1;0;3;4;6;7;9;13;6;11;10;8;16;12;20;7;8;15;13;5;0;8;97;69;8,625;0,794
Avila;05033;2023;1;0;2;4;8;6;6;11;8;8;9;9;13;14;20;8;8;14;15;5;0;8;90;71;8,875;0,878
Avila;05034;2021;0;0;0;0;0;0;0;0;1;0;0;1;1;4;3;3;1;0;0;0;1;0;7;8;inf;1,143
Avila;05034;2022;0;0;0;0;0;0;0;0;1;1;0;1;1;1;4;3;1;0;0;0;1;0;5;9;inf;1,800
Avila;05034;2023;0;0;0;0;0;0;0;0;0;2;0;1;0;2;4;4;1;0;0;0;1;0;5;10;inf;2,000
Avila;05035;2021;0;2;1;4;2;6;2;5;2;6;12;11;10;5;5;7;9;4;3;4;1;7;61;33;4,714;0,656
Avila;05035;2022;0;1;2;2;2;8;5;3;3;5;10;13;8;6;6;7;6;6;2;3;1;5;63;31;6,200;0,571
Avila;05035;2023;0;2;4;2;3;6;6;2;6;8;7;10;11;7;8;6;6;4;5;1;2;9;65;32;3,556;0,631
Avila;05036;2021;0;0;1;1;2;7;4;3;6;5;7;11;9;13;8;6;6;10;12;6;0;2;67;48;24,000;0,746
Avila;05036;2022;0;0;1;1;1;5;4;4;6;6;5;11;10;13;9;6;4;9;11;5;0;2;65;44;22,000;0,708
Avila;05036;2023;0;0;0;2;1;4;4;3;4;6;5;10;12;10;12;2;8;8;10;6;0;2;59;46;23,000;0,814
Avila;05037;2021;1;4;4;5;6;6;11;6;4;8;20;12;19;15;12;24;16;15;27;11;6;14;106;112;8,000;1,189
Avila;05037;2022;2;3;6;5;8;4;10;7;4;6;17;14;22;15;17;18;13;19;22;13;5;16;105;109;6,812;1,190
Avila;05037;2023;2;1;3;7;4;7;5;6;5;4;14;18;20;17;15;15;16;16;21;14;5;12;99;104;8,667;1,172
Avila;05038;2021;0;1;3;4;4;2;4;1;7;6;11;10;7;15;13;10;4;11;8;8;2;9;66;56;6,222;0,985
Avila;05038;2022;0;2;1;3;5;0;6;1;4;8;9;11;10;12;12;10;4;10;5;8;3;7;65;52;7,429;0,908
Avila;05038;2023;0;2;2;4;4;9;6;5;5;11;14;15;21;16;20;15;5;10;7;7;3;9;105;67;7,444;0,724
Avila;05039;2021;0;0;0;0;0;1;2;4;3;0;2;3;6;4;2;6;4;1;2;4;1;0;25;20;inf;0,800
Avila;05039;2022;0;0;0;0;0;1;1;4;3;1;1;2;7;3;3;6;2;3;2;3;2;0;23;21;inf;0,913
Avila;05039;2023;0;0;0;0;0;1;0;5;2;1;1;2;4;5;4;4;2;4;2;2;3;0;21;21;inf;1,000
Avila;05040;2021;0;0;0;0;0;0;3;3;1;3;4;3;7;7;4;3;4;8;5;3;5;0;31;32;inf;1,032
Avila;05040;2022;2;0;0;0;0;0;2;2;1;3;4;5;6;7;3;3;5;5;5;4;2;0;30;29;inf;0,967
Avila;05040;2023;2;0;0;0;0;0;1;2;2;2;4;4;7;8;2;4;4;3;7;4;1;0;30;27;inf;0,900
Avila;05041;2021;0;35;58;44;37;49;49;70;74;83;83;90;69;100;90;75;71;59;58;22;11;144;697;386;2,681;0,760
Avila;05041;2022;2;31;47;52;32;51;46;62;68;83;89;89;69;100;89;75;72;55;56;32;8;136;683;389;2,860;0,769
Avila;05041;2023;3;31;54;50;39;50;55;60;68;96;85;95;78;102;84;79;76;55;53;33;7;143;720;390;2,727;0,740
Avila;05042;2021;0;2;2;4;5;6;6;7;9;14;15;11;5;9;16;9;13;11;8;7;1;9;86;65;7,222;0,860
Avila;05042;2022;0;2;3;2;4;6;8;7;8;11;18;11;5;8;17;8;12;9;10;8;0;8;85;64;8,000;0,847
Avila;05042;2023;0;2;3;2;2;8;9;8;6;11;17;12;7;7;16;9;9;13;7;8;2;7;87;64;9,143;0,816
Avila;05043;2021;0;0;1;0;0;0;4;0;3;5;1;9;6;5;5;4;8;10;5;2;0;1;33;34;34,000;1,061
Avila;05043;2022;0;1;1;1;1;1;5;1;3;4;2;8;8;5;3;6;10;5;11;2;1;3;38;38;12,667;1,079
Avila;05043;2023;0;1;1;1;2;2;3;1;6;5;3;8;8;7;4;7;7;8;12;2;1;3;45;41;13,667;0,978
Avila;05044;2021;0;3;4;11;7;12;8;6;10;16;19;20;20;14;15;18;26;25;20;12;5;19;131;121;6,368;1,069
Avila;05044;2022;0;3;3;8;10;10;6;4;10;13;19;21;16;17;17;15;26;27;19;10;4;16;124;118;7,375;1,081
Avila;05044;2023;0;1;4;6;12;7;5;6;11;11;17;20;19;17;16;15;22;24;21;11;3;13;123;112;8,615;1,016
Avila;05045;2021;0;1;2;1;1;1;6;8;3;5;3;4;10;5;8;3;4;10;5;1;1;4;46;32;8,000;0,783
Avila;05045;2022;0;3;2;2;1;2;4;7;5;4;5;2;11;5;6;5;3;11;5;3;1;7;46;34;4,857;0,891
Avila;05045;2023;0;3;2;3;0;3;4;6;6;6;8;1;9;8;4;7;3;9;7;3;1;8;51;34;4,250;0,824
Avila;05046;2021;0;1;1;2;2;0;1;2;3;5;3;2;3;2;3;1;4;2;2;0;0;4;23;12;3,000;0,696
Avila;05046;2022;0;1;0;3;2;0;1;0;4;4;3;3;3;2;3;1;4;2;1;0;0;4;22;11;2,750;0,682
Avila;05046;2023;0;0;1;2;3;0;1;0;3;4;3;3;3;2;3;0;4;3;1;0;0;4;21;11;2,750;0,714
Avila;05047;2021;2;177;194;223;209;225;188;252;322;370;381;392;441;370;323;270;248;186;176;84;10;635;3109;1299;2,046;0,622
Avila;05047;2022;2;158;212;217;224;215;210;229;323;373;378;385;435;388;329;263;247;166;187;92;19;632;3115;1305;2,065;0,622
Avila;05047;2023;3;147;189;222;215;210;204;220;314;356;386;374;439;411;321;270;270;175;167;93;23;601;3086;1322;2,200;0,623
Avila;05048;2021;0;2;0;0;4;5;3;2;3;1;3;12;11;9;10;5;7;10;7;3;4;3;52;46;15,333;0,942
Avila;05048;2022;2;2;0;0;2;7;3;2;2;0;3;7;15;8;11;4;9;10;7;2;2;2;49;47;23,500;1,000
Avila;05048;2023;1;0;0;0;1;7;1;6;2;3;1;7;15;7;11;7;8;8;7;3;2;0;50;47;inf;0,940
Avila;05049;2021;1;3;7;9;16;20;19;21;16;23;29;47;55;29;27;19;17;28;20;18;3;22;272;133;6,045;0,570
Avila;05049;2022;1;6;7;7;17;19;22;21;17;20;24;41;60;34;29;24;16;23;22;14;4;23;272;133;5,783;0,574
Avila;05049;2023;0;8;7;7;12;22;21;21;18;17;26;45;52;43;26;24;18;23;17;15;4;24;275;127;5,292;0,549
Avila;05051;2021;1;2;3;2;3;7;5;7;12;7;12;12;14;10;11;19;14;10;10;2;0;8;88;67;8,375;0,852
Avila;05051;2022;0;6;1;3;3;6;5;7;9;10;7;12;11;11;14;13;20;7;9;3;0;11;80;66;6,000;0,963
Avila;05051;2023;0;4;2;4;3;9;5;5;9;12;10;9;14;11;13;12;21;10;5;4;0;11;86;65;5,909;0,884
Avila;05052;2021;0;0;0;0;0;2;3;6;3;6;6;4;8;3;6;10;8;8;7;0;3;0;41;42;inf;1,024
Avila;05052;2022;0;0;0;0;0;1;3;4;5;6;6;4;7;3;7;11;7;6;7;1;2;0;39;41;inf;1,051
Avila;05052;2023;0;0;1;0;0;1;2;5;5;6;4;3;9;8;6;9;9;7;5;3;2;1;43;41;41,000;0,977
Avila;05053;2021;0;0;2;1;0;0;1;3;1;6;4;0;2;5;3;9;10;8;7;5;4;3;22;46;15,333;2,227
Avila;05053;2022;0;0;2;1;0;0;1;3;3;6;2;2;1;4;4;7;12;7;5;4;6;3;22;45;15,000;2,182
Avila;05053;2023;0;0;2;1;0;0;1;4;3;5;2;3;1;7;4;7;10;6;6;4;4;3;26;41;13,667;1,692
Avila;05054;2021;2;50;55;56;59;51;50;66;71;99;115;115;116;130;86;85;72;52;70;25;8;173;860;400;2,312;0,666
Avila;05054;2022;2;36;55;53;63;51;53;63;70;98;121;124;125;128;98;86;73;47;68;21;10;157;883;405;2,580;0,636
Avila;05054;2023;0;36;63;50;55;51;51;57;75;83;127;118;129;125;99;91;71;46;57;23;10;160;860;397;2,481;0,648
Avila;05055;2021;0;10;24;20;22;28;34;28;21;38;33;53;52;60;47;37;46;33;27;17;5;58;365;212;3,655;0,740
Avila;05055;2022;0;9;26;19;20;29;32;34;23;29;40;51;59;59;47;44;41;31;29;18;6;58;372;216;3,724;0,737
Avila;05055;2023;1;14;19;23;24;25;29;40;25;27;46;42;65;66;51;40;47;30;31;15;3;61;384;218;3,574;0,727
Avila;05056;2021;0;1;2;1;0;2;9;4;5;1;6;11;8;11;7;3;5;7;4;5;2;4;57;33;8,250;0,649
Avila;05056;2022;0;1;0;2;0;2;6;6;5;1;5;10;9;7;10;4;5;6;6;4;1;3;51;36;12,000;0,765
Avila;05056;2023;0;1;2;3;5;7;8;8;10;5;5;14;8;20;15;6;5;6;4;3;3;7;89;42;6,000;0,551
Avila;05057;2021;2;95;133;196;188;152;143;177;177;237;222;239;253;218;181;187;149;130;121;44;10;462;1968;824;1,784;0,653
Avila;05057;2022;5;88;115;172;186;146;144;160;171;211;244;227;250;246;195;183;169;114;119;52;12;412;1948;849;2,061;0,647
Avila;05057;2023;3;98;123;170;194;169;137;165;184;211;249;231;246;244;200;192;157;112;110;65;9;430;1991;848;1,972;0,642
Avila;05058;2021;0;0;0;2;2;1;4;1;3;2;8;9;6;7;7;4;5;2;6;1;1;2;43;26;13,000;0,651
Avila;05058;2022;0;0;0;2;2;0;4;3;3;1;9;11;7;7;8;3;5;2;4;2;2;2;47;26;13,000;0,596
Avila;05058;2023;0;0;0;0;3;1;3;5;2;1;8;10;6;6;5;5;5;2;4;1;1;1;44;23;23,000;0,545
Avila;05059;2021;1;0;0;0;0;1;9;2;2;1;3;8;11;6;6;8;4;4;7;6;3;0;43;39;inf;0,907
Avila;05059;2022;0;0;0;0;0;1;8;3;0;3;0;10;8;9;6;7;6;3;4;3;3;0;42;32;inf;0,762
Avila;05059;2023;1;0;0;0;0;1;4;6;0;2;1;7;8;10;5;7;6;2;5;2;3;0;39;31;inf;0,795
Avila;05060;2021;0;0;0;0;5;3;7;3;2;3;7;6;15;8;9;6;7;5;7;8;2;1;58;44;44,000;0,776
Avila;05060;2022;0;2;0;0;3;5;7;3;2;5;5;5;12;12;9;5;6;5;7;8;1;3;58;41;13,667;0,759
Avila;05060;2023;0;1;2;0;2;4;5;5;2;5;4;5;10;13;7;8;5;7;5;10;0;3;55;42;14,000;0,818
Avila;05061;2021;0;12;24;12;25;14;19;19;22;37;27;32;17;21;12;13;13;4;12;4;2;53;228;60;1,132;0,496
Avila;05061;2022;0;15;22;16;22;11;20;25;25;39;28;27;20;24;14;12;13;5;8;9;1;57;237;62;1,088;0,502
Avila;05061;2023;0;16;28;16;18;14;19;24;32;31;33;31;18;26;14;11;13;5;9;7;1;64;242;60;0,938;0,512
Avila;05062;2021;0;2;0;0;5;9;7;12;3;6;8;9;18;17;17;4;9;10;16;6;2;3;93;64;21,333;0,720
Avila;05062;2022;0;1;0;0;5;7;6;11;3;5;9;3;21;19;17;5;7;7;16;6;2;2;88;60;30,000;0,705
Avila;05062;2023;0;1;0;0;3;8;5;10;4;5;10;3;18;16;17;11;6;8;14;5;1;2;81;62;31,000;0,790
Avila;05063;2021;0;0;1;0;0;0;1;2;0;1;3;1;2;2;1;1;0;6;6;4;0;1;12;18;18,000;1,583
Avila;05063;2022;0;0;1;0;0;0;1;1;0;0;4;1;2;2;2;0;0;5;5;4;1;1;11;17;17,000;1,636
Avila;05063;2023;0;0;1;0;0;0;0;2;1;0;3;0;2;1;2;0;0;3;6;4;1;1;9;16;16,000;1,889
Avila;05064;2021;0;0;1;3;0;5;5;2;5;5;3;10;12;12;10;9;5;9;8;2;1;4;59;44;11,000;0,814
Avila;05064;2022;0;0;1;1;2;5;2;4;4;4;4;10;10;11;12;8;4;8;6;4;1;2;56;43;21,500;0,804
Avila;05064;2023;1;0;0;2;2;4;3;3;1;5;5;9;10;11;11;9;4;7;7;4;0;2;53;43;21,500;0,849
Avila;05065;2021;0;15;15;11;13;15;20;42;22;28;27;33;61;41;35;24;21;24;36;10;3;44;299;153;3,477;0,659
Avila;05065;2022;0;9;14;10;10;16;19;37;28;23;23;32;56;48;39;21;23;21;38;12;3;35;290;157;4,486;0,662
Avila;05065;2023;0;9;14;9;7;14;18;33;30;21;25;27;51;57;38;21;23;19;36;18;4;33;282;159;4,818;0,681
Avila;05066;2021;1;9;22;13;15;15;24;19;32;29;35;49;48;43;43;36;29;24;15;9;4;47;306;161;3,426;0,680
Avila;05066;2022;1;11;15;17;12;21;26;14;30;30;34;44;51;48;45;34;38;19;17;11;4;45;308;169;3,756;0,695
Avila;05066;2023;0;9;9;20;14;20;23;19;29;32;31;46;50;48;46;33;39;21;15;11;2;41;309;167;4,073;0,673
Avila;05067;2021;0;0;0;1;1;4;4;4;0;3;4;10;10;7;1;2;1;7;4;2;3;1;47;20;20,000;0,447
Avila;05067;2022;0;0;0;1;1;4;3;4;1;1;5;8;11;6;2;1;1;5;5;2;3;1;44;19;19,000;0,455
Avila;05067;2023;1;0;0;1;1;4;3;3;3;1;5;9;11;7;3;1;1;3;6;1;1;1;47;17;17,000;0,383
Avila;05069;2021;1;0;0;0;2;6;2;7;4;5;5;3;4;7;9;8;8;0;1;0;1;0;45;28;inf;0,622
Avila;05069;2022;0;0;0;0;2;2;4;4;7;4;6;2;4;8;7;9;9;0;0;2;0;0;43;27;inf;0,628
Avila;05069;2023;0;2;0;0;3;3;2;4;8;3;6;5;3;6;8;10;9;2;0;2;0;3;42;31;10,333;0,810
Avila;05070;2021;0;0;0;0;0;0;3;1;1;2;2;1;3;6;4;3;0;1;3;0;0;0;19;11;inf;0,579
Avila;05070;2022;0;0;0;0;0;0;2;1;2;1;2;0;4;6;5;2;1;0;4;0;0;0;18;12;inf;0,667
Avila;05070;2023;0;0;0;0;0;1;2;2;2;1;1;2;3;5;5;4;1;0;1;1;0;0;19;12;inf;0,632
Avila;05072;2021;0;1;10;4;2;3;5;3;10;8;11;11;4;7;6;5;2;10;4;3;1;15;64;31;2,067;0,719
Avila;05072;2022;0;2;5;9;2;3;3;5;8;5;11;13;6;6;5;4;4;7;4;2;2;16;62;28;1,750;0,710
Avila;05072;2023;0;1;5;8;3;2;4;5;8;5;8;15;7;5;5;5;3;5;6;1;2;15;61;27;1,800;0,689
Avila;05073;2021;0;3;5;5;5;3;13;17;20;10;18;27;26;31;19;16;20;17;20;10;2;14;169;104;7,429;0,698
Avila;05073;2022;0;2;3;4;8;3;14;10;17;14;19;23;30;28;23;20;14;17;19;10;5;11;164;108;9,818;0,726
Avila;05073;2023;0;4;3;3;9;3;6;12;16;11;19;18;32;25;29;22;13;17;18;8;7;12;149;114;9,500;0,846
Avila;05074;2021;0;19;16;20;20;27;39;34;37;44;51;54;59;63;44;48;48;43;46;20;4;59;424;253;4,288;0,736
Avila;05074;2022;1;21;18;20;19;21;37;42;28;40;50;51;55;66;50;47;44;39;49;23;3;63;405;256;4,063;0,788
Avila;05074;2023;2;20;15;15;23;22;33;47;34;31;51;47;54;63;49;54;43;41;47;19;6;55;400;261;4,745;0,790
Avila;05075;2021;2;0;4;3;4;2;1;3;4;5;6;12;6;3;13;9;5;8;10;8;2;8;45;57;7,125;1,444
Avila;05075;2022;2;0;1;5;3;1;3;2;3;4;6;11;9;3;9;8;6;4;13;9;3;7;44;54;7,714;1,386
Avila;05075;2023;1;0;1;4;9;1;3;2;4;3;8;9;8;2;10;7;5;2;12;12;4;7;47;53;7,571;1,277
Avila;05076;2021;0;23;28;33;29;17;26;43;35;47;48;51;55;31;22;29;28;17;23;4;3;90;376;126;1,400;0,574
Avila;05076;2022;0;21;24;31;35;12;33;45;35;43;52;44;58;35;27;28;27;12;26;5;3;83;385;128;1,542;0,548
Avila;05076;2023;0;17;25;31;37;17;29;40;37;40;48;50;58;39;27;25;27;16;20;11;4;80;388;130;1,625;0,541
Avila;05077;2021;0;2;2;2;9;3;5;6;8;11;8;16;9;5;14;17;16;9;11;4;1;8;78;72;9,000;1,026
Avila;05077;2022;0;6;2;2;8;5;3;6;6;11;9;15;12;4;11;18;17;10;11;2;2;12;77;71;5,917;1,078
Avila;05077;2023;0;7;3;2;5;7;2;6;8;9;9;16;12;4;10;17;16;11;10;2;2;13;77;68;5,231;1,052
Avila;05078;2021;0;0;0;1;0;1;5;4;9;5;2;2;10;9;20;10;5;2;7;3;1;1;47;48;48,000;1,043
Avila;05078;2022;0;0;2;1;0;1;4;4;8;7;3;0;8;11;17;12;6;2;3;4;1;3;46;45;15,000;1,043
Avila;05078;2023;0;0;0;1;0;1;2;6;5;8;2;1;4;12;18;13;7;1;3;4;1;1;41;47;47,000;1,171
Avila;05079;2021;0;0;1;1;0;2;5;3;0;3;4;7;5;7;10;6;4;1;1;3;1;2;36;26;13,000;0,778
Avila;05079;2022;0;0;2;1;0;2;3;3;2;3;2;6;5;7;11;6;1;1;1;2;1;3;33;23;7,667;0,788
Avila;05079;2023;0;0;0;2;0;1;3;3;0;5;1;6;6;7;10;7;2;1;1;0;3;2;32;24;12,000;0,812
Avila;05080;2021;0;0;0;0;0;0;0;0;2;2;4;3;2;2;2;2;7;4;2;3;1;0;15;21;inf;1,400
Avila;05080;2022;0;0;1;2;0;0;1;1;3;5;6;4;2;2;2;2;7;3;1;4;1;3;24;20;6,667;0,958
Avila;05080;2023;0;0;0;3;0;0;0;1;1;5;6;4;3;1;3;2;5;5;1;4;1;3;21;21;7,000;1,143
Avila;05081;2021;0;0;0;2;3;0;0;1;2;2;3;4;5;1;1;3;5;4;2;4;0;3;20;19;6,333;1,100
Avila;05081;2022;0;0;0;2;4;0;0;0;3;2;2;5;5;1;1;1;5;4;3;3;0;3;21;17;5,667;0,952
