Provincia;CMuni;Periodo;100_y_más_años;De_0_a_4_años;De_5_a_9_años;De_10_a_14_años;De_15_a_19_años;De_20_a_24_años;De_25_a_29_años;De_30_a_34_años;De_35_a_39_años;De_40_a_44_años;De_45_a_49_años;De_50_a_54_años;De_55_a_59_años;De_60_a_64_años;De_65_a_69_años;De_70_a_74_años;De_75_a_79_años;De_80_a_84_años;De_85_a_89_años;De_90_a_94_años;De_95_a_99_años;poblacion__menor_16;poblacion_16_64;poblacion_mayor_65;Indice_Envejecimiento;Tasa_Dependencia
Burgos;09332;2023;0;3;9;12;13;13;13;10;13;23;21;14;11;15;7;11;6;5;5;0;0;27;143;34;1,259;0,427
Burgos;09334;2021;0;0;0;1;0;1;2;5;1;2;5;9;4;4;6;5;3;0;1;1;1;1;33;17;17,000;0,545
Burgos;09334;2022;0;0;0;1;0;1;2;3;2;1;3;10;6;4;5;5;3;1;1;1;1;1;32;17;17,000;0,562
Burgos;09334;2023;0;0;0;0;2;0;3;3;1;2;1;9;8;4;6;4;2;2;0;0;1;0;33;15;inf;0,455
Burgos;09335;2021;0;0;0;0;0;3;7;5;5;3;6;12;13;8;13;5;6;2;4;1;0;0;62;31;inf;0,500
Burgos;09335;2022;0;1;0;0;0;1;9;5;5;2;6;12;12;10;14;4;7;2;3;2;0;1;62;32;32,000;0,532
Burgos;09335;2023;0;2;1;0;1;0;7;4;6;1;8;10;9;14;11;6;6;3;1;3;0;3;60;30;10,000;0,550
Burgos;09337;2021;0;4;8;5;6;7;6;7;10;21;10;15;13;10;7;7;5;1;9;4;0;18;104;33;1,833;0,490
Burgos;09337;2022;0;1;14;4;5;8;8;3;8;16;13;14;9;13;6;7;7;2;8;5;0;20;96;35;1,750;0,573
Burgos;09337;2023;0;2;6;8;5;5;7;3;9;14;16;11;8;15;5;7;6;4;7;4;0;17;92;33;1,941;0,543
Burgos;09338;2021;0;11;12;20;20;17;9;16;15;20;40;39;29;17;11;11;7;10;10;2;2;47;218;53;1,128;0,459
Burgos;09338;2022;0;6;12;21;22;15;10;12;19;22;36;40;32;17;13;10;8;7;12;0;3;43;221;53;1,233;0,434
Burgos;09338;2023;0;7;11;19;19;20;10;12;16;23;33;34;40;16;13;11;12;9;14;7;3;41;219;69;1,683;0,502
Burgos;09339;2021;0;0;3;2;0;1;11;2;5;6;12;15;7;15;16;13;14;10;9;2;1;5;74;65;13,000;0,946
Burgos;09339;2022;0;0;4;3;1;1;10;3;6;8;11;14;7;16;14;13;11;11;7;0;2;7;77;58;8,286;0,844
Burgos;09339;2023;1;1;1;3;3;1;7;4;6;10;13;15;9;14;8;17;12;12;6;1;1;6;81;58;9,667;0,790
Burgos;09340;2021;0;0;0;0;1;1;2;1;4;2;5;7;8;11;2;8;5;2;3;7;0;0;42;27;inf;0,643
Burgos;09340;2022;0;0;0;0;1;1;2;1;3;2;5;5;10;9;5;7;3;4;1;5;0;0;39;25;inf;0,641
Burgos;09340;2023;0;0;0;0;1;1;1;2;3;2;4;4;12;6;7;6;5;5;1;4;0;0;36;28;inf;0,778
Burgos;09343;2021;0;1;2;0;1;3;10;4;3;5;2;4;14;16;14;6;5;5;3;2;0;3;62;35;11,667;0,613
Burgos;09343;2022;0;2;3;1;0;4;10;6;2;6;1;4;13;15;15;6;6;4;5;2;0;6;61;38;6,333;0,721
Burgos;09343;2023;0;4;3;1;1;3;8;7;3;4;2;4;13;13;16;7;6;4;5;1;0;8;58;39;4,875;0,810
Burgos;09345;2021;0;2;3;3;1;15;6;8;7;2;8;12;16;7;9;8;9;6;4;3;3;8;82;42;5,250;0,610
Burgos;09345;2022;0;3;4;2;1;12;12;6;8;3;4;15;16;10;8;10;10;7;4;2;3;9;87;44;4,889;0,609
Burgos;09345;2023;3;3;3;5;1;10;13;4;13;3;2;12;12;16;8;9;9;4;7;2;0;11;86;42;3,818;0,616
Burgos;09346;2021;0;1;3;3;0;0;2;6;5;8;12;10;8;10;7;3;8;3;6;5;1;7;61;33;4,714;0,656
Burgos;09346;2022;0;2;2;4;0;0;1;8;6;7;11;12;8;8;10;2;5;6;6;2;3;8;61;34;4,250;0,689
Burgos;09346;2023;0;1;1;5;1;0;1;3;7;6;11;15;8;9;8;4;3;7;5;2;4;7;61;33;4,714;0,656
Burgos;09347;2021;0;6;4;2;5;7;4;10;10;10;9;12;13;18;13;6;5;6;7;4;1;13;97;42;3,231;0,567
Burgos;09347;2022;0;5;4;2;2;7;9;11;10;9;9;12;12;18;15;7;6;4;6;6;2;11;99;46;4,182;0,576
Burgos;09347;2023;0;4;6;0;4;7;8;13;9;10;12;13;12;15;15;11;8;4;4;6;3;11;102;51;4,636;0,608
Burgos;09348;2021;0;4;0;1;3;6;7;5;10;12;8;7;16;25;13;9;14;3;4;4;1;6;98;48;8,000;0,551
Burgos;09348;2022;0;5;0;1;3;3;10;0;12;8;8;9;16;21;17;8;19;2;6;3;1;7;89;56;8,000;0,708
Burgos;09348;2023;0;6;2;1;3;5;10;1;8;9;9;10;14;17;19;11;14;6;5;2;2;10;85;59;5,900;0,812
Burgos;09350;2021;0;7;18;15;10;16;24;30;33;26;40;52;36;50;34;35;31;23;26;11;0;42;315;160;3,810;0,641
Burgos;09350;2022;0;4;14;19;14;18;17;38;32;26;33;47;38;49;36;35;33;22;26;9;2;40;309;163;4,075;0,657
Burgos;09350;2023;0;5;15;16;17;12;13;39;30;25;35;46;37;44;45;33;35;19;27;11;1;39;295;171;4,385;0,712
Burgos;09351;2021;0;1;0;0;0;4;0;3;5;5;4;4;6;7;7;9;5;2;4;0;0;1;38;27;27,000;0,737
Burgos;09351;2022;0;1;0;0;0;3;1;1;4;5;4;3;6;5;9;10;5;2;2;1;0;1;32;29;29,000;0,938
Burgos;09351;2023;0;0;1;0;0;2;1;1;5;5;4;3;7;7;6;9;8;1;2;2;0;1;35;28;28,000;0,829
Burgos;09352;2021;0;0;0;0;3;5;0;1;4;6;11;6;8;15;5;8;8;11;8;4;1;1;58;45;45,000;0,793
Burgos;09352;2022;0;0;0;0;1;6;0;0;3;6;10;7;6;16;5;4;9;10;9;4;1;0;55;42;inf;0,764
Burgos;09352;2023;0;0;0;0;0;6;0;1;2;6;9;9;8;15;6;3;9;11;11;4;1;0;56;45;inf;0,804
Burgos;09353;2021;0;0;1;4;5;5;1;2;4;4;11;14;9;8;9;6;5;5;3;2;1;6;62;31;5,167;0,597
Burgos;09353;2022;0;0;1;2;6;6;1;2;4;5;8;10;12;6;12;5;4;3;6;2;0;4;59;32;8,000;0,610
Burgos;09353;2023;0;0;0;2;5;6;3;1;3;3;6;12;13;5;11;5;4;4;5;2;1;3;56;32;10,667;0,625
Burgos;09354;2021;0;1;0;3;0;0;0;0;2;5;3;3;2;1;2;5;3;4;2;0;0;4;16;16;4,000;1,250
Burgos;09354;2022;0;0;0;3;1;0;0;0;0;7;5;3;5;0;3;5;2;3;3;0;0;3;21;16;5,333;0,905
Burgos;09354;2023;0;0;0;3;1;0;0;1;0;5;7;3;5;0;2;2;5;4;3;0;0;3;22;16;5,333;0,864
Burgos;09355;2021;0;0;0;1;0;1;3;0;2;3;6;10;11;7;5;8;4;5;15;4;0;1;43;41;41,000;0,977
