Provincia;CMuni;Periodo;Hombres;Mujeres;Población;%_Hombres;%_Mujeres
Avila;05047;2022;2554;2498;5052;50,554;49,446
Avila;05047;2023;2524;2485;5009;50,389;49,611
Avila;05048;2021;60;41;101;59,406;40,594
Avila;05048;2022;58;40;98;59,184;40,816
Avila;05048;2023;57;40;97;58,763;41,237
Avila;05049;2021;231;196;427;54,098;45,902
Avila;05049;2022;231;197;428;53,972;46,028
Avila;05049;2023;230;196;426;53,991;46,009
Avila;05051;2021;91;72;163;55,828;44,172
Avila;05051;2022;88;69;157;56,051;43,949
Avila;05051;2023;91;71;162;56,173;43,827
Avila;05052;2021;46;37;83;55,422;44,578
Avila;05052;2022;45;35;80;56,250;43,750
Avila;05052;2023;45;40;85;52,941;47,059
Avila;05053;2021;43;28;71;60,563;39,437
Avila;05053;2022;39;31;70;55,714;44,286
Avila;05053;2023;40;30;70;57,143;42,857
Avila;05054;2021;734;699;1433;51,221;48,779
Avila;05054;2022;742;703;1445;51,349;48,651
Avila;05054;2023;726;691;1417;51,235;48,765
Avila;05055;2021;346;289;635;54,488;45,512
Avila;05055;2022;349;297;646;54,025;45,975
Avila;05055;2023;366;297;663;55,204;44,796
Avila;05056;2021;54;40;94;57,447;42,553
Avila;05056;2022;51;39;90;56,667;43,333
Avila;05056;2023;76;62;138;55,072;44,928
Avila;05057;2021;1699;1555;3254;52,213;47,787
Avila;05057;2022;1673;1536;3209;52,135;47,865
Avila;05057;2023;1701;1568;3269;52,034;47,966
Avila;05058;2021;39;32;71;54,930;45,070
Avila;05058;2022;40;35;75;53,333;46,667
Avila;05058;2023;39;29;68;57,353;42,647
Avila;05059;2021;50;32;82;60,976;39,024
Avila;05059;2022;45;29;74;60,811;39,189
Avila;05059;2023;41;29;70;58,571;41,429
Avila;05060;2021;55;48;103;53,398;46,602
Avila;05060;2022;55;47;102;53,922;46,078
Avila;05060;2023;54;46;100;54,000;46,000
Avila;05061;2021;175;166;341;51,320;48,680
Avila;05061;2022;187;169;356;52,528;47,472
Avila;05061;2023;190;176;366;51,913;48,087
Avila;05062;2021;82;78;160;51,250;48,750
Avila;05062;2022;78;72;150;52,000;48,000
Avila;05062;2023;74;71;145;51,034;48,966
Avila;05063;2021;19;12;31;61,290;38,710
Avila;05063;2022;16;13;29;55,172;44,828
Avila;05063;2023;14;12;26;53,846;46,154
Avila;05064;2021;60;47;107;56,075;43,925
Avila;05064;2022;58;43;101;57,426;42,574
Avila;05064;2023;57;41;98;58,163;41,837
Avila;05065;2021;264;232;496;53,226;46,774
Avila;05065;2022;254;228;482;52,697;47,303
Avila;05065;2023;254;220;474;53,586;46,414
Avila;05066;2021;286;228;514;55,642;44,358
Avila;05066;2022;286;236;522;54,789;45,211
Avila;05066;2023;288;229;517;55,706;44,294
Avila;05067;2021;41;27;68;60,294;39,706
Avila;05067;2022;37;27;64;57,812;42,188
Avila;05067;2023;37;28;65;56,923;43,077
Avila;05069;2021;40;33;73;54,795;45,205
Avila;05069;2022;39;31;70;55,714;44,286
Avila;05069;2023;41;35;76;53,947;46,053
Avila;05070;2021;18;12;30;60,000;40,000
Avila;05070;2022;19;11;30;63,333;36,667
Avila;05070;2023;20;11;31;64,516;35,484
Avila;05072;2021;56;54;110;50,909;49,091
Avila;05072;2022;54;52;106;50,943;49,057
Avila;05072;2023;53;50;103;51,456;48,544
Avila;05073;2021;156;131;287;54,355;45,645
Avila;05073;2022;152;131;283;53,710;46,290
