Provincia;CMuni;CUSEC;area_km2
Burgos;09059;0905908009;6,682
Burgos;09059;0905908010;0,165
Burgos;09059;0905908011;0,455
Burgos;09059;0905909001;0,024
Burgos;09059;0905909002;0,014
Burgos;09059;0905909003;0,073
Burgos;09059;0905909004;0,039
Burgos;09059;0905909005;0,041
Burgos;09059;0905909006;0,068
Burgos;09059;0905909007;0,061
Burgos;09059;0905909008;0,039
Burgos;09059;0905909009;0,010
Burgos;09059;0905909010;0,010
Burgos;09059;0905909011;0,019
Burgos;09059;0905909012;0,047
Burgos;09059;0905909013;0,039
Burgos;09059;0905909014;0,021
Burgos;09059;0905909015;0,101
Burgos;09059;0905909016;18,969
Burgos;09059;0905909017;0,017
Burgos;09059;0905909018;0,013
Burgos;09059;0905909019;0,015
Burgos;09059;0905909020;0,028
Burgos;09059;0905909021;0,028
Burgos;09059;0905909022;0,025
Burgos;09059;0905909023;0,098
Burgos;09059;0905909024;0,033
Burgos;09059;0905909025;0,016
Burgos;09059;0905909026;0,020
Burgos;09059;0905909027;0,037
Burgos;09059;0905909028;0,016
Burgos;09059;0905909029;0,013
Burgos;09059;0905909030;0,020
Burgos;09059;0905909031;0,017
Burgos;09059;0905909032;0,017
Burgos;09059;0905909033;0,013
Burgos;09059;0905909034;0,023
Burgos;09059;0905909035;0,167
Burgos;09059;0905909036;0,027
Burgos;09059;0905909037;0,080
Burgos;09059;0905909038;0,078
Burgos;09059;0905909039;0,035
Burgos;09059;0905909040;0,069
Burgos;09059;0905909041;0,248
Burgos;09059;0905909042;0,190
Burgos;09059;0905909043;0,179
Burgos;09059;0905909044;0,102
Burgos;09060;0906001001;18,547
Burgos;09061;0906101001;26,548
Burgos;09062;0906201001;19,813
Burgos;09063;0906301001;12,976
Burgos;09064;0906401001;47,596
Burgos;09065;0906501001;23,899
Burgos;09066;0906601001;13,233
Burgos;09067;0906701001;29,508
Burgos;09068;0906801001;3,142
Burgos;09070;0907001001;25,054
Burgos;09071;0907101001;42,630
Burgos;09072;0907201001;25,599
Burgos;09073;0907301001;9,201
Burgos;09074;0907401001;11,818
Burgos;09075;0907501001;11,304
Burgos;09076;0907601001;13,265
Burgos;09077;0907701001;7,913
Burgos;09078;0907801001;6,804
Burgos;09079;0907901001;9,922
Burgos;09082;0908201001;4,946
Burgos;09083;0908301001;13,969
Burgos;09084;0908401001;14,435
Burgos;09085;0908501001;26,398
Burgos;09086;0908601001;23,018
Burgos;09088;0908801001;17,435
Burgos;09090;0909001001;22,040
Burgos;09091;0909101001;135,988
Burgos;09093;0909301001;13,464
Burgos;09094;0909401001;23,340
Burgos;09095;0909501001;12,565
Burgos;09098;0909801001;63,646
Burgos;09100;0910001001;16,236
Burgos;09101;0910101001;15,276
Burgos;09102;0910201001;16,804
Burgos;09103;0910301001;52,874
Burgos;09104;0910401001;18,476
Burgos;09105;0910501001;37,848
Burgos;09108;0910801001;31,225
Burgos;09109;0910901001;260,213
Burgos;09110;0911001001;38,093
Burgos;09112;0911201001;34,326
Burgos;09113;0911301001;41,038
Burgos;09114;0911401001;23,487
Burgos;09115;0911501001;9,077
Burgos;09117;0911701001;11,907
Burgos;09119;0911901001;13,247
Burgos;09120;0912001001;18,837
Burgos;09122;0912201001;29,594
Burgos;09123;0912301001;6,928
Burgos;09124;0912401001;137,407
Burgos;09125;0912501001;102,628
Burgos;09127;0912701001;24,820
Burgos;09128;0912801001;8,576
Burgos;09129;0912901001;61,118
Burgos;09130;0913001001;13,995
Burgos;09131;0913101001;13,682
Burgos;09132;0913201001;9,668
Burgos;09133;0913301001;12,137
Burgos;09134;0913401001;29,449
Burgos;09135;0913501001;9,085
Burgos;09136;0913601001;17,036
Burgos;09137;0913701001;22,407
Burgos;09138;0913801001;6,964
Burgos;09139;0913901001;12,802
Burgos;09140;0914001001;38,958
Burgos;09141;0914101001;12,019
Burgos;09143;0914301001;31,964
Burgos;09144;0914401001;17,341
Burgos;09148;0914801001;19,741
Burgos;09149;0914901001;16,332
Burgos;09151;0915101001;75,450
Burgos;09152;0915201001;57,668
Burgos;09154;0915401001;7,895
Burgos;09155;0915501001;82,244
Burgos;09159;0915901001;10,212
Burgos;09160;0916001001;12,211
Burgos;09162;0916201001;19,372
Burgos;09163;0916301001;80,779
Burgos;09164;0916401001;33,556
Burgos;09166;0916601001;36,553
Burgos;09167;0916701001;14,070
Burgos;09168;0916801001;29,970
Burgos;09169;0916901001;20,646
Burgos;09170;0917001001;12,774
Burgos;09172;0917201001;48,667
Burgos;09173;0917301001;33,154
Burgos;09174;0917401001;97,741
Burgos;09175;0917501001;85,097
Burgos;09176;0917601001;8,289
Burgos;09177;0917701001;129,939
Burgos;09178;0917801001;5,634
Burgos;09179;0917901001;15,015
Burgos;09180;0918001001;34,517
Burgos;09181;0918101001;66,388
Burgos;09182;0918201001;16,903
Burgos;09183;0918301001;21,547
Burgos;09184;0918401001;17,436
Burgos;09189;0918901001;75,765
Burgos;09190;0919001001;45,854
Burgos;09191;0919101001;25,026
Burgos;09192;0919201001;30,900
Burgos;09194;0919401001;15,730
Burgos;09194;0919401002;150,540
Burgos;09195;0919501001;15,178
Burgos;09196;0919601001;26,857
Burgos;09197;0919701001;25,152
Burgos;09198;0919801001;33,585
Burgos;09199;0919901001;16,032
