Provincia;CMuni;area_km2
Burgos;09048;138,461
Burgos;09050;33,694
Burgos;09051;15,637
Burgos;09052;7,831
Burgos;09054;33,134
Burgos;09055;21,064
Burgos;09056;81,141
Burgos;09057;9,918
Burgos;09058;13,274
Burgos;09059;107,191
Burgos;09060;18,547
Burgos;09061;26,548
Burgos;09062;19,813
Burgos;09063;12,976
Burgos;09064;47,596
Burgos;09065;23,899
Burgos;09066;13,233
Burgos;09067;29,508
Burgos;09068;3,142
Burgos;09070;25,054
Burgos;09071;42,630
Burgos;09072;25,599
Burgos;09073;9,201
Burgos;09074;11,818
Burgos;09075;11,304
Burgos;09076;13,265
Burgos;09077;7,913
Burgos;09078;6,804
Burgos;09079;9,922
Burgos;09082;4,946
Burgos;09083;13,969
Burgos;09084;14,435
Burgos;09085;26,398
Burgos;09086;23,018
Burgos;09088;17,435
Burgos;09090;22,040
Burgos;09091;135,988
Burgos;09093;13,464
Burgos;09094;23,340
Burgos;09095;12,565
Burgos;09098;63,646
Burgos;09100;16,236
Burgos;09101;15,276
Burgos;09102;16,804
Burgos;09103;52,874
Burgos;09104;18,476
Burgos;09105;37,848
Burgos;09108;31,225
Burgos;09109;260,213
Burgos;09110;38,093
Burgos;09112;34,326
Burgos;09113;41,038
Burgos;09114;23,487
Burgos;09115;9,077
Burgos;09117;11,907
Burgos;09119;13,247
Burgos;09120;18,837
Burgos;09122;29,594
Burgos;09123;6,928
Burgos;09124;137,407
Burgos;09125;102,628
Burgos;09127;24,820
Burgos;09128;8,576
Burgos;09129;61,118
Burgos;09130;13,995
Burgos;09131;13,682
Burgos;09132;9,668
Burgos;09133;12,137
Burgos;09134;29,449
Burgos;09135;9,085
Burgos;09136;17,036
Burgos;09137;22,407
Burgos;09138;6,964
Burgos;09139;12,802
Burgos;09140;38,958
Burgos;09141;12,019
Burgos;09143;31,964
Burgos;09144;17,341
Burgos;09148;19,741
Burgos;09149;16,332
Burgos;09151;75,450
Burgos;09152;57,668
Burgos;09154;7,895
Burgos;09155;82,244
Burgos;09159;10,212
Burgos;09160;12,211
Burgos;09162;19,372
Burgos;09163;80,779
Burgos;09164;33,556
Burgos;09166;36,553
Burgos;09167;14,070
Burgos;09168;29,970
Burgos;09169;20,646
Burgos;09170;12,774
Burgos;09172;48,667
Burgos;09173;33,154
Burgos;09174;97,741
Burgos;09175;85,097
Burgos;09176;8,289
Burgos;09177;129,939
Burgos;09178;5,634
Burgos;09179;15,015
Burgos;09180;34,517
Burgos;09181;66,388
Burgos;09182;16,903
Burgos;09183;21,547
Burgos;09184;17,436
Burgos;09189;75,765
Burgos;09190;45,854
Burgos;09191;25,026
Burgos;09192;30,900
Burgos;09194;166,271
Burgos;09195;15,178
Burgos;09196;26,857
Burgos;09197;25,152
Burgos;09198;33,585
Burgos;09199;16,032
Burgos;09200;34,000
Burgos;09201;18,308
Burgos;09202;6,576
Burgos;09206;13,402
Burgos;09208;59,589
Burgos;09209;213,871
Burgos;09211;109,138
Burgos;09213;122,195
Burgos;09214;99,995
Burgos;09215;153,229
Burgos;09216;120,086
Burgos;09217;128,996
Burgos;09218;22,010
Burgos;09219;101,239
Burgos;09220;22,686
Burgos;09221;11,799
Burgos;09223;5,890
Burgos;09224;37,107
Burgos;09225;26,735
Burgos;09226;15,100
Burgos;09227;23,516
Burgos;09228;13,796
Burgos;09229;22,332
Burgos;09230;8,789
Burgos;09231;28,408
Burgos;09232;68,508
Burgos;09235;26,011
Burgos;09236;7,037
Burgos;09238;161,517
Burgos;09239;14,975
Burgos;09241;9,335
Burgos;09242;27,746
Burgos;09243;23,104
Burgos;09244;20,315
Burgos;09246;70,340
Burgos;09247;10,333
Burgos;09248;15,725
Burgos;09249;8,685
Burgos;09250;24,256
Burgos;09251;58,337
Burgos;09253;15,186
Burgos;09255;29,788
Burgos;09256;69,816
Burgos;09257;11,322
Burgos;09258;28,395
Burgos;09259;49,026
Burgos;09261;64,488
Burgos;09262;29,006
Burgos;09265;13,392
Burgos;09266;68,712
Burgos;09267;28,150
Burgos;09268;32,494
Burgos;09269;11,004
Burgos;09270;68,267
Burgos;09272;81,842
Burgos;09273;10,776
Burgos;09274;30,521
Burgos;09275;35,327
Burgos;09276;18,615
Burgos;09277;16,375
Burgos;09279;20,819
Burgos;09280;12,355
Burgos;09281;10,728
