Provincia;Periodo;Edad_media_de_la_población;Porcentaje_de_hogares_unipersonales;Porcentaje_de_población_española;Porcentaje_de_población_extranjera;Tamaño_medio_del_hogar;100_y_más_años;De_0_a_4_años;De_5_a_9_años;De_10_a_14_años;De_15_a_19_años;De_20_a_24_años;De_25_a_29_años;De_30_a_34_años;De_35_a_39_años;De_40_a_44_años;De_45_a_49_años;De_50_a_54_años;De_55_a_59_años;De_60_a_64_años;De_65_a_69_años;De_70_a_74_años;De_75_a_79_años;De_80_a_84_años;De_85_a_89_años;De_90_a_94_años;De_95_a_99_años;poblacion__menor_16;poblacion_16_64;poblacion_mayor_65;Indice_Envejecimiento;Tasa_Dependencia;Hombres;Mujeres;Población;%_Hombres;%_Mujeres;area_km2;Densidad de población
Avila;2021;52,629;42,611;95,082;4,918;2,091;83;5168;6399;7175;7027;7208;7286;7890;9091;11200;11900;12440;12963;11966;9601;8689;7505;6190;5458;2862;797;20139;97574;41185;2,045;0,628;79884;79014;158898;50,274;49,726;8048,839;19,742
Avila;2022;52,431;42,398;93,945;6,055;2,091;112;4839;6315;7174;7092;7192;7275;7681;8827;10995;11935;12373;13090;12441;10126;8795;7667;5855;5498;2968;852;19739;97490;41873;2,121;0,632;80060;79042;159102;50,320;49,680;8048,839;19,767
Avila;2023;52,661;42,877;93,584;6,416;2,079;135;4802;6259;7220;7280;7212;7198;7660;8786;10722;12081;12292;12997;12856;10494;8945;7814;5875;5237;3026;873;19732;97633;42399;2,149;0,636;80310;79454;159764;50,268;49,732;8048,839;19,849
Burgos;2021;50,117;38,829;91,960;8,040;2,218;195;12436;15552;16866;15990;16041;15944;18129;21393;26968;28234;28051;28035;26338;21750;19086;15745;11767;10248;5654;1620;48029;221948;86065;1,792;0,604;178040;178002;356042;50,005;49,995;14031,969;25,374
Burgos;2022;50,103;39,282;91,879;8,121;2,217;211;11769;15089;17014;16196;16215;15710;17522;20640;25789;28525;28103;28101;26653;22442;19301;16353;11396;10341;5747;1729;47102;220224;87520;1,858;0,611;177509;177337;354846;50,024;49,976;14031,969;25,288
Burgos;2023;50,207;39,673;91,228;8,772;2,200;229;11580;14861;17225;16723;16637;16046;17616;20367;24968;28756;28295;28211;26864;23247;19801;16709;11696;9965;5782;1792;46997;221152;89221;1,898;0,616;178592;178778;357370;49,974;50,026;14031,969;25,468
Leon;2021;53,569;40,208;95,979;4,021;2,121;257;13010;15983;17833;18069;18291;18915;21602;27258;32796;34311;35818;37698;36133;29590;26033;22333;18482;17345;8416;2262;50423;277294;124718;2,473;0,632;220034;232401;452435;48,633;51,367;15582,163;29,035
Leon;2022;53,824;40,987;95,804;4,196;2,096;281;12454;15639;17784;18091;18330;18399;20838;26083;31916;34061;35515;37420;36594;30718;26188;22829;17439;17505;8728;2458;49492;273632;126146;2,549;0,642;218430;230840;449270;48,619;51,381;15582,163;28,832
Leon;2023;53,723;41,262;95,251;4,749;2,092;306;12140;15340;17729;18390;18514;18468;20506;25089;31190;34129;35265;37165;36944;32079;26830;23174;17262;16389;9163;2501;48888;271981;127704;2,612;0,649;218038;230535;448573;48,607;51,393;15582,163;28,788
Palencia;2021;51,484;37,884;94,920;5,080;2,207;89;5134;6128;6375;6551;6740;7082;7951;9557;11443;11564;12451;13387;13243;10874;9001;7459;5390;5154;2755;818;18944;98662;41540;2,193;0,613;78883;80263;159146;49,566;50,434;8048,895;19,772
