Provincia;CMuni;Periodo;Edad_media_de_la_población;Porcentaje_de_hogares_unipersonales;Porcentaje_de_población_española;Porcentaje_de_población_extranjera;Tamaño_medio_del_hogar
Avila;05044;2022;58,800;49,600;96,800;3,200;1,900
Avila;05044;2023;59,800;52,000;97,500;2,500;1,900
Avila;05045;2021;55,000;48,800;98,800;1,200;2,100
Avila;05045;2022;54,400;45,200;98,900;1,100;2,200
Avila;05045;2023;53,400;48,800;97,800;2,200;2,200
Avila;05046;2021;49,700;14,300;100,000;0,000;2,600
Avila;05046;2022;50,800;0,000;100,000;0,000;3,000
Avila;05046;2023;51,500;14,300;100,000;0,000;2,500
Avila;05047;2021;51,070;35,508;94,997;5,003;2,201
Avila;05047;2022;51,768;37,994;96,380;3,620;2,101
Avila;05047;2023;48,638;38,556;93,361;6,639;2,200
Avila;05048;2021;61,200;52,700;99,000;1,000;1,800
Avila;05048;2022;61,600;55,600;100,000;0,000;1,800
Avila;05048;2023;60,700;48,200;99,000;1,000;1,800
Avila;05049;2021;53,300;42,500;98,600;1,400;2,100
Avila;05049;2022;53,200;43,600;98,800;1,200;2,100
Avila;05049;2023;53,400;42,500;98,100;1,900;2,100
Avila;05051;2021;55,200;54,800;99,400;0,600;1,900
Avila;05051;2022;54,700;50,000;97,500;2,500;1,900
Avila;05051;2023;55,200;51,200;97,500;2,500;1,900
Avila;05052;2021;61,900;61,200;100,000;0,000;1,600
Avila;05052;2022;61,600;63,000;100,000;0,000;1,600
Avila;05052;2023;62,700;61,500;100,000;0,000;1,600
Avila;05053;2021;68,600;61,400;100,000;0,000;1,600
Avila;05053;2022;65,400;59,100;100,000;0,000;1,600
Avila;05053;2023;65,900;65,100;100,000;0,000;1,500
Avila;05054;2021;49,100;40,600;96,500;3,500;2,100
Avila;05054;2022;49,200;41,900;94,800;5,200;2,000
Avila;05054;2023;49,800;43,300;94,000;6,000;2,000
Avila;05055;2021;52,300;51,600;90,100;9,900;1,900
Avila;05055;2022;52,100;51,300;88,800;11,200;1,900
Avila;05055;2023;51,800;51,600;86,600;13,400;1,900
Avila;05056;2021;57,700;31,600;98,900;1,100;2,400
Avila;05056;2022;52,300;24,500;97,800;2,200;2,800
Avila;05056;2023;56,100;26,200;98,200;1,800;2,700
Avila;05057;2021;50,327;41,519;87,941;12,059;2,082
Avila;05057;2022;49,831;41,555;86,905;13,095;2,080
Avila;05057;2023;47,075;37,350;85,438;14,562;2,251
Avila;05058;2021;56,900;48,700;100,000;0,000;1,900
Avila;05058;2022;56,200;50,000;97,100;2,900;1,900
Avila;05058;2023;57,100;51,400;98,500;1,500;1,800
Avila;05059;2021;61,600;51,200;100,000;0,000;1,800
Avila;05059;2022;62,500;55,000;100,000;0,000;1,800
Avila;05059;2023;60,100;54,600;92,300;7,700;1,800
Avila;05060;2021;58,300;31,700;99,000;1,000;2,500
Avila;05060;2022;59,100;34,200;99,000;1,000;2,400
Avila;05060;2023;58,500;31,700;98,100;1,900;2,500
Avila;05061;2021;42,300;27,800;95,000;5,000;2,500
Avila;05061;2022;41,700;30,900;95,900;4,100;2,400
Avila;05061;2023;42,400;30,300;95,400;4,600;2,400
