Provincia;CMuni;CUSEC;Periodo;Hombres;Mujeres;Población;%_Hombres;%_Mujeres
Burgos;09059;0905905005;2023;426;492;918;46,410;53,590
Burgos;09059;0905905006;2021;319;382;701;45,510;54,490
Burgos;09059;0905905006;2022;326;383;709;45,980;54,020
Burgos;09059;0905905006;2023;323;393;716;45,110;54,890
Burgos;09059;0905905007;2021;372;504;876;42,470;57,530
Burgos;09059;0905905007;2022;377;492;869;43,380;56,620
Burgos;09059;0905905007;2023;591;779;1370;43,140;56,860
Burgos;09059;0905905008;2021;273;336;609;44,830;55,170
Burgos;09059;0905905008;2022;289;356;645;44,810;55,190
Burgos;09059;0905905008;2023;303;357;660;45,910;54,090
Burgos;09059;0905905009;2021;555;722;1277;43,460;56,540
Burgos;09059;0905905009;2022;550;723;1273;43,210;56,790
Burgos;09059;0905905009;2023;841;1107;1948;43,170;56,830
Burgos;09059;0905905010;2021;620;713;1333;46,510;53,490
Burgos;09059;0905905010;2022;588;685;1273;46,190;53,810
Burgos;09059;0905905010;2023;566;674;1240;45,650;54,350
Burgos;09059;0905905011;2021;553;575;1128;49,020;50,980
Burgos;09059;0905905011;2022;543;578;1121;48,440;51,560
Burgos;09059;0905905011;2023;523;569;1092;47,890;52,110
Burgos;09059;0905905012;2021;397;433;830;47,830;52,170
Burgos;09059;0905905012;2022;376;419;795;47,300;52,700
Burgos;09059;0905905012;2023;379;432;811;46,730;53,270
Burgos;09059;0905905013;2021;586;661;1247;46,990;53,010
Burgos;09059;0905905013;2022;575;654;1229;46,790;53,210
Burgos;09059;0905905013;2023;574;664;1238;46,370;53,630
Burgos;09059;0905905014;2021;461;475;936;49,250;50,750
Burgos;09059;0905905014;2022;444;470;914;48,580;51,420
Burgos;09059;0905905014;2023;473;471;944;50,110;49,890
Burgos;09059;0905905015;2021;636;775;1411;45,070;54,930
Burgos;09059;0905905015;2022;650;783;1433;45,360;54,640
Burgos;09059;0905905015;2023;639;766;1405;45,480;54,520
Burgos;09059;0905905016;2021;562;655;1217;46,180;53,820
Burgos;09059;0905905016;2022;557;650;1207;46,150;53,850
Burgos;09059;0905905016;2023;547;644;1191;45,930;54,070
Burgos;09059;0905905017;2021;368;420;788;46,700;53,300
Burgos;09059;0905905017;2022;368;424;792;46,460;53,540
Burgos;09059;0905905017;2023;362;421;783;46,230;53,770
Burgos;09059;0905905018;2021;338;410;748;45,190;54,810
Burgos;09059;0905905018;2022;322;411;733;43,930;56,070
Burgos;09059;0905905018;2023;323;411;734;44,010;55,990
Burgos;09059;0905905019;2021;371;417;788;47,080;52,920
Burgos;09059;0905905019;2022;363;405;768;47,270;52,730
Burgos;09059;0905905019;2023;372;405;777;47,880;52,120
Burgos;09059;0905905020;2021;459;523;982;46,740;53,260
Burgos;09059;0905905020;2022;448;543;991;45,210;54,790
Burgos;09059;0905905020;2023;451;554;1005;44,880;55,120
Burgos;09059;0905905021;2021;429;460;889;48,260;51,740
Burgos;09059;0905905021;2022;410;465;875;46,860;53,140
Burgos;09059;0905905021;2023;430;471;901;47,720;52,280
Burgos;09059;0905905022;2021;595;728;1323;44,970;55,030
Burgos;09059;0905905022;2022;587;711;1298;45,220;54,780
Burgos;09059;0905905022;2023;573;696;1269;45,150;54,850
Burgos;09059;0905905023;2021;316;412;728;43,410;56,590
Burgos;09059;0905905023;2022;333;427;760;43,820;56,180
Burgos;09059;0905905023;2023;337;431;768;43,880;56,120
Burgos;09059;0905905024;2021;637;718;1355;47,010;52,990
Burgos;09059;0905905024;2022;608;702;1310;46,410;53,590
Burgos;09059;0905905024;2023;621;700;1321;47,010;52,990
Burgos;09059;0905905025;2021;545;719;1264;43,120;56,880
Burgos;09059;0905905025;2022;544;722;1266;42,970;57,030
Burgos;09059;0905905025;2023;532;721;1253;42,460;57,540
Burgos;09059;0905905026;2021;415;474;889;46,680;53,320
Burgos;09059;0905905026;2022;419;468;887;47,240;52,760
Burgos;09059;0905905026;2023;412;461;873;47,190;52,810
Burgos;09059;0905905027;2021;362;477;839;43,150;56,850
Burgos;09059;0905905027;2022;363;466;829;43,790;56,210
Burgos;09059;0905905027;2023;355;457;812;43,720;56,280
Burgos;09059;0905905028;2021;318;378;696;45,690;54,310
Burgos;09059;0905905028;2022;311;384;695;44,750;55,250
Burgos;09059;0905905028;2023;299;382;681;43,910;56,090
Burgos;09059;0905905029;2021;364;461;825;44,120;55,880
Burgos;09059;0905905029;2022;382;473;855;44,680;55,320
Burgos;09059;0905905029;2023;381;478;859;44,350;55,650
Burgos;09059;0905905030;2021;362;431;793;45,650;54,350
Burgos;09059;0905905030;2022;343;419;762;45,010;54,990
Burgos;09059;0905905030;2023;342;406;748;45,720;54,280
Burgos;09059;0905905031;2021;400;447;847;47,230;52,770
Burgos;09059;0905905031;2022;411;443;854;48,130;51,870
Burgos;09059;0905905031;2023;418;454;872;47,940;52,060
Burgos;09059;0905905032;2021;614;728;1342;45,750;54,250
Burgos;09059;0905905032;2022;595;720;1315;45,250;54,750
Burgos;09059;0905905032;2023;600;729;1329;45,150;54,850
Burgos;09059;0905905033;2021;776;907;1683;46,110;53,890
Burgos;09059;0905905033;2022;777;893;1670;46,530;53,470
Burgos;09059;0905905033;2023;797;893;1690;47,160;52,840
Burgos;09059;0905905034;2021;303;365;668;45,360;54,640
Burgos;09059;0905905034;2022;287;359;646;44,430;55,570
Burgos;09059;0905905035;2021;961;996;1957;49,110;50,890
Burgos;09059;0905905035;2022;981;1010;1991;49,270;50,730
Burgos;09059;0905905035;2023;969;999;1968;49,240;50,760
Burgos;09059;0905905036;2021;230;309;539;42,670;57,330
Burgos;09059;0905905036;2022;227;306;533;42,590;57,410
Burgos;09059;0905905037;2021;406;435;841;48,280;51,720
Burgos;09059;0905905037;2022;403;441;844;47,750;52,250
Burgos;09059;0905905037;2023;397;439;836;47,490;52,510
Burgos;09059;0905905038;2021;1072;1031;2103;50,970;49,030
Burgos;09059;0905905038;2022;1043;1007;2050;50,880;49,120
Burgos;09059;0905905038;2023;1021;989;2010;50,800;49,200
Burgos;09059;0905905039;2021;336;398;734;45,780;54,220
Burgos;09059;0905905039;2022;332;397;729;45,540;54,460
Burgos;09059;0905905039;2023;317;412;729;43,480;56,520
Burgos;09059;0905905040;2021;791;966;1757;45,020;54,980
Burgos;09059;0905905040;2022;787;937;1724;45,650;54,350
Burgos;09059;0905905040;2023;760;931;1691;44,940;55,060
Burgos;09059;0905905041;2021;760;801;1561;48,690;51,310
Burgos;09059;0905905041;2022;767;804;1571;48,820;51,180
Burgos;09059;0905905041;2023;769;803;1572;48,920;51,080
Burgos;09059;0905905042;2021;1106;1151;2257;49,000;51,000
Burgos;09059;0905905042;2022;1090;1141;2231;48,860;51,140
Burgos;09059;0905905042;2023;1078;1096;2174;49,590;50,410
Burgos;09059;0905905043;2021;682;745;1427;47,790;52,210
Burgos;09059;0905905043;2022;669;748;1417;47,210;52,790
Burgos;09059;0905905043;2023;675;750;1425;47,370;52,630
Burgos;09059;0905905044;2021;454;511;965;47,050;52,950
Burgos;09059;0905905044;2022;448;506;954;46,960;53,040
Burgos;09059;0905905044;2023;487;518;1005;48,460;51,540
Burgos;09059;0905905045;2021;625;702;1327;47,100;52,900
Burgos;09059;0905905045;2022;607;694;1301;46,660;53,340
Burgos;09059;0905905045;2023;616;703;1319;46,700;53,300
Burgos;09059;0905905046;2021;519;525;1044;49,710;50,290
Burgos;09059;0905905046;2022;508;517;1025;49,560;50,440
Burgos;09059;0905905046;2023;509;522;1031;49,370;50,630
Burgos;09059;0905905047;2021;589;554;1143;51,530;48,470
Burgos;09059;0905905047;2022;617;584;1201;51,370;48,630
Burgos;09059;0905905047;2023;661;640;1301;50,810;49,190
Burgos;09059;0905905048;2021;420;443;863;48,670;51,330
Burgos;09059;0905905048;2022;427;451;878;48,630;51,370
Burgos;09059;0905905048;2023;446;475;921;48,430;51,570
Burgos;09059;0905905049;2021;525;502;1027;51,120;48,880
Burgos;09059;0905905049;2022;517;501;1018;50,790;49,210
Burgos;09059;0905905049;2023;511;511;1022;50,000;50,000
Burgos;09059;0905905050;2021;473;519;992;47,680;52,320
Burgos;09059;0905905050;2022;478;522;1000;47,800;52,200
Burgos;09059;0905905050;2023;465;501;966;48,140;51,860
Burgos;09059;0905905051;2021;571;560;1131;50,490;49,510
Burgos;09059;0905905051;2022;653;670;1323;49,360;50,640
Burgos;09059;0905905051;2023;721;741;1462;49,320;50,680
Burgos;09059;0905905052;2021;726;723;1449;50,100;49,900
Burgos;09059;0905905052;2022;745;712;1457;51,130;48,870
Burgos;09059;0905905052;2023;776;743;1519;51,090;48,910
Burgos;09059;0905906001;2021;329;371;700;47,000;53,000
Burgos;09059;0905906001;2022;325;371;696;46,700;53,300
Burgos;09059;0905906001;2023;363;409;772;47,020;52,980
Burgos;09059;0905906002;2021;297;393;690;43,040;56,960
Burgos;09059;0905906002;2022;298;421;719;41,450;58,550
Burgos;09059;0905906002;2023;313;445;758;41,290;58,710
Burgos;09059;0905906003;2021;374;407;781;47,890;52,110
Burgos;09059;0905906003;2022;385;412;797;48,310;51,690
Burgos;09059;0905906003;2023;442;477;919;48,100;51,900
Burgos;09059;0905906004;2021;521;653;1174;44,380;55,620
Burgos;09059;0905906004;2022;520;653;1173;44,330;55,670
Burgos;09059;0905906004;2023;523;670;1193;43,840;56,160
Burgos;09059;0905906005;2021;574;720;1294;44,360;55,640
Burgos;09059;0905906005;2022;567;710;1277;44,400;55,600
Burgos;09059;0905906005;2023;562;712;1274;44,110;55,890
Burgos;09059;0905906006;2021;594;663;1257;47,260;52,740
Burgos;09059;0905906006;2022;588;667;1255;46,850;53,150
Burgos;09059;0905906006;2023;590;670;1260;46,830;53,170
Burgos;09059;0905906007;2021;805;980;1785;45,100;54,900
Burgos;09059;0905906007;2022;808;982;1790;45,140;54,860
Burgos;09059;0905906007;2023;847;1025;1872;45,250;54,750
Burgos;09059;0905906008;2021;454;544;998;45,490;54,510
Burgos;09059;0905906008;2022;462;556;1018;45,380;54,620
Burgos;09059;0905906008;2023;448;541;989;45,300;54,700
Burgos;09059;0905906009;2021;331;381;712;46,490;53,510
Burgos;09059;0905906009;2022;322;367;689;46,730;53,270
Burgos;09059;0905906009;2023;624;743;1367;45,650;54,350
Burgos;09059;0905906010;2021;310;363;673;46,060;53,940
Burgos;09059;0905906010;2022;303;360;663;45,700;54,300
Burgos;09059;0905906011;2021;323;368;691;46,740;53,260
Burgos;09059;0905906011;2022;313;362;675;46,370;53,630
Burgos;09059;0905906011;2023;313;363;676;46,300;53,700
Burgos;09059;0905906012;2021;562;693;1255;44,780;55,220
Burgos;09059;0905906012;2022;549;673;1222;44,930;55,070
Burgos;09059;0905906012;2023;544;665;1209;45,000;55,000
Burgos;09059;0905907001;2021;386;485;871;44,320;55,680
Burgos;09059;0905907001;2022;389;479;868;44,820;55,180
Burgos;09059;0905907001;2023;384;465;849;45,230;54,770
Burgos;09059;0905907002;2021;446;541;987;45,190;54,810
Burgos;09059;0905907002;2022;454;521;975;46,560;53,440
Burgos;09059;0905907002;2023;467;519;986;47,360;52,640
Burgos;09059;0905907003;2021;660;728;1388;47,550;52,450
Burgos;09059;0905907003;2022;626;699;1325;47,250;52,750
Burgos;09059;0905907003;2023;606;677;1283;47,230;52,770
Burgos;09059;0905907004;2021;416;564;980;42,450;57,550
Burgos;09059;0905907004;2022;408;558;966;42,240;57,760
Burgos;09059;0905907004;2023;406;554;960;42,290;57,710
Burgos;09059;0905907005;2021;368;423;791;46,520;53,480
Burgos;09059;0905907005;2022;366;401;767;47,720;52,280
Burgos;09059;0905907005;2023;373;410;783;47,640;52,360
Burgos;09059;0905907006;2021;576;667;1243;46,340;53,660
Burgos;09059;0905907006;2022;576;675;1251;46,040;53,960
Burgos;09059;0905907006;2023;549;640;1189;46,170;53,830
Burgos;09059;0905907007;2021;746;704;1450;51,450;48,550
Burgos;09059;0905907007;2022;766;731;1497;51,170;48,830
Burgos;09059;0905907007;2023;778;761;1539;50,550;49,450
Burgos;09059;0905907008;2021;722;813;1535;47,040;52,960
Burgos;09059;0905907008;2022;754;838;1592;47,360;52,640
Burgos;09059;0905907008;2023;741;812;1553;47,710;52,290
Burgos;09059;0905907009;2021;402;531;933;43,090;56,910
Burgos;09059;0905907009;2022;385;517;902;42,680;57,320
Burgos;09059;0905907009;2023;406;535;941;43,150;56,850
Burgos;09059;0905907010;2021;879;875;1754;50,110;49,890
Burgos;09059;0905907010;2022;866;881;1747;49,570;50,430
Burgos;09059;0905907010;2023;851;890;1741;48,880;51,120
Burgos;09059;0905908001;2021;336;355;691;48,630;51,370
Burgos;09059;0905908001;2022;330;359;689;47,900;52,100
Burgos;09059;0905908001;2023;344;372;716;48,040;51,960
Burgos;09059;0905908002;2021;641;687;1328;48,270;51,730
Burgos;09059;0905908002;2022;641;695;1336;47,980;52,020
Burgos;09059;0905908002;2023;623;694;1317;47,300;52,700
Burgos;09059;0905908003;2021;1164;1248;2412;48,260;51,740
Burgos;09059;0905908003;2022;1157;1243;2400;48,210;51,790
Burgos;09059;0905908003;2023;1163;1280;2443;47,610;52,390
Burgos;09059;0905908004;2021;704;758;1462;48,150;51,850
Burgos;09059;0905908004;2022;680;733;1413;48,120;51,880
Burgos;09059;0905908004;2023;696;730;1426;48,810;51,190
Burgos;09059;0905908005;2021;1614;1577;3191;50,580;49,420
Burgos;09059;0905908005;2022;1610;1548;3158;50,980;49,020
Burgos;09059;0905908005;2023;965;874;1839;52,470;47,530
Burgos;09059;0905908006;2021;983;1063;2046;48,040;51,960
Burgos;09059;0905908006;2022;1062;1096;2158;49,210;50,790
Burgos;09059;0905908006;2023;1127;1146;2273;49,580;50,420
Burgos;09059;0905908007;2021;467;506;973;48,000;52,000
Burgos;09059;0905908007;2022;477;508;985;48,430;51,570
Burgos;09059;0905908007;2023;495;520;1015;48,770;51,230
Burgos;09059;0905908008;2021;893;907;1800;49,610;50,390
Burgos;09059;0905908008;2022;877;886;1763;49,740;50,260
Burgos;09059;0905908008;2023;862;871;1733;49,740;50,260
Burgos;09059;0905908009;2021;382;422;804;47,510;52,490
Burgos;09059;0905908009;2022;371;423;794;46,730;53,270
Burgos;09059;0905908009;2023;373;408;781;47,760;52,240
Burgos;09059;0905908010;2021;781;781;1562;50,000;50,000
Burgos;09059;0905908010;2022;746;775;1521;49,050;50,950
Burgos;09059;0905908010;2023;744;769;1513;49,170;50,830
Burgos;09059;0905908011;2021;921;1005;1926;47,820;52,180
Burgos;09059;0905908011;2022;932;1019;1951;47,770;52,230
Burgos;09059;0905908011;2023;941;1022;1963;47,940;52,060
Burgos;09059;0905908012;2023;728;725;1453;50,100;49,900
Burgos;09059;0905909001;2021;474;524;998;47,490;52,510
Burgos;09059;0905909001;2022;466;509;975;47,790;52,210
Burgos;09059;0905909001;2023;459;520;979;46,880;53,120
Burgos;09059;0905909002;2021;398;462;860;46,280;53,720
Burgos;09059;0905909002;2022;387;461;848;45,640;54,360
Burgos;09059;0905909002;2023;392;454;846;46,340;53,660
Burgos;09059;0905909003;2021;583;590;1173;49,700;50,300
Burgos;09059;0905909003;2022;567;583;1150;49,300;50,700
Burgos;09059;0905909003;2023;562;590;1152;48,780;51,220
Burgos;09059;0905909004;2021;321;355;676;47,490;52,510
Burgos;09059;0905909004;2022;336;351;687;48,910;51,090
Burgos;09059;0905909004;2023;339;342;681;49,780;50,220
Burgos;09059;0905909005;2021;589;582;1171;50,300;49,700
Burgos;09059;0905909005;2022;582;577;1159;50,220;49,780
Burgos;09059;0905909005;2023;560;561;1121;49,960;50,040
Burgos;09059;0905909006;2021;441;407;848;52,000;48,000
Burgos;09059;0905909006;2022;426;417;843;50,530;49,470
Burgos;09059;0905909006;2023;432;432;864;50,000;50,000
Burgos;09059;0905909007;2021;887;979;1866;47,530;52,470
Burgos;09059;0905909007;2022;860;948;1808;47,570;52,430
Burgos;09059;0905909007;2023;867;955;1822;47,590;52,410
Burgos;09059;0905909008;2021;429;506;935;45,880;54,120
Burgos;09059;0905909008;2022;414;471;885;46,780;53,220
Burgos;09059;0905909008;2023;707;801;1508;46,880;53,120
Burgos;09059;0905909009;2021;411;474;885;46,440;53,560
Burgos;09059;0905909009;2022;401;462;863;46,470;53,530
Burgos;09059;0905909009;2023;418;466;884;47,290;52,710
Burgos;09059;0905909010;2021;342;392;734;46,590;53,410
Burgos;09059;0905909010;2022;341;400;741;46,020;53,980
Burgos;09059;0905909010;2023;343;419;762;45,010;54,990
Burgos;09059;0905909011;2021;445;515;960;46,350;53,650
Burgos;09059;0905909011;2022;435;499;934;46,570;53,430
Burgos;09059;0905909011;2023;453;508;961;47,140;52,860
Burgos;09059;0905909012;2021;819;855;1674;48,920;51,080
Burgos;09059;0905909012;2022;819;842;1661;49,310;50,690
Burgos;09059;0905909012;2023;823;862;1685;48,840;51,160
Burgos;09059;0905909013;2021;424;445;869;48,790;51,210
Burgos;09059;0905909013;2022;413;434;847;48,760;51,240
Burgos;09059;0905909013;2023;406;419;825;49,210;50,790
Burgos;09059;0905909014;2021;470;520;990;47,470;52,530
Burgos;09059;0905909014;2022;465;510;975;47,690;52,310
Burgos;09059;0905909014;2023;467;528;995;46,930;53,070
Burgos;09059;0905909015;2021;476;501;977;48,720;51,280
Burgos;09059;0905909015;2022;465;466;931;49,950;50,050
Burgos;09059;0905909015;2023;465;459;924;50,320;49,680
Burgos;09059;0905909016;2021;1070;998;2068;51,740;48,260
Burgos;09059;0905909016;2022;1112;1015;2127;52,280;47,720
Burgos;09059;0905909016;2023;1132;1024;2156;52,500;47,500
Burgos;09059;0905909017;2021;341;387;728;46,840;53,160
Burgos;09059;0905909017;2022;344;383;727;47,320;52,680
Burgos;09059;0905909017;2023;340;377;717;47,420;52,580
Burgos;09059;0905909018;2021;289;323;612;47,220;52,780
Burgos;09059;0905909018;2022;290;315;605;47,930;52,070
Burgos;09059;0905909019;2021;431;476;907;47,520;52,480
Burgos;09059;0905909019;2022;424;467;891;47,590;52,410
Burgos;09059;0905909019;2023;412;461;873;47,190;52,810
Burgos;09059;0905909020;2021;252;272;524;48,090;51,910
Burgos;09059;0905909020;2022;249;269;518;48,070;51,930
Burgos;09059;0905909020;2023;716;795;1511;47,390;52,610
Burgos;09059;0905909021;2021;493;589;1082;45,560;54,440
Burgos;09059;0905909021;2022;480;594;1074;44,690;55,310
Burgos;09059;0905909021;2023;479;592;1071;44,720;55,280
Burgos;09059;0905909022;2021;608;658;1266;48,030;51,970
Burgos;09059;0905909022;2022;605;661;1266;47,790;52,210
Burgos;09059;0905909022;2023;596;653;1249;47,720;52,280
Burgos;09059;0905909023;2021;754;788;1542;48,900;51,100
Burgos;09059;0905909023;2022;683;746;1429;47,800;52,200
Burgos;09059;0905909023;2023;693;744;1437;48,230;51,770
Burgos;09059;0905909024;2021;533;563;1096;48,630;51,370
Burgos;09059;0905909024;2022;524;552;1076;48,700;51,300
Burgos;09059;0905909024;2023;522;558;1080;48,330;51,670
Burgos;09059;0905909025;2021;372;413;785;47,390;52,610
Burgos;09059;0905909025;2022;379;419;798;47,490;52,510
Burgos;09059;0905909025;2023;370;428;798;46,370;53,630
Burgos;09059;0905909026;2021;625;682;1307;47,820;52,180
Burgos;09059;0905909026;2022;616;673;1289;47,790;52,210
Burgos;09059;0905909026;2023;615;684;1299;47,340;52,660
Burgos;09059;0905909027;2021;500;598;1098;45,540;54,460
Burgos;09059;0905909027;2022;501;593;1094;45,800;54,200
Burgos;09059;0905909027;2023;494;583;1077;45,870;54,130
Burgos;09059;0905909028;2021;454;480;934;48,610;51,390
Burgos;09059;0905909028;2022;434;462;896;48,440;51,560
Burgos;09059;0905909028;2023;424;443;867;48,900;51,100
Burgos;09059;0905909029;2021;500;529;1029;48,590;51,410
Burgos;09059;0905909029;2022;478;512;990;48,280;51,720
Burgos;09059;0905909029;2023;473;536;1009;46,880;53,120
Burgos;09059;0905909030;2021;447;517;964;46,370;53,630
Burgos;09059;0905909030;2022;445;511;956;46,550;53,450
Burgos;09059;0905909031;2021;486;503;989;49,140;50,860
Burgos;09059;0905909031;2022;478;493;971;49,230;50,770
Burgos;09059;0905909031;2023;473;489;962;49,170;50,830
Burgos;09059;0905909032;2021;332;363;695;47,770;52,230
Burgos;09059;0905909032;2022;311;356;667;46,630;53,370
Burgos;09059;0905909032;2023;303;360;663;45,700;54,300
Burgos;09059;0905909033;2021;360;361;721;49,930;50,070
Burgos;09059;0905909033;2022;347;354;701;49,500;50,500
Burgos;09059;0905909033;2023;345;361;706;48,870;51,130
Burgos;09059;0905909034;2021;395;433;828;47,710;52,290
Burgos;09059;0905909034;2022;407;431;838;48,570;51,430
Burgos;09059;0905909034;2023;402;444;846;47,520;52,480
Burgos;09059;0905909035;2021;755;835;1590;47,480;52,520
Burgos;09059;0905909035;2022;727;803;1530;47,520;52,480
Burgos;09059;0905909035;2023;703;789;1492;47,120;52,880
Burgos;09059;0905909036;2021;353;414;767;46,020;53,980
Burgos;09059;0905909036;2022;355;416;771;46,040;53,960
Burgos;09059;0905909036;2023;368;428;796;46,230;53,770
Burgos;09059;0905909037;2021;436;456;892;48,880;51,120
Burgos;09059;0905909037;2022;411;441;852;48,240;51,760
Burgos;09059;0905909037;2023;411;441;852;48,240;51,760
Burgos;09059;0905909038;2021;477;503;980;48,670;51,330
Burgos;09059;0905909038;2022;464;495;959;48,380;51,620
Burgos;09059;0905909038;2023;454;482;936;48,500;51,500
Burgos;09059;0905909039;2021;513;554;1067;48,080;51,920
Burgos;09059;0905909039;2022;512;563;1075;47,630;52,370
Burgos;09059;0905909039;2023;501;556;1057;47,400;52,600
Burgos;09059;0905909040;2021;661;666;1327;49,810;50,190
Burgos;09059;0905909040;2022;661;647;1308;50,540;49,460
Burgos;09059;0905909040;2023;644;638;1282;50,230;49,770
Burgos;09059;0905909041;2021;1108;1178;2286;48,470;51,530
Burgos;09059;0905909041;2022;1164;1248;2412;48,260;51,740
Burgos;09059;0905909041;2023;1167;1278;2445;47,730;52,270
Burgos;09059;0905909042;2021;631;677;1308;48,240;51,760
Burgos;09059;0905909042;2022;631;683;1314;48,020;51,980
Burgos;09059;0905909042;2023;629;679;1308;48,090;51,910
Burgos;09059;0905909043;2021;1218;1265;2483;49,050;50,950
Burgos;09059;0905909043;2022;1198;1257;2455;48,800;51,200
Burgos;09059;0905909043;2023;1293;1348;2641;48,960;51,040
Burgos;09059;0905909044;2021;701;759;1460;48,010;51,990
Burgos;09059;0905909044;2022;707;755;1462;48,360;51,640
Burgos;09059;0905909044;2023;719;774;1493;48,160;51,840
Burgos;09060;0906001001;2021;78;60;138;56,520;43,480
Burgos;09060;0906001001;2022;80;58;138;57,970;42,030
Burgos;09060;0906001001;2023;81;60;141;57,450;42,550
Burgos;09061;0906101001;2021;92;71;163;56,440;43,560
Burgos;09061;0906101001;2022;90;73;163;55,210;44,790
Burgos;09061;0906101001;2023;87;71;158;55,060;44,940
Burgos;09062;0906201001;2021;16;24;40;40,000;60,000
Burgos;09062;0906201001;2022;16;24;40;40,000;60,000
Burgos;09062;0906201001;2023;16;23;39;41,030;58,970
Burgos;09063;0906301001;2021;151;100;251;60,160;39,840
Burgos;09063;0906301001;2022;148;97;245;60,410;39,590
Burgos;09063;0906301001;2023;148;100;248;59,680;40,320
Burgos;09064;0906401001;2021;208;206;414;50,240;49,760
Burgos;09064;0906401001;2022;210;199;409;51,340;48,660
Burgos;09064;0906401001;2023;200;188;388;51,550;48,450
Burgos;09065;0906501001;2021;96;69;165;58,180;41,820
Burgos;09065;0906501001;2022;98;77;175;56,000;44,000
Burgos;09065;0906501001;2023;97;77;174;55,750;44,250
Burgos;09066;0906601001;2021;40;16;56;71,430;28,570
Burgos;09066;0906601001;2022;37;17;54;68,520;31,480
Burgos;09066;0906601001;2023;35;15;50;70,000;30,000
Burgos;09067;0906701001;2021;231;203;434;53,230;46,770
Burgos;09067;0906701001;2022;227;199;426;53,290;46,710
Burgos;09067;0906701001;2023;229;193;422;54,270;45,730
Burgos;09068;0906801001;2021;15;10;25;60,000;40,000
Burgos;09068;0906801001;2022;14;10;24;58,330;41,670
Burgos;09068;0906801001;2023;13;8;21;61,900;38,100
Burgos;09070;0907001001;2021;20;10;30;66,670;33,330
Burgos;09070;0907001001;2022;20;10;30;66,670;33,330
Burgos;09070;0907001001;2023;26;15;41;63,410;36,590
Burgos;09071;0907101001;2021;24;21;45;53,330;46,670
Burgos;09071;0907101001;2022;21;22;43;48,840;51,160
Burgos;09071;0907101001;2023;27;23;50;54,000;46,000
Burgos;09072;0907201001;2021;237;211;448;52,900;47,100
Burgos;09072;0907201001;2022;249;221;470;52,980;47,020
Burgos;09072;0907201001;2023;264;226;490;53,880;46,120
Burgos;09073;0907301001;2021;783;634;1417;55,260;44,740
Burgos;09073;0907301001;2022;772;652;1424;54,210;45,790
Burgos;09073;0907301001;2023;786;667;1453;54,090;45,910
Burgos;09074;0907401001;2021;627;548;1175;53,360;46,640
Burgos;09074;0907401001;2022;640;566;1206;53,070;46,930
Burgos;09074;0907401001;2023;634;563;1197;52,970;47,030
Burgos;09075;0907501001;2021;64;45;109;58,720;41,280
Burgos;09075;0907501001;2022;62;45;107;57,940;42,060
Burgos;09075;0907501001;2023;64;45;109;58,720;41,280
Burgos;09076;0907601001;2021;18;7;25;72,000;28,000
Burgos;09076;0907601001;2022;19;6;25;76,000;24,000
Burgos;09076;0907601001;2023;18;6;24;75,000;25,000
Burgos;09077;0907701001;2021;16;13;29;55,170;44,830
Burgos;09077;0907701001;2022;15;12;27;55,560;44,440
Burgos;09077;0907701001;2023;16;12;28;57,140;42,860
Burgos;09078;0907801001;2021;18;14;32;56,250;43,750
Burgos;09078;0907801001;2022;17;14;31;54,840;45,160
Burgos;09078;0907801001;2023;15;13;28;53,570;46,430
Burgos;09079;0907901001;2021;29;20;49;59,180;40,820
Burgos;09079;0907901001;2022;29;19;48;60,420;39,580
Burgos;09079;0907901001;2023;30;20;50;60,000;40,000
Burgos;09082;0908201001;2021;19;14;33;57,580;42,420
Burgos;09082;0908201001;2022;21;16;37;56,760;43,240
Burgos;09082;0908201001;2023;20;15;35;57,140;42,860
Burgos;09083;0908301001;2021;13;12;25;52,000;48,000
Burgos;09083;0908301001;2022;15;12;27;55,560;44,440
Burgos;09083;0908301001;2023;13;13;26;50,000;50,000
Burgos;09084;0908401001;2021;116;57;173;67,050;32,950
Burgos;09084;0908401001;2022;111;57;168;66,070;33,930
Burgos;09084;0908401001;2023;107;57;164;65,240;34,760
Burgos;09085;0908501001;2021;343;302;645;53,180;46,820
Burgos;09085;0908501001;2022;340;292;632;53,800;46,200
Burgos;09085;0908501001;2023;331;283;614;53,910;46,090
Burgos;09086;0908601001;2021;455;352;807;56,380;43,620
Burgos;09086;0908601001;2022;472;361;833;56,660;43,340
Burgos;09086;0908601001;2023;465;374;839;55,420;44,580
Burgos;09088;0908801001;2021;35;24;59;59,320;40,680
Burgos;09088;0908801001;2022;34;22;56;60,710;39,290
Burgos;09088;0908801001;2023;36;21;57;63,160;36,840
Burgos;09090;0909001001;2021;26;23;49;53,060;46,940
Burgos;09090;0909001001;2022;25;23;48;52,080;47,920
Burgos;09090;0909001001;2023;26;25;51;50,980;49,020
Burgos;09091;0909101001;2021;406;356;762;53,280;46,720
Burgos;09091;0909101001;2022;414;354;768;53,910;46,090
Burgos;09091;0909101001;2023;398;365;763;52,160;47,840
Burgos;09093;0909301001;2021;108;81;189;57,140;42,860
Burgos;09093;0909301001;2022;108;80;188;57,450;42,550
Burgos;09093;0909301001;2023;108;75;183;59,020;40,980
Burgos;09094;0909401001;2021;34;20;54;62,960;37,040
Burgos;09094;0909401001;2022;33;19;52;63,460;36,540
Burgos;09094;0909401001;2023;34;22;56;60,710;39,290
