Provincia;CMuni;CUSEC;Periodo;Distribución_de_la_renta_P80_P20;Índice_de_Gini
Avila;05019;0501905005;2022;2,3;26,7
Avila;05019;0501905005;2023;2,2;26,7
Avila;05019;0501905006;2021;2,2;25,3
Avila;05019;0501905006;2022;2,1;25,7
Avila;05019;0501905006;2023;2,1;25
Avila;05019;0501906001;2021;2,7;31,7
Avila;05019;0501906001;2022;3;31,1
Avila;05019;0501906001;2023;3,2;31,8
Avila;05019;0501906002;2021;3,2;33
Avila;05019;0501906002;2022;2,9;32
Avila;05019;0501906002;2023;3;32,3
Avila;05019;0501906003;2021;2,3;26,1
Avila;05019;0501906003;2022;2,2;25,9
Avila;05019;0501906003;2023;2,2;26,6
Avila;05019;0501906004;2021;3;31,5
Avila;05019;0501906004;2022;3,4;33,4
Avila;05019;0501906004;2023;2,7;32,9
Avila;05019;0501906005;2021;2,4;28,3
Avila;05019;0501906005;2022;2,4;29,5
Avila;05019;0501906005;2023;2,5;29
Avila;05019;0501906006;2021;2,7;30,5
Avila;05019;0501906006;2022;2,6;29,8
Avila;05019;0501906006;2023;2,6;29,9
Avila;05019;0501906008;2021;2,8;30,5
Avila;05019;0501906008;2022;2,5;30,3
Avila;05019;0501906008;2023;2,8;29,7
Avila;05019;0501906009;2021;2,9;31,1
Avila;05019;0501906009;2022;2,8;30,8
Avila;05019;0501906009;2023;2,6;29,5
Avila;05019;0501906010;2021;2,5;28
Avila;05019;0501906010;2022;2,4;26,9
Avila;05019;0501906010;2023;2,3;25,7
Avila;05019;0501906011;2021;2,2;25,1
Avila;05019;0501906011;2022;2,3;24,9
Avila;05019;0501906011;2023;2,3;24,7
Avila;05019;0501906012;2021;2,4;28
Avila;05019;0501906012;2022;2,3;28,3
Avila;05019;0501906012;2023;2,3;26,7
Avila;05019;0501906013;2021;2,5;28,8
Avila;05019;0501906013;2022;2,5;28,2
Avila;05019;0501906013;2023;2,3;27,1
Avila;05019;0501906014;2021;2,4;26,9
Avila;05019;0501906014;2022;2,3;27,3
Avila;05019;0501906014;2023;2,4;26,1
Avila;05021;0502101001;2021;2,7;31,8
Avila;05021;0502101001;2022;2,8;32,2
Avila;05021;0502101001;2023;2,9;33,3
Avila;05021;0502101002;2021;2,3;27,8
Avila;05021;0502101002;2022;2,5;29
Avila;05021;0502101002;2023;2,2;26,5
Avila;05022;0502201001;2021;2,4;29,2
Avila;05022;0502201001;2022;2,3;27,6
Avila;05022;0502201001;2023;2,2;27,9
Avila;05022;0502201002;2021;2,3;27,5
Avila;05022;0502201002;2022;2,3;29,1
Avila;05022;0502201002;2023;2,2;27,1
Avila;05023;0502301001;2021;2,5;30,9
Avila;05023;0502301001;2022;2,4;29,8
Avila;05023;0502301001;2023;2,3;26,2
Avila;05024;0502401001;2021;2,4;25,1
Avila;05024;0502401001;2022;2,6;28,1
Avila;05024;0502401001;2023;2,5;28,6
Avila;05026;0502601001;2021;2,1;25,7
Avila;05026;0502601001;2022;2,2;27,4
Avila;05026;0502601001;2023;2;26,2
Avila;05027;0502701001;2021;2,7;29,7
Avila;05027;0502701001;2022;2,7;29,1
Avila;05027;0502701001;2023;2,6;28,8
Avila;05033;0503301001;2021;2,6;27,2
Avila;05033;0503301001;2022;2,9;29
Avila;05033;0503301001;2023;3,2;31,5
Avila;05035;0503501001;2022;2,2;38,1
Avila;05036;0503601001;2021;2,6;29,9
Avila;05036;0503601001;2022;2,6;28
Avila;05036;0503601001;2023;2,4;25,4
Avila;05037;0503701001;2021;2,2;24,6
Avila;05037;0503701001;2022;2,1;24,4
Avila;05037;0503701001;2023;2;24,6
Avila;05038;0503801001;2021;2,8;31,5
Avila;05038;0503801001;2022;2,9;29
Avila;05038;0503801001;2023;2,6;29,3
Avila;05041;0504101001;2021;2,6;29,7
Avila;05041;0504101001;2022;2,5;31,3
Avila;05041;0504101001;2023;2,7;29,7
Avila;05042;0504201001;2021;2;29,4
Avila;05042;0504201001;2022;2,4;32,5
Avila;05042;0504201001;2023;2,8;30,5
Avila;05044;0504401001;2021;2,1;30,1
Avila;05044;0504401001;2022;2,1;30,2
