Provincia;CMuni;CUSEC;Periodo;Media_de_la_renta_por_unidad_de_consumo;Mediana_de_la_renta_por_unidad_de_consumo;Renta_bruta_media_por_hogar;Renta_bruta_media_por_persona;Renta_neta_media_por_hogar;Renta_neta_media_por_persona
Avila;05019;0501904003;2023;19957;19250;37544;16276;32507;14093
Avila;05019;0501904004;2021;14947;14350;26399;11807;23536;10526
Avila;05019;0501904004;2022;15405;15050;27292;12076;24152;10686
Avila;05019;0501904004;2023;16340;15750;29563;13250;26053;11677
Avila;05019;0501904005;2021;13544;12950;25927;10511;23083;9358
Avila;05019;0501904005;2022;13726;12250;26923;10478;23885;9296
Avila;05019;0501904005;2023;14992;12950;30416;11520;26954;10209
Avila;05019;0501904006;2021;15907;14350;28332;12953;24850;11361
Avila;05019;0501904006;2022;16657;15050;30149;13706;26209;11915
Avila;05019;0501904006;2023;17828;16450;32424;14766;28008;12754
Avila;05019;0501904008;2021;19949;18550;40050;15921;33389;13273
Avila;05019;0501904008;2022;21068;19600;42472;16939;35243;14056
Avila;05019;0501904008;2023;22343;20650;44695;18093;37221;15068
Avila;05019;0501904009;2021;18905;17850;37832;15371;32103;13043
Avila;05019;0501904009;2022;20065;19250;39718;16579;33595;14023
Avila;05019;0501904009;2023;21356;19950;42312;17781;35656;14984
Avila;05019;0501904010;2021;19755;17150;39867;16442;33267;13720
Avila;05019;0501904010;2022;21169;19250;42554;17862;35367;14845
Avila;05019;0501904010;2023;22590;19950;45258;19273;37333;15899
Avila;05019;0501904011;2021;16631;15050;32360;13015;27904;11223
Avila;05019;0501904011;2022;17387;16450;34099;13778;29136;11773
Avila;05019;0501904011;2023;18096;17150;35292;14578;30019;12400
Avila;05019;0501904012;2021;18651;17850;36343;14262;30482;11962
Avila;05019;0501904012;2022;19477;18550;38566;15058;32012;12499
Avila;05019;0501904012;2023;20778;19250;41295;16300;34164;13485
Avila;05019;0501904013;2021;20650;19250;41331;16282;34352;13533
Avila;05019;0501904013;2022;21638;19950;44250;17053;36414;14033
Avila;05019;0501904013;2023;22679;21350;46138;18275;37961;15036
