Provincia;CMuni;CUSEC;Periodo;Fuente_de_ingreso_otras_prestaciones;Fuente_de_ingreso_otros_ingresos;Fuente_de_ingreso_pensiones;Fuente_de_ingreso_prestaciones_por_desempleo;Fuente_de_ingreso_salario
Avila;05121;0512101001;2021;7,1;11,7;21,2;2,7;57,3
Avila;05121;0512101001;2022;2,5;10,3;24,8;1,6;60,8
Avila;05121;0512101001;2023;4,3;10,8;26;1,4;57,6
Avila;05122;0512201001;2021;4;25,5;45,5;1,9;23,2
Avila;05122;0512201001;2022;5;22,7;48,1;1,8;22,4
Avila;05122;0512201001;2023;5,6;21,5;44;1,5;27,4
Avila;05123;0512301001;2021;2,4;18,3;15,9;0,7;62,8
Avila;05123;0512301001;2022;2,2;10,7;22,7;1,4;63
Avila;05123;0512301001;2023;2,1;12,7;21,6;0,9;62,7
Avila;05127;0512701001;2021;4,2;10,2;34,1;3,8;47,6
Avila;05127;0512701001;2022;4,2;10,4;35,9;2,5;47
Avila;05127;0512701001;2023;4,7;9,9;35,5;2,1;47,8
Avila;05128;0512801001;2021;4;19,1;23,7;2,7;50,5
Avila;05128;0512801001;2022;4,4;15,7;25,7;2,1;52,2
Avila;05128;0512801001;2023;4,3;16,6;24,4;1,6;53,1
Avila;05129;0512901001;2021;2,7;20,3;38,4;1;37,7
Avila;05130;0513001001;2021;6,8;11,4;31,8;0,9;49,1
Avila;05130;0513001001;2022;6,4;11,2;32,8;1,8;47,9
Avila;05130;0513001001;2023;5,6;11,3;32,6;0,4;50
Avila;05132;0513201001;2021;4,1;11,3;32,4;3,7;48,6
Avila;05132;0513201001;2022;4,2;18;30,3;2,8;44,8
Avila;05132;0513201001;2023;4,3;13,4;31,6;2,8;47,9
Avila;05135;0513501001;2021;3,3;16,5;21,3;2,7;56,2
Avila;05135;0513501001;2022;3,7;18,9;20,8;1,8;54,8
Avila;05135;0513501001;2023;4,2;13,9;23,6;1,5;56,9
Avila;05138;0513801001;2021;4,2;11,1;28,5;2,1;54,1
Avila;05138;0513801001;2022;4,8;11,5;30,8;1;51,8
Avila;05138;0513801001;2023;5,7;10;30,3;1;52,9
Avila;05140;0514001001;2021;3,7;20,5;18,9;3,6;53,4
Avila;05140;0514001001;2022;4,2;32,3;17,3;2;44,2
Avila;05140;0514001001;2023;3,6;29,4;14,9;1,5;50,7
Avila;05141;0514101001;2022;5,7;11,4;28,4;3,1;51,5
Avila;05141;0514101001;2023;5,9;13,5;24,7;1,7;54,2
Avila;05147;0514701001;2021;3,5;29,1;32,2;2;33,1
Avila;05147;0514701001;2022;3,2;30,6;31,5;1,7;33
Avila;05147;0514701001;2023;4,1;31,5;30,9;0,8;32,8
Avila;05149;0514901001;2021;2,5;18,5;34,2;2,4;42,6
Avila;05149;0514901001;2022;4;11,8;37,4;2,8;44,1
Avila;05149;0514901001;2023;3,9;18,7;35,7;1,8;39,9
Avila;05152;0515201001;2021;3,3;26,2;23,7;2,8;44
Avila;05152;0515201001;2022;3,2;29;23,8;2,1;42
