CUSEC;numero_bienes;superficie_media;antiguedad_media;dispersion_antiguedad;dispersion_superficie;viviendas_pre2000;viviendas_reformadas_2000;pct_reformado_2000;Seccion_id
0500101001;260;232,915;1958;0,020;0,640;225;7;3,110;1
0500201001;2308;148,670;1987;0,010;0,550;1545;9;0,580;2
0500201002;2234;137,800;1985;0,010;0,590;1624;7;0,430;3
0500501001;158;251,241;1974;0,020;0,660;143;17;11,890;4
0500701001;159;191,321;1976;0,020;0,510;136;26;19,120;5
0500801001;152;265,704;1953;0,020;0,630;138;18;13,040;6
0501001001;288;169,167;1973;0,020;0,480;248;25;10,080;7
0501201001;201;160,881;1981;0,020;0,520;175;17;9,710;8
0501301001;1234;167,006;1980;0,010;0,630;968;49;5,060;9
0501401001;1584;131,687;1984;0,010;0,670;1228;28;2,280;3527
0501401002;635;135,698;1975;0,020;0,730;561;19;3,390;3528
0501402001;806;147,330;1974;0,020;0,690;604;21;3,480;10
0501402002;1889;142,255;1988;0,010;0,590;1134;19;1,680;11
0501403001;1788;165,937;1990;0,020;0,750;1150;37;3,220;12
0501501001;156;147,090;1979;0,020;0,620;110;10;9,090;13
0501601001;680;148,944;1974;0,020;0,750;518;115;22,200;14
0501602001;1329;139,600;1985;0,010;0,710;774;43;5,560;15
0501602002;600;110,047;1982;0,010;0,290;558;0;0,000;16
0501602003;885;127,145;1986;0,010;0,430;727;20;2,750;17
0501602004;616;147,167;1991;0,010;0,550;379;1;0,260;18
0501602005;816;187,477;1999;0,010;0,610;265;4;1,510;19
0501701001;115;244,487;1965;0,020;0,660;105;33;31,430;20
0501801001;111;142,333;1979;0,020;0,450;85;39;45,880;21
0501901001;945;131,870;1974;0,020;0,890;827;57;6,890;22
0501901002;991;149,018;1982;0,020;0,650;811;17;2,100;23
0501902001;1169;141,849;1986;0,010;0,670;944;27;2,860;24
0501902002;734;130,308;1973;0,000;0,330;725;1;0,140;25
0501903001;785;169,306;1982;0,010;0,490;732;8;1,090;26
0501903002;735;221,113;1992;0,010;0,390;434;12;2,760;27
0501904001;1027;125,734;1986;0,020;0,610;594;15;2,530;28
0501904002;929;119,102;1982;0,010;0,670;795;17;2,140;29
0501904003;592;106,926;1983;0,000;0,240;592;0;0,000;30
0501904004;650;94,963;1976;0,010;0,230;622;3;0,480;31
0501904005;671;93,060;1977;0,000;0,200;653;0;0,000;32
0501904006;861;103,113;1980;0,010;0,400;828;9;1,090;33
0501904008;1106;143,835;1996;0,010;0,380;528;0;0,000;34
0501904009;692;116,981;1988;0,000;0,190;692;0;0,000;35
0501904010;459;104,331;1992;0,000;0,240;459;0;0,000;36
0501904011;1326;122,825;2002;0,000;0,220;573;0;0,000;37
0501904012;985;147,472;2008;0,000;0,440;2;0;0,000;38
0501904013;445;160,939;2005;0,000;0,510;8;0;0,000;39
0501904014;996;120,308;2005;0,000;0,240;259;0;0,000;40
0501905001;939;103,431;1981;0,010;0,330;872;0;0,000;41
0501905002;1006;119,877;1980;0,010;0,440;884;6;0,680;42
0501905003;764;111,429;1980;0,010;0,490;694;4;0,580;43
0501905004;1282;112,257;1992;0,010;0,310;438;10;2,280;44
0501905005;902;111,939;1988;0,010;0,320;586;3;0,510;45
0501905006;1844;107,305;2006;0,000;0,250;0;0;;46
0501906001;587;126,613;1979;0,010;0,410;548;0;0,000;47
0501906002;1899;100,037;1977;0,010;0,460;1456;14;0,960;48
0501906003;828;198,356;2008;0,000;0,340;3;0;0,000;49
0501906004;616;87,198;1967;0,010;0,310;609;3;0,490;50
0501906005;829;84,762;1970;0,010;0,350;820;3;0,370;51
0501906006;1151;100,500;1966;0,010;0,370;1141;2;0,180;3497
0501906008;618;105,215;1979;0,010;0,360;618;0;0,000;52
0501906009;494;130,294;1974;0,010;0,390;494;0;0,000;53
0501906010;548;125,865;1985;0,000;0,310;548;1;0,180;54
0501906011;755;266,799;1992;0,020;0,540;352;26;7,390;55
0501906012;924;178,894;2003;0,000;0,320;139;0;0,000;56
0501906013;1567;147,830;2003;0,010;0,450;81;6;7,410;57
0501906014;606;186,474;1999;0,000;0,550;247;0;0,000;58
0502101001;1406;155,930;1979;0,020;0,740;1073;64;5,960;59
0502101002;985;126,425;1988;0,010;0,710;673;3;0,450;60
0502201001;908;165,181;1983;0,010;0,590;726;21;2,890;61
0502201002;1405;153,547;1981;0,010;0,640;1147;53;4,620;62
0502301001;136;239,272;1965;0,010;0,700;120;39;32,500;63
0502401001;606;172,597;1974;0,020;0,560;542;68;12,550;64
0502501001;184;164,505;1987;0,020;0,620;164;17;10,370;65
0502601001;143;217,804;1953;0,020;0,670;137;31;22,630;66
0502701001;264;236,284;1973;0,020;0,600;202;72;35,640;67
0502901001;101;270,931;1957;0,020;0,600;98;28;28,570;68
0503001001;85;193,024;1971;0,010;0,650;66;17;25,760;69
0503301001;184;233,136;1970;0,020;0,660;164;46;28,050;70
0503401001;20;186,400;1979;0,020;0,510;16;4;25,000;71
0503501001;244;201,455;1970;0,010;0,600;219;50;22,830;72
0503601001;144;253,951;1962;0,010;0,540;132;9;6,820;73
0503701001;737;160,052;1979;0,010;0,550;597;39;6,530;74
0503801001;347;167,744;1983;0,020;0,600;295;46;15,590;75
0503901001;73;198,260;1984;0,020;0,710;55;13;23,640;76
0504001001;106;212,943;1937;0,020;0,720;94;22;23,400;77
0504101001;1651;153,861;1982;0,010;0,600;1236;55;4,450;78
0504201001;115;241,487;1964;0,010;0,620;102;21;20,590;79
0504301001;97;258,062;1962;0,020;0,640;89;29;32,580;80
0504401001;471;191,616;1966;0,010;0,640;435;61;14,020;81
0504501001;90;241,456;1972;0,020;0,500;66;15;22,730;82
0504601001;30;322,800;1959;0,020;0,490;25;6;24,000;83
0504701001;1141;135,340;1968;0,020;0,630;886;33;3,720;84
0504703001;1639;150,137;1986;0,020;0,770;951;50;5,260;85
0504703002;2272;146,861;1988;0,010;0,710;1455;53;3,640;86
0504703003;608;131,002;1982;0,010;0,730;446;15;3,360;87
0504801001;111;253,748;1962;0,010;0,690;104;22;21,150;88
0504901001;399;232,514;1965;0,020;0,500;313;31;9,900;89
0505101001;305;167,485;1970;0,010;0,580;248;55;22,180;90
0505201001;169;190,538;1974;0,020;0,570;133;36;27,070;91
0505301001;172;117,826;1938;0,030;0,530;132;17;12,880;92
0505401001;2265;145,229;1980;0,010;0,570;1829;84;4,590;93
0505501001;1057;133,833;1969;0,010;0,590;980;36;3,670;94
0505601001;77;247,026;1943;0,010;0,620;74;8;10,810;95
0505701001;553;155,067;1972;0,020;0,600;456;12;2,630;96
0505702001;925;139,703;1959;0,020;0,610;748;45;6,020;97
0505702002;1220;188,786;1985;0,010;0,590;925;7;0,760;98
0505801001;187;152,647;1977;0,020;0,620;169;35;20,710;99
0505901001;132;217,523;1947;0,020;0,570;109;34;31,190;100
0506001001;80;269,888;1968;0,020;0,600;76;19;25,000;101
0506101001;327;183,719;1989;0,020;0,520;182;9;4,950;102
0506201001;165;270,855;1971;0,020;0,570;149;44;29,530;103
0506301001;68;156,044;1970;0,020;0,500;56;14;25,000;104
0506401001;79;273,823;1961;0,020;0,550;76;20;26,320;105
0506501001;384;266,464;1960;0,010;0,670;349;70;20,060;106
0506601001;732;159,747;1983;0,010;0,570;606;41;6,770;107
0506701001;124;175,113;1962;0,020;0,500;101;4;3,960;108
0506901001;50;301,740;1960;0,010;0,510;49;5;10,200;109
0507001001;28;256,750;1928;0,010;0,620;28;10;35,710;110
0507201001;70;276,829;1958;0,020;0,540;57;8;14,040;111
0507301001;314;248,535;1954;0,020;0,710;283;70;24,730;112
0507401001;584;177,080;1974;0,020;0,750;433;97;22,400;113
0507501001;191;156,791;1974;0,020;0,600;138;9;6,520;114
0507601001;427;188,000;1991;0,020;0,590;266;16;6,020;115
0507701001;116;241,362;1962;0,020;0,560;106;33;31,130;116
0507801001;120;298,133;1971;0,020;0,670;109;33;30,280;117
0507901001;209;151,794;1953;0,020;0,480;189;40;21,160;118
0508001001;164;194,037;1955;0,020;0,670;147;18;12,240;119
0508101001;68;161,412;1980;0,020;0,490;62;8;12,900;120
0508201001;845;170,760;1974;0,010;0,630;704;35;4,970;121
0508301001;179;169,726;1976;0,020;0,510;139;6;4,320;122
0508401001;199;150,704;1983;0,020;0,480;176;33;18,750;123
0508501001;93;150,667;1950;0,020;0,580;81;28;34,570;124
0508601001;94;259,617;1987;0,020;0,670;81;29;35,800;125
0508701001;121;274,669;1963;0,010;0,560;104;21;20,190;126
0508801001;56;214,179;1962;0,020;0,600;50;17;34,000;127
0508901001;643;131,079;1973;0,020;0,660;560;46;8,210;128
0509001001;101;276,921;1959;0,020;0,620;85;25;29,410;129
0509201001;153;259,608;1975;0,010;0,520;120;38;31,670;130
0509301001;1481;124,974;1978;0,010;0,500;1195;30;2,510;131
0509401001;170;233,782;1967;0,020;0,630;157;32;20,380;132
0509501001;528;164,850;1986;0,020;0,690;402;52;12,940;133
0509601001;164;120,848;1979;0,020;0,530;150;12;8,000;134
0509701001;721;176,816;1963;0,020;0,560;630;120;19,050;135
0509901001;420;212,479;1972;0,020;0,570;347;51;14,700;136
0510001001;419;150,415;1977;0,020;0,600;341;31;9,090;137
0510101001;515;166,101;1978;0,020;0,530;419;46;10,980;138
0510201001;862;148,419;1982;0,020;0,620;724;39;5,390;139
0510201002;1442;149,180;1977;0,010;0,580;1291;51;3,950;140
0510301001;145;191,462;1970;0,020;0,530;113;7;6,190;141
0510401001;53;145,245;1979;0,020;0,530;36;11;30,560;142
0510501001;434;203,339;1985;0,020;0,570;278;53;19,060;143
0510601001;62;145,274;1988;0,020;0,420;53;5;9,430;144
0510701001;158;155,595;1959;0,020;0,530;144;18;12,500;145
0510801001;171;155,895;1958;0,020;0,530;149;0;0,000;146
0510901001;296;220,054;1979;0,020;0,600;249;28;11,240;147
0511001001;1048;143,411;1981;0,020;0,620;819;44;5,370;148
0511201001;292;155,610;1961;0,020;0,500;225;64;28,440;149
0511301001;238;151,660;1961;0,020;0,520;196;28;14,290;150
0511401001;523;201,811;1963;0,020;0,710;474;46;9,700;151
0511402001;495;176,893;1965;0,020;0,770;451;29;6,430;152
0511501001;2611;134,156;1981;0,010;0,590;1965;84;4,270;153
0511601001;163;186,577;1973;0,020;0,590;134;8;5,970;154
0511701001;170;238,165;1966;0,020;0,720;142;36;25,350;155
0511801001;158;197,196;1967;0,020;0,730;143;38;26,570;156
0511901001;107;158,252;1972;0,020;0,550;102;12;11,760;157
0512001001;59;137,966;1925;0,030;0,480;44;6;13,640;158
0512101001;241;206,697;1968;0,030;0,730;150;13;8,670;159
0512201001;271;144,166;1979;0,020;0,660;227;38;16,740;160
0512301001;142;135,725;1972;0,020;0,550;96;11;11,460;161
0512401001;353;197,544;1974;0,020;0,530;299;13;4,350;162
0512501001;95;161,442;1979;0,020;0,650;82;11;13,410;163
0512601001;158;183,810;1977;0,020;0,520;132;33;25,000;164
0512701001;1131;159,831;1979;0,010;0,630;923;40;4,330;165
0512801001;462;172,708;1972;0,020;0,650;385;26;6,750;166
0512901001;192;190,000;1973;0,020;0,620;169;39;23,080;167
0513001001;168;138,375;1991;0,020;0,550;109;23;21,100;168
0513101001;234;209,162;1958;0,020;0,510;200;40;20,000;169
0513201001;1246;163,095;1979;0,020;0,720;997;108;10,830;170
0513301001;117;205,034;1967;0,010;0,590;100;29;29,000;171
0513401001;73;202,616;1971;0,020;0,560;54;22;40,740;172
0513501001;536;148,187;1981;0,020;0,620;390;42;10,770;173
0513601001;202;198,421;1968;0,020;0,480;173;50;28,900;174
0513801001;309;196,029;1969;0,010;0,550;260;37;14,230;175
0513901001;88;265,398;1956;0,020;0,600;80;6;7,500;176
0514001001;52;291,865;1971;0,020;0,610;46;4;8,700;177
0514101001;92;162,413;1975;0,020;0,640;63;2;3,170;178
0514201001;120;255,075;1969;0,020;0,540;106;15;14,150;179
0514301001;193;132,943;1976;0,020;0,500;173;12;6,940;180
0514401001;217;165,005;1977;0,020;0,680;180;42;23,330;181
0514501001;112;141,268;1928;0,030;0,440;96;23;23,960;182
0514701001;190;216,863;1963;0,020;0,620;167;24;14,370;183
0514801001;169;130,592;1979;0,020;0,520;151;23;15,230;184
0514901001;114;228,544;1968;0,020;0,650;106;13;12,260;185
0515101001;203;173,665;1987;0,020;0,680;162;31;19,140;186
0515201001;495;284,160;1964;0,010;0,560;436;36;8,260;187
0515301001;313;150,569;1982;0,020;0,490;264;51;19,320;188
0515401001;98;207,378;1988;0,020;0,670;83;23;27,710;189
0515501001;134;173,649;1998;0,030;0,560;95;21;22,110;190
0515601001;769;140,347;1982;0,010;0,430;586;20;3,410;191
0515701001;665;150,310;1981;0,010;0,540;577;62;10,750;192
0515801001;816;157,658;1977;0,020;0,590;679;38;5,600;193
0515901001;354;140,576;1985;0,020;0,590;288;76;26,390;194
0516001001;579;157,254;1947;0,040;0,670;488;18;3,690;195
0516101001;1608;136,305;1972;0,010;0,610;1392;12;0,860;196
0516201001;259;141,656;1973;0,020;0,680;212;22;10,380;197
0516301001;1756;143,777;1987;0,010;0,610;1275;104;8,160;198
0516301002;2192;160,551;1989;0,010;0,650;1480;67;4,530;199
0516401001;105;147,029;1988;0,020;0,410;83;11;13,250;200
0516501001;665;189,618;1985;0,020;0,610;416;51;12,260;201
0516601001;454;147,489;1983;0,020;0,570;368;55;14,950;202
0516701001;612;168,613;1985;0,020;0,580;463;18;3,890;203
0516801001;683;137,786;1975;0,020;0,660;514;23;4,470;204
0516801002;817;119,834;1987;0,010;0,730;477;10;2,100;205
0516802001;1509;177,810;1985;0,010;0,650;1058;55;5,200;206
0516802002;1064;166,224;1978;0,010;0,670;832;36;4,330;207
0516901001;493;146,970;1969;0,020;0,570;423;42;9,930;208
0517001001;241;151,266;1988;0,030;0,510;178;58;32,580;209
0517101001;143;154,657;1965;0,010;0,590;123;26;21,140;210
0517201001;184;198,299;1979;0,010;0,580;137;4;2,920;211
0517301001;142;147,204;1983;0,020;0,560;83;14;16,870;212
0517401001;84;333,821;1961;0,010;0,600;77;15;19,480;213
0517501001;160;223,144;1978;0,010;0,510;132;43;32,580;214
0517601001;312;162,099;1978;0,020;0,540;199;32;16,080;215
0517701001;188;223,580;1971;0,010;0,620;169;49;28,990;216
0517801001;314;290,745;1962;0,020;0,650;262;38;14,500;217
0517901001;233;208,738;1979;0,020;0,650;203;31;15,270;218
0518001001;76;244,000;1982;0,020;0,660;69;16;23,190;219
0518101001;185;196,362;1973;0,020;0,500;158;34;21,520;220
0518201001;1477;147,393;1976;0,020;0,600;1336;133;9,960;221
0518301001;160;198,819;1963;0,010;0,610;135;43;31,850;222
0518401001;768;138,562;1979;0,020;0,570;574;25;4,360;223
0518501001;228;191,636;1981;0,020;0,480;152;28;18,420;224
0518601001;2066;149,087;1980;0,020;0,680;1598;159;9,950;225
0518701001;1228;140,923;1982;0,020;0,610;955;22;2,300;226
0518702001;1394;143,776;1979;0,020;0,690;1115;24;2,150;227
0518801001;87;130,069;1971;0,020;0,460;83;11;13,250;228
0518901001;807;160,874;1979;0,020;0,670;638;59;9,250;229
0519001001;74;233,932;1948;0,020;0,570;66;1;1,520;230
0519101001;254;134,539;1983;0,020;0,460;204;26;12,750;231
0519201001;310;140,952;1958;0,020;0,560;262;57;21,760;232
0519301001;285;224,632;1967;0,010;0,760;262;99;37,790;233
0519401001;136;247,235;1971;0,020;0,630;109;5;4,590;234
0519501001;360;132,692;1970;0,020;0,600;291;33;11,340;235
0519601001;68;230,706;1970;0,020;0,990;62;10;16,130;236
0519701001;84;183,774;1955;0,030;0,630;66;6;9,090;237
0519801001;121;219,521;1976;0,020;0,770;118;51;43,220;238
0519901001;151;176,695;1971;0,020;0,490;117;15;12,820;239
0520001001;97;174,186;1950;0,020;0,560;75;18;24,000;240
0520101001;780;150,342;1970;0,020;0,630;662;20;3,020;241
0520401001;676;159,169;1971;0,010;0,730;552;34;6,160;242
0520501001;107;204,421;1943;0,030;0,720;85;2;2,350;243
0520601001;72;139,333;1969;0,020;0,480;59;11;18,640;244
0520701001;966;158,548;1983;0,020;0,630;774;58;7,490;245
0520801001;60;249,717;1962;0,020;0,660;54;8;14,810;246
0520901001;162;200,438;1965;0,010;0,550;145;32;22,070;247
0521001001;116;247,672;1971;0,020;0,680;103;20;19,420;248
0521101001;714;149,817;1972;0,020;0,660;606;87;14,360;249
0521201001;506;148,289;1983;0,020;0,590;414;23;5,560;250
0521301001;205;180,015;1965;0,010;0,590;173;11;6,360;251
0521401001;158;143,190;1973;0,020;0,560;97;27;27,840;252
0521501001;298;168,513;1984;0,020;0,540;221;38;17,190;253
0521601001;332;158,229;1981;0,020;0,600;260;27;10,380;254
0521701001;159;179,541;1987;0,020;0,680;129;15;11,630;255
0521801001;310;207,577;1972;0,020;0,590;267;55;20,600;256
0521901001;62;280,871;1968;0,010;0,600;51;21;41,180;257
0522001001;385;175,374;1979;0,020;0,650;279;31;11,110;258
0522101001;552;153,683;1974;0,010;0,620;497;30;6,040;259
0522201001;474;158,040;1984;0,020;0,630;342;8;2,340;260
0522401001;103;162,223;1948;0,030;0,470;87;3;3,450;261
0522501001;495;191,109;1967;0,020;0,610;421;60;14,250;262
0522601001;214;139,799;1957;0,020;0,540;176;45;25,570;263
0522701001;1277;145,866;1979;0,010;0,560;1124;14;1,250;264
0522801001;240;160,429;1978;0,020;0,550;216;20;9,260;265
0522901001;110;224,464;1962;0,020;0,460;95;20;21,050;266
0523001001;89;272,404;1957;0,010;0,600;77;16;20,780;267
0523101001;146;239,315;1967;0,020;0,580;107;30;28,040;268
0523201001;160;141,450;1986;0,020;0,630;116;14;12,070;269
0523301001;612;145,794;1976;0,010;0,570;514;24;4,670;270
0523401001;40;272,200;1962;0,020;0,570;38;4;10,530;271
0523501001;121;278,959;1946;0,020;0,550;105;34;32,380;272
0523601001;594;138,067;1986;0,020;0,610;488;127;26,020;273
0523701001;247;192,352;1968;0,020;0,480;218;37;16,970;274
0523801001;974;143,864;1976;0,020;0,560;796;80;10,050;275
0523901001;368;159,212;1986;0,020;0,630;285;63;22,110;276
0524001001;2215;152,724;1985;0,010;0,560;1527;57;3,730;277
0524002001;2371;140,468;1984;0,010;0,600;1655;63;3,810;278
0524101001;2486;159,200;1980;0,010;0,600;2123;34;1,600;279
0524101002;2277;139,122;1983;0,010;0,610;1778;39;2,190;280
0524201001;358;226,081;1982;0,010;0,430;255;33;12,940;281
0524301001;211;143,417;1951;0,020;0,590;186;18;9,680;282
0524401001;154;150,305;1977;0,020;0,500;133;30;22,560;283
0524501001;359;164,281;1982;0,020;0,570;233;19;8,150;284
0524601001;178;174,669;1984;0,020;0,550;140;20;14,290;285
0524701001;538;141,035;1976;0,020;0,560;449;41;9,130;286
0524901001;314;139,242;1965;0,020;0,520;234;43;18,380;287
0525101001;299;172,134;1981;0,020;0,550;270;17;6,300;288
0525201001;100;150,100;1981;0,020;0,490;82;1;1,220;289
0525301001;122;205,484;1956;0,020;0,670;110;13;11,820;290
0525401001;220;253,864;1954;0,020;0,610;190;25;13,160;291
0525601001;150;205,587;1973;0,020;0,630;134;25;18,660;292
0525701001;319;169,354;1975;0,020;0,630;251;37;14,740;293
0525801001;181;214,072;1971;0,020;0,580;148;36;24,320;294
0525901001;92;246,902;1956;0,020;0,640;84;43;51,190;295
0526001001;307;194,440;1988;0,020;0,550;242;40;16,530;296
0526101001;110;181,691;1947;0,020;0,450;94;48;51,060;297
0526201001;527;160,461;1986;0,020;0,560;430;26;6,050;298
0526301001;325;161,597;1974;0,020;0,640;285;38;13,330;299
0526401001;62;285,581;1958;0,020;0,660;58;9;15,520;300
0526501001;83;226,072;1971;0,010;0,650;76;13;17,110;301
0526601001;216;154,069;1981;0,020;0,510;172;31;18,020;302
0526701001;258;153,516;1978;0,020;0,600;213;29;13,620;303
0590101001;659;150,534;1986;0,020;0,610;498;26;5,220;304
0590201001;364;200,115;1969;0,020;0,610;311;42;13,500;305
0590301001;407;178,818;1970;0,020;0,540;335;51;15,220;306
0590401001;705;135,774;1974;0,020;0,510;577;105;18,200;307
0590501001;540;162,554;1979;0,010;0,520;409;54;13,200;308
0900101001;80;171,050;1907;0,030;0,410;73;3;4,110;309
0900301001;242;206,946;1972;0,020;0,570;214;20;9,350;310
0900601001;205;175,976;1942;0,020;0,440;187;50;26,740;311
0900701001;75;241,000;1966;0,010;0,540;65;10;15,380;312
0900901001;146;224,952;1985;0,020;0,400;61;9;14,750;313
0901001001;69;226,043;1971;0,020;0,500;66;8;12,120;314
0901101001;380;317,189;1941;0,020;0,540;355;59;16,620;315
0901201001;165;381,145;1933;0,030;0,390;154;55;35,710;316
0901301001;90;227,467;1936;0,020;0,820;86;5;5,810;317
0901401001;404;272,658;1943;0,020;0,560;370;43;11,620;318
0901601001;72;217,833;1958;0,020;0,450;58;23;39,660;319
0901701001;188;181,176;1973;0,020;0,590;164;33;20,120;320
0901801001;427;172,604;2004;0,000;0,170;0;0;;321
0901801002;1396;138,771;1994;0,010;0,380;709;34;4,800;322
0901801003;801;102,031;1973;0,000;0,420;801;55;6,870;323
0901801004;705;99,559;1976;0,000;0,260;705;0;0,000;324
0901801005;1065;133,759;1993;0,010;0,180;684;0;0,000;325
0901801006;704;125,703;1991;0,010;0,480;471;0;0,000;326
0901801007;620;114,171;1989;0,010;0,220;539;15;2,780;327
0901801008;887;126,980;1982;0,010;0,270;675;35;5,190;328
0901801009;793;123,778;1993;0,010;0,300;446;7;1,570;329
0901802001;832;160,476;1989;0,010;0,750;482;23;4,770;330
0901802002;1407;127,378;1985;0,010;0,510;918;62;6,750;331
0901802003;968;136,390;1978;0,010;0,640;747;158;21,150;332
0901802004;958;117,718;1985;0,010;0,510;615;47;7,640;333
0901802005;876;146,992;1985;0,010;0,560;481;65;13,510;334
0901803001;726;97,979;1970;0,000;0,330;707;59;8,350;335
0901803002;740;86,470;1963;0,010;0,530;736;56;7,610;336
0901803003;475;104,869;1975;0,010;0,530;454;29;6,390;337
0901803004;1369;111,924;1988;0,010;0,340;676;44;6,510;338
0901803005;1535;169,967;1994;0,010;0,660;633;55;8,690;339
0901803006;756;110,085;1980;0,000;0,160;677;1;0,150;340
0901803007;393;105,198;1979;0,000;0,120;393;0;0,000;341
0901803008;557;114,950;1985;0,010;0,330;477;7;1,470;342
0901901001;255;174,808;1968;0,020;0,670;224;27;12,050;343
0902001001;483;179,553;1958;0,020;0,450;379;66;17,410;344
0902101001;126;170,540;1973;0,020;0,480;107;23;21,500;345
0902201001;227;162,850;1953;0,020;0,550;218;23;10,550;346
0902301001;939;177,317;1994;0,010;0,460;276;16;5,800;347
0902401001;146;280,514;1968;0,010;0,620;132;11;8,330;348
0902501001;412;179,850;1958;0,020;0,840;306;73;23,860;349
0902601001;551;178,993;1980;0,010;0,570;406;28;6,900;350
0902701001;64;211,391;1974;0,020;0,510;56;14;25,000;351
0902901001;223;178,076;1966;0,020;0,490;188;38;20,210;352
0903001001;253;164,134;1965;0,020;0,730;223;19;8,520;353
0903201001;156;177,987;1955;0,020;0,520;138;23;16,670;354
0903301001;171;206,082;1941;0,030;0,550;137;13;9,490;355
0903401001;310;222,097;1963;0,010;0,580;264;39;14,770;356
0903501001;523;172,530;1951;0,020;0,620;441;81;18,370;357
0903601001;56;204,357;1941;0,010;0,460;53;8;15,090;358
0903701001;229;183,550;1947;0,020;0,440;183;61;33,330;359
0903801001;283;194,576;1973;0,020;0,660;232;38;16,380;360
0903901001;180;188,256;1933;0,020;0,540;161;22;13,660;361
0904101001;35;218,543;1966;0,010;0,580;29;13;44,830;362
0904301001;428;210,703;1943;0,030;0,540;369;32;8,670;363
0904401001;66;199,864;1970;0,020;0,570;56;13;23,210;364
0904501001;444;244,991;1948;0,020;0,540;387;44;11,370;365
0904601001;77;214,584;1960;0,020;0,430;64;35;54,690;366
0904701001;76;223,132;1973;0,010;0,490;63;9;14,290;367
0904801001;1117;145,756;1978;0,010;0,780;1005;37;3,680;368
0904801002;884;176,847;1961;0,020;0,680;757;45;5,940;369
0905001001;126;351,595;1956;0,020;0,640;114;15;13,160;370
0905101001;244;241,459;1961;0,020;0,670;224;27;12,050;371
0905201001;56;257,696;1924;0,020;0,460;53;4;7,550;372
0905401001;147;197,361;1950;0,010;0,660;134;14;10,450;373
0905501001;114;171,702;1952;0,020;0,420;99;12;12,120;374
0905601001;1585;118,023;1988;0,010;0,590;1119;3;0,270;375
0905601002;1069;126,603;1980;0,010;0,710;808;5;0,620;376
0905601003;951;104,245;1979;0,010;0,590;812;8;0,990;377
0905601004;1595;148,705;1992;0,010;0,560;903;9;1,000;378
0905701001;147;183,109;1987;0,010;0,640;58;7;12,070;379
0905801001;330;181,018;1987;0,020;0,580;99;18;18,180;380
0905901001;768;101,384;1965;0,020;0,560;612;270;44,120;381
0905901002;573;104,555;1964;0,010;0,530;533;280;52,530;382
0905902001;703;116,932;1939;0,030;0,550;593;205;34,570;383
0905902002;452;124,409;1945;0,020;0,440;452;58;12,830;384
0905902003;577;107,445;1966;0,000;0,340;577;3;0,520;385
0905902004;683;109,900;1978;0,020;0,580;484;79;16,320;386
0905902005;660;116,561;1979;0,010;0,360;566;0;0,000;387
0905903001;447;117,593;1961;0,020;0,570;369;177;47,970;388
0905903002;592;121,519;1969;0,020;0,590;476;153;32,140;389
0905903003;758;89,987;1980;0,010;0,460;645;4;0,620;390
0905903004;457;80,267;1964;0,010;0,230;446;0;0,000;391
0905903005;1187;175,347;1994;0,010;0,540;348;83;23,850;392
0905903006;1214;106,006;1988;0,010;0,410;666;17;2,550;393
0905903007;759;116,733;1978;0,010;0,390;616;3;0,490;394
0905903008;729;113,199;1992;0,010;0,380;256;4;1,560;395
0905903009;1082;117,909;1996;0,010;0,280;529;0;0,000;396
0905903010;707;148,502;2002;0,000;0,170;0;0;;397
0905903011;1061;127,477;2007;0,000;0,290;2;0;0,000;398
0905904001;721;81,598;1966;0,000;0,260;718;8;1,110;399
0905904002;451;89,146;1959;0,010;0,320;450;10;2,220;400
0905904003;559;73,177;1954;0,010;0,440;523;294;56,210;401
0905904004;579;81,052;1977;0,020;0,480;409;257;62,840;402
0905905001;763;94,396;1966;0,010;0,240;693;0;0,000;403
0905905002;689;91,044;1962;0,010;0,440;630;1;0,160;404
0905905003;480;92,967;1973;0,000;0,270;480;0;0,000;405
0905905004;667;90,754;1963;0,010;0,240;654;2;0,310;406
0905905005;574;84,148;1960;0,010;0,320;552;7;1,270;407
0905905006;420;149,098;1978;0,000;0,420;385;0;0,000;408
0905905007;514;111,533;1982;0,000;0,210;514;10;1,950;409
0905905008;393;97,372;1964;0,010;0,270;393;0;0,000;410
0905905009;750;96,581;1963;0,000;0,230;750;10;1,330;411
0905905010;781;103,213;1980;0,010;0,300;616;7;1,140;412
0905905011;531;129,309;1971;0,010;0,210;531;34;6,400;413
0905905012;433;113,349;1986;0,000;0,480;405;0;0,000;414
0905905013;733;121,986;1996;0,010;0,160;369;369;100,000;415
0905905014;500;76,614;1972;0,000;0,160;500;0;0,000;416
0905905015;830;103,263;1972;0,010;0,320;691;8;1,160;417
0905905016;676;98,254;1973;0,000;0,330;676;0;0,000;418
0905905017;447;128,123;1978;0,010;0,210;404;0;0,000;419
0905905018;417;142,293;1977;0,010;0,370;368;1;0,270;420
0905905019;401;119,805;1985;0,000;0,070;401;1;0,250;421
0905905020;675;82,816;1968;0,010;0,280;491;0;0,000;422
0905905021;521;88,393;1970;0,010;0,250;492;0;0,000;423
0905905022;645;103,665;1987;0,010;0,210;419;0;0,000;424
0905905023;313;101,086;1986;0,010;0,250;234;0;0,000;425
0905905024;688;116,196;1986;0,000;0,190;621;259;41,710;426
0905905025;752;104,858;1974;0,000;0,370;752;2;0,270;427
0905905026;425;160,534;1981;0,000;0,100;425;0;0,000;428
0905905027;537;146,337;1967;0,010;0,360;537;16;2,980;429
