CUSEC;numero_bienes;superficie_media;antiguedad_media;dispersion_antiguedad;dispersion_superficie;viviendas_pre2000;viviendas_reformadas_2000;pct_reformado_2000;Seccion_id
2408902001;849;127,214;1973;0,010;0,510;714;10;1,400;995
2408902002;687;123,132;1977;0,010;0,420;585;17;2,910;996
2408902003;635;118,909;1971;0,010;0,370;584;1;0,170;997
2408902004;664;147,081;1974;0,010;0,430;603;0;0,000;998
2408902005;764;133,094;1983;0,010;0,480;623;6;0,960;999
2408902006;580;127,160;1977;0,010;0,520;436;11;2,520;1000
2408902007;532;132,733;1975;0,010;0,450;471;0;0,000;1001
2408902008;487;135,487;1968;0,010;0,520;443;5;1,130;1002
2408902009;456;153,796;1966;0,010;0,370;376;0;0,000;1003
2408902010;449;130,145;1964;0,010;0,400;433;18;4,160;1004
2408903001;939;126,756;1985;0,010;0,340;700;1;0,140;1005
2408903002;813;98,353;1971;0,010;0,590;751;0;0,000;1006
2408903003;642;111,799;1978;0,010;0,530;523;26;4,970;1007
2408903004;859;107,097;1985;0,010;0,220;604;0;0,000;1008
2408903005;696;102,874;1975;0,010;0,640;622;1;0,160;1009
2408903006;717;102,248;1983;0,010;0,330;592;0;0,000;1010
2408903007;1109;93,301;1976;0,010;0,320;1006;1;0,100;1011
2408903008;852;98,852;1979;0,010;0,520;649;18;2,770;1012
2408903009;722;144,343;1998;0,000;0,120;555;0;0,000;1013
2408903010;387;111,196;1981;0,010;0,400;314;0;0,000;1014
2408903011;742;108,031;1971;0,010;0,640;677;2;0,300;1015
2408903012;479;105,286;1977;0,010;0,750;378;2;0,530;1016
2408903013;407;150,165;1989;0,000;0,150;310;0;0,000;1017
2408903014;577;123,253;1983;0,010;0,410;494;1;0,200;1018
2408903015;1248;217,231;2002;0,000;0,650;545;0;0,000;1019
2408903016;832;145,406;1998;0,000;0,170;737;0;0,000;1020
2408903017;490;125,020;1970;0,010;0,480;484;13;2,690;1021
2408903018;723;115,999;2001;0,000;0,160;290;0;0,000;1022
2408903019;627;139,054;1999;0,000;0,150;389;0;0,000;1023
2408903020;716;113,837;1992;0,010;0,290;551;2;0,360;1024
2408903021;796;142,530;1998;0,000;0,240;705;0;0,000;1025
2408904001;807;108,638;1970;0,020;0,700;656;23;3,510;1026
2408904002;609;138,205;1996;0,000;0,180;604;0;0,000;1027
2408904003;592;115,542;1970;0,010;0,440;583;3;0,510;1028
2408904004;583;100,393;1971;0,010;0,470;548;0;0,000;1029
2408904005;1281;137,818;1996;0,010;0,240;359;2;0,560;1030
2408904006;825;116,149;1984;0,010;0,450;698;11;1,580;1031
2408904007;463;124,067;1973;0,020;0,790;398;11;2,760;1032
2408904008;681;103,702;1973;0,010;0,350;624;11;1,760;1033
2408904009;522;111,328;1978;0,010;0,330;497;0;0,000;1034
2408904010;1037;125,381;1987;0,010;0,370;868;3;0,350;1035
2408904011;255;101,816;1978;0,010;0,190;224;0;0,000;1036
2408904012;929;93,027;1969;0,000;0,360;925;5;0,540;1037
2408904013;728;122,701;1986;0,010;0,330;708;0;0,000;1038
2408904014;568;97,673;1977;0,000;0,200;551;13;2,360;1039
2408904015;1567;139,616;2006;0,010;0,310;140;3;2,140;1040
2408905001;1118;123,736;1980;0,020;0,870;842;40;4,750;1041
2408905002;808;117,625;1993;0,010;0,250;577;0;0,000;1042
2408905003;727;105,204;1980;0,010;0,310;576;23;3,990;1043
2408905004;745;113,615;1976;0,010;0,440;696;3;0,430;1044
2408905005;864;112,486;1977;0,010;0,260;783;4;0,510;1045
2408905006;719;154,423;1988;0,000;0,100;719;0;0,000;1046
2408905007;590;101,632;1969;0,000;0,320;585;3;0,510;1047
2408905008;511;107,679;1974;0,010;0,330;485;0;0,000;1048
2408905009;556;107,421;1979;0,010;0,280;426;0;0,000;1049
2408905010;527;121,818;1979;0,000;0,260;497;0;0,000;1050
2408905011;591;143,875;1989;0,000;0,180;591;0;0,000;1051
2408906001;638;117,622;1974;0,010;0,660;587;14;2,390;1052
2408906002;560;156,352;1997;0,000;0,180;347;0;0,000;1053
2408906003;842;121,144;1982;0,010;0,380;686;22;3,210;3504
2408906004;487;96,657;1974;0,010;0,380;487;0;0,000;3501
2408906005;464;115,817;1983;0,000;0,210;454;1;0,220;3500
2408906006;580;107,448;1974;0,010;0,490;530;1;0,190;3502
2408906007;772;99,641;1977;0,010;0,420;566;0;0,000;3505
2408906008;405;114,936;1980;0,010;0,250;387;0;0,000;1054
2408906009;497;109,455;1982;0,010;0,490;367;2;0,540;3534
2408906010;776;112,830;1988;0,010;0,210;385;0;0,000;3503
2408906011;673;120,100;1972;0,010;0,610;620;0;0,000;3506
2408906012;645;118,571;1974;0,010;0,380;614;4;0,650;1055
2408906013;424;126,814;1979;0,010;0,250;419;0;0,000;1056
2408906014;515;115,445;1986;0,010;0,330;406;0;0,000;1057
2408906015;678;125,600;1984;0,010;0,370;636;4;0,630;1058
2408906016;426;118,070;1974;0,000;0,330;426;0;0,000;1059
